page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H1993P4HI198-P001,H1993P4HI198,1993,4,Historia,1,6,24,38.58,0.7917,text_detected,0,0,0,visual_only,medium,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P002,H1993P4HI198,1993,4,Historia,2,3,292,84.16,0.1027,text_detected,0,0,7,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_rich;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P003,H1993P4HI198,1993,4,Historia,3,3,493,93.86,0.0061,text_detected,1,4,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,front_zone;text_rich;front_kw;nav_kw;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P004,H1993P4HI198,1993,4,Historia,4,3,223,89.54,0.0359,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P005,H1993P4HI198,1993,4,Historia,5,3,343,89.34,0.0321,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P006,H1993P4HI198,1993,4,Historia,6,3,292,91.16,0.0342,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P007,H1993P4HI198,1993,4,Historia,7,3,216,88.30,0.0648,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P008,H1993P4HI198,1993,4,Historia,8,3,217,86.53,0.1106,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P009,H1993P4HI198,1993,4,Historia,9,3,471,87.91,0.0701,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P010,H1993P4HI198,1993,4,Historia,10,3,10,64.66,0.5000,text_detected,0,1,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P011,H1993P4HI198,1993,4,Historia,11,3,230,89.14,0.0435,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P012,H1993P4HI198,1993,4,Historia,12,3,332,89.55,0.0542,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P013,H1993P4HI198,1993,4,Historia,13,3,60,87.47,0.0833,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P014,H1993P4HI198,1993,4,Historia,14,3,422,88.63,0.0735,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P015,H1993P4HI198,1993,4,Historia,15,3,196,86.89,0.0918,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P016,H1993P4HI198,1993,4,Historia,16,3,6,77.50,0.1667,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P017,H1993P4HI198,1993,4,Historia,17,3,295,84.29,0.1288,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P018,H1993P4HI198,1993,4,Historia,18,3,28,84.97,0.1071,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P019,H1993P4HI198,1993,4,Historia,19,3,23,77.96,0.1739,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P020,H1993P4HI198,1993,4,Historia,20,3,260,89.82,0.0423,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P021,H1993P4HI198,1993,4,Historia,21,3,302,83.48,0.1192,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P022,H1993P4HI198,1993,4,Historia,22,3,451,82.75,0.1375,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P023,H1993P4HI198,1993,4,Historia,23,3,208,87.13,0.0769,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P024,H1993P4HI198,1993,4,Historia,24,3,416,85.31,0.1106,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P025,H1993P4HI198,1993,4,Historia,25,3,38,70.07,0.2895,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P026,H1993P4HI198,1993,4,Historia,26,3,133,78.65,0.2030,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P027,H1993P4HI198,1993,4,Historia,27,3,125,87.18,0.0960,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P028,H1993P4HI198,1993,4,Historia,28,3,311,77.41,0.2412,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P029,H1993P4HI198,1993,4,Historia,29,3,59,73.45,0.2712,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P030,H1993P4HI198,1993,4,Historia,30,3,434,87.15,0.0806,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P031,H1993P4HI198,1993,4,Historia,31,3,404,83.57,0.1386,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P032,H1993P4HI198,1993,4,Historia,32,3,316,83.37,0.1266,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P033,H1993P4HI198,1993,4,Historia,33,3,256,88.73,0.0586,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
