viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H1993P4HI198,186,141,26,1,0,7,3,8
H1993P5HI206,210,159,25,10,0,1,2,13
H1993P6HI214,114,87,14,2,0,5,2,4
H2008P4HI275,186,141,29,0,0,8,2,6
H2008P5HI284,194,129,37,8,0,6,2,12
H2008P6HI290,154,101,27,5,0,9,2,10
H2011P4HI323,193,125,25,9,0,10,3,21
H2011P5HI333,193,129,31,10,0,8,3,12
H2011P6HI342,177,121,22,9,0,11,4,10
H2014P4HIA,193,114,50,6,0,10,7,6
H2014P5HIA,193,123,42,6,0,11,7,4
H2014P6HIA,137,83,29,5,0,9,8,3
H2019P4HIA,193,113,49,7,0,9,9,6
H2019P5HIA,193,123,40,6,0,10,9,5
H2019P6HIA,137,82,26,5,0,9,9,6
ALL,2653,1771,472,89,0,123,72,126
