processing_version,viewer_key,catalog_generation,grade_code,title_core,original_source_state,processing_mode,canonical_processing_viewer_key,technical_identity_covered,is_canonical_processing_object,declared_positions,direct_source_jpegs,terminal_synthetic_candidates_original_route,persistent_unresolved_source_gaps,evidence_basis,interpretive_limit
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H1993P4HI198,1993,4,Historia,full_direct_source,direct_canonical,H1993P4HI198,1,1,187,186,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H1993P5HI206,1993,5,Historia,full_direct_source,direct_canonical,H1993P5HI206,1,1,211,210,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H1993P6HI214,1993,6,Historia,full_direct_source,direct_canonical,H1993P6HI214,1,1,115,114,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2008P4HI275,2008,4,HISTORIA,full_direct_source,direct_canonical,H2008P4HI275,1,1,187,186,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2008P5HI284,2008,5,HISTORIA,full_direct_source,direct_canonical,H2008P5HI284,1,1,195,194,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2008P6HI290,2008,6,HISTORIA,full_direct_source,direct_canonical,H2008P6HI290,1,1,155,154,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2011P4HI323,2011,4,HISTORIA,full_direct_source,direct_canonical,H2011P4HI323,1,1,194,193,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2011P5HI333,2011,5,HISTORIA,full_direct_source,direct_canonical,H2011P5HI333,1,1,194,193,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2011P6HI342,2011,6,HISTORIA,full_direct_source,direct_canonical,H2011P6HI342,1,1,178,177,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2014P4HIA,2014,4,Historia,full_direct_source,direct_canonical,H2014P4HIA,1,1,194,193,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2014P5HIA,2014,5,Historia,full_direct_source,direct_canonical,H2014P5HIA,1,1,194,193,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2014P6HIA,2014,6,Historia,full_direct_source,direct_canonical,H2014P6HIA,1,1,138,137,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
LTMD_U1_W5_HISTORY_PROCESSING_0.1,H2018P4HIA,2018,4,Historia,no_source_jpegs,route_alias_to_2019,H2019P4HIA,1,0,194,0,1,0,paired_2019_route_live_sha256_and_byte_size_full_match,"Operational processing topology only; route alias status does not establish bibliographic identity, edition year, or curricular equivalence."
