analysis_version,viewer_key,catalog_generation,grade_code,title_core,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,source_state,served_sequence_sha256
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H1993P4HI198,1993,4,Historia,187,186,1,0,full_direct_source,938f95aaf7270807227cdad2e2ea7f81c889b406f5d7d4db84bd763d776d0c19
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H1993P5HI206,1993,5,Historia,211,210,1,0,full_direct_source,38c668ed39bbe2cf6a89115a265d91e82fa17272cab76c271d60607e2673bbe4
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H1993P6HI214,1993,6,Historia,115,114,1,0,full_direct_source,75e20ba0c926995afff8a3d90e945cd011e8b1d5a866f75b455b2432325baadc
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2008P4HI275,2008,4,HISTORIA,187,186,1,0,full_direct_source,f396ea66e1e216d8eeca3cfa053ba4281819360ad5e2350cf3347e77f40cb9c8
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2008P5HI284,2008,5,HISTORIA,195,194,1,0,full_direct_source,5fe410f3ea2983bd7bafe237b84195c014e6f9cfb18511db12db2fda1e28f449
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2008P6HI290,2008,6,HISTORIA,155,154,1,0,full_direct_source,233951c35ff7aedc43b6c1b16532cde6c4188989c0f363ff10447442ff854dd7
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2011P4HI323,2011,4,HISTORIA,194,193,1,0,full_direct_source,3bc269e8c7c1be79d6955416f36ece34cf9d1cf8895a8f9158ef59951a5697eb
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2011P5HI333,2011,5,HISTORIA,194,193,1,0,full_direct_source,24ec3f2a905aeff162462b6b82846db2f2c68b670a5bd72315b39f2098653076
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2011P6HI342,2011,6,HISTORIA,178,177,1,0,full_direct_source,1aa1bb2788300028687e06c572247ee36621025bbaa7300073a2b83c26463fd9
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2014P4HIA,2014,4,Historia,194,193,1,0,full_direct_source,aa98a97d2379f5a815353acbc2a80b43b1966d290957f7b6a6f386182d9475a5
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2014P5HIA,2014,5,Historia,194,193,1,0,full_direct_source,28aa68b5d3fcd3b698d66405f15f60f3392b88d1237621f1d07ea0f531f507d4
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2014P6HIA,2014,6,Historia,138,137,1,0,full_direct_source,173ba969dc45447be470d88f629bdecd36a018a57a989dad7f62cbd0ef50a6ea
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2018P4HIA,2018,4,Historia,194,0,1,193,no_source_jpegs,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2018P5HIA,2018,5,Historia,194,0,1,193,no_source_jpegs,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2018P6HIA,2018,6,Historia,138,0,1,137,no_source_jpegs,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2019P4HIA,2019,4,Historia,194,193,1,0,full_direct_source,24f20bcf2535ec7f75e8838c57674d512c213e664a2510343e8918a9cbd0239c
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2019P5HIA,2019,5,Historia,194,193,1,0,full_direct_source,3ab99210e02bf1dd163db557868f52cb160b136c5a1bff42cbc4f5a012267728
LTMD_U1_W5_HISTORY_ASSET_REL_0.1,H2019P6HIA,2019,6,Historia,138,137,1,0,full_direct_source,d591f55f6574c99b2fab51db1927761abb51ebeeefd30009e481a704087a0000
