scanner_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P001,H1993P4HI198,1993,4,Historia,1,6,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P002,H1993P4HI198,1993,4,Historia,2,3,1,1,0,0,0,7,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P003,H1993P4HI198,1993,4,Historia,3,3,1,1,0,1,4,1,3,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P004,H1993P4HI198,1993,4,Historia,4,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P005,H1993P4HI198,1993,4,Historia,5,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P006,H1993P4HI198,1993,4,Historia,6,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P007,H1993P4HI198,1993,4,Historia,7,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P008,H1993P4HI198,1993,4,Historia,8,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P009,H1993P4HI198,1993,4,Historia,9,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P010,H1993P4HI198,1993,4,Historia,10,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P011,H1993P4HI198,1993,4,Historia,11,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P012,H1993P4HI198,1993,4,Historia,12,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P013,H1993P4HI198,1993,4,Historia,13,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P014,H1993P4HI198,1993,4,Historia,14,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P015,H1993P4HI198,1993,4,Historia,15,3,1,1,0,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P016,H1993P4HI198,1993,4,Historia,16,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P171,H1993P4HI198,1993,4,Historia,171,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P172,H1993P4HI198,1993,4,Historia,172,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P173,H1993P4HI198,1993,4,Historia,173,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P174,H1993P4HI198,1993,4,Historia,174,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P175,H1993P4HI198,1993,4,Historia,175,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P176,H1993P4HI198,1993,4,Historia,176,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P177,H1993P4HI198,1993,4,Historia,177,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P178,H1993P4HI198,1993,4,Historia,178,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P179,H1993P4HI198,1993,4,Historia,179,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P180,H1993P4HI198,1993,4,Historia,180,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P181,H1993P4HI198,1993,4,Historia,181,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P182,H1993P4HI198,1993,4,Historia,182,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P183,H1993P4HI198,1993,4,Historia,183,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P184,H1993P4HI198,1993,4,Historia,184,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P185,H1993P4HI198,1993,4,Historia,185,6,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P4HI198-P186,H1993P4HI198,1993,4,Historia,186,3,1,0,1,0,0,1,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P001,H1993P5HI206,1993,5,Historia,1,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P002,H1993P5HI206,1993,5,Historia,2,3,1,1,0,0,0,7,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P003,H1993P5HI206,1993,5,Historia,3,3,1,1,0,0,1,1,2,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P004,H1993P5HI206,1993,5,Historia,4,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P005,H1993P5HI206,1993,5,Historia,5,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P006,H1993P5HI206,1993,5,Historia,6,6,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P007,H1993P5HI206,1993,5,Historia,7,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P008,H1993P5HI206,1993,5,Historia,8,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P009,H1993P5HI206,1993,5,Historia,9,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P010,H1993P5HI206,1993,5,Historia,10,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P011,H1993P5HI206,1993,5,Historia,11,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P012,H1993P5HI206,1993,5,Historia,12,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P013,H1993P5HI206,1993,5,Historia,13,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P014,H1993P5HI206,1993,5,Historia,14,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P015,H1993P5HI206,1993,5,Historia,15,3,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P016,H1993P5HI206,1993,5,Historia,16,6,1,1,0,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P195,H1993P5HI206,1993,5,Historia,195,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P196,H1993P5HI206,1993,5,Historia,196,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P197,H1993P5HI206,1993,5,Historia,197,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P198,H1993P5HI206,1993,5,Historia,198,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P199,H1993P5HI206,1993,5,Historia,199,3,1,0,1,0,2,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P200,H1993P5HI206,1993,5,Historia,200,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P201,H1993P5HI206,1993,5,Historia,201,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P202,H1993P5HI206,1993,5,Historia,202,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P203,H1993P5HI206,1993,5,Historia,203,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P204,H1993P5HI206,1993,5,Historia,204,6,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P205,H1993P5HI206,1993,5,Historia,205,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P206,H1993P5HI206,1993,5,Historia,206,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P207,H1993P5HI206,1993,5,Historia,207,3,1,0,1,0,1,0,1,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P208,H1993P5HI206,1993,5,Historia,208,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P209,H1993P5HI206,1993,5,Historia,209,3,1,0,1,0,0,0,0,
LTMD_U1_W5_HISTORY_STRUCTKW_0.1,U1-H1993P5HI206-P210,H1993P5HI206,1993,5,Historia,210,3,1,0,1,0,0,0,0,
