scope_version,viewer_key,catalog_generation,grade_code,title_core,source_url,operational_domain
LTMD_U1_W5_SCOPE_0.1,H1993P4HI198,1993,4,Historia,https://historico.conaliteg.gob.mx/H1993P4HI198.htm,historia
LTMD_U1_W5_SCOPE_0.1,H1993P5HI206,1993,5,Historia,https://historico.conaliteg.gob.mx/H1993P5HI206.htm,historia
LTMD_U1_W5_SCOPE_0.1,H1993P6HI214,1993,6,Historia,https://historico.conaliteg.gob.mx/H1993P6HI214.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2008P4HI275,2008,4,HISTORIA,https://historico.conaliteg.gob.mx/H2008P4HI275.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2008P5HI284,2008,5,HISTORIA,https://historico.conaliteg.gob.mx/H2008P5HI284.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2008P6HI290,2008,6,HISTORIA,https://historico.conaliteg.gob.mx/H2008P6HI290.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2011P4HI323,2011,4,HISTORIA,https://historico.conaliteg.gob.mx/H2011P4HI323.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2011P5HI333,2011,5,HISTORIA,https://historico.conaliteg.gob.mx/H2011P5HI333.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2011P6HI342,2011,6,HISTORIA,https://historico.conaliteg.gob.mx/H2011P6HI342.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2014P4HIA,2014,4,Historia,https://historico.conaliteg.gob.mx/H2014P4HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2014P5HIA,2014,5,Historia,https://historico.conaliteg.gob.mx/H2014P5HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2014P6HIA,2014,6,Historia,https://historico.conaliteg.gob.mx/H2014P6HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2018P4HIA,2018,4,Historia,https://historico.conaliteg.gob.mx/H2018P4HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2018P5HIA,2018,5,Historia,https://historico.conaliteg.gob.mx/H2018P5HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2018P6HIA,2018,6,Historia,https://historico.conaliteg.gob.mx/H2018P6HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2019P4HIA,2019,4,Historia,https://historico.conaliteg.gob.mx/H2019P4HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2019P5HIA,2019,5,Historia,https://historico.conaliteg.gob.mx/H2019P5HIA.htm,historia
LTMD_U1_W5_SCOPE_0.1,H2019P6HIA,2019,6,Historia,https://historico.conaliteg.gob.mx/H2019P6HIA.htm,historia
