audit_version,viewer_key_2018,viewer_key_2019,grade_code,title_core,viewer_page,declared_positions,alternate_route_url,reference_sha256_2019,reference_byte_size_2019,observed_sha256,observed_byte_size,http_status,content_type,fetch_attempts,error,sha256_matches_2019_reference,byte_size_matches_2019_reference
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,1,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/000.jpg,032fb0b998f4a52bb78e410a03fa5144820be6177f7def6fe7780b735ae4c990,384661,032fb0b998f4a52bb78e410a03fa5144820be6177f7def6fe7780b735ae4c990,384661,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,2,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/002.jpg,b5c136fd16d2c7838e76b27f9a25af87b62177c3cde2e9adda5b0a505128117b,465168,b5c136fd16d2c7838e76b27f9a25af87b62177c3cde2e9adda5b0a505128117b,465168,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,3,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/003.jpg,49543a218471a5011b8c2b75167138590ad5025793c94ce78177e0ab7af61c26,354162,49543a218471a5011b8c2b75167138590ad5025793c94ce78177e0ab7af61c26,354162,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,4,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/004.jpg,5b7a8f064bd5d03ab54bcc4b6cdb67cbc25f1efbb423b4d42af164d79466f93f,329831,5b7a8f064bd5d03ab54bcc4b6cdb67cbc25f1efbb423b4d42af164d79466f93f,329831,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,5,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/005.jpg,d31d590a7b4a967de19f9bebc9b1f2ca2e4ab439d206dafaa3817cd37a49c424,313396,d31d590a7b4a967de19f9bebc9b1f2ca2e4ab439d206dafaa3817cd37a49c424,313396,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,6,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/006.jpg,2a37769e2597d9d752f6fdcd8a780394b80b69c609ebce5c8cbeb7bc6ebeaaab,59619,2a37769e2597d9d752f6fdcd8a780394b80b69c609ebce5c8cbeb7bc6ebeaaab,59619,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,7,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/007.jpg,3b7f1b351d5f4828f0a40d1c17b93e2ef55505435c1c23e70cbf39e5ff0873e3,401424,3b7f1b351d5f4828f0a40d1c17b93e2ef55505435c1c23e70cbf39e5ff0873e3,401424,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,8,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/008.jpg,d015560ba102e7644a2bc32bf5b3afc9fe1144845005f2a6caea3ea0481d8dc8,59619,d015560ba102e7644a2bc32bf5b3afc9fe1144845005f2a6caea3ea0481d8dc8,59619,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,9,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/009.jpg,230a14440dda2444fa15eaaf9731f1245a444efe3bd4e9929efd41da47e0ab1d,322162,230a14440dda2444fa15eaaf9731f1245a444efe3bd4e9929efd41da47e0ab1d,322162,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,10,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/010.jpg,b35eaa07012a46b09cbc5fb186c30a93e327e65f833701d2bb759ddeaf866f2d,375830,b35eaa07012a46b09cbc5fb186c30a93e327e65f833701d2bb759ddeaf866f2d,375830,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,11,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/011.jpg,131f3f84eeb2b6005cdaea1ff3ca50d1491ae9e5ba87187733df22da08fb81c3,495201,131f3f84eeb2b6005cdaea1ff3ca50d1491ae9e5ba87187733df22da08fb81c3,495201,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,12,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/012.jpg,c007b2fa9a5578a09bd9fc5390a481edc94287a3f9f399fffc9995f5744ca7e5,310861,c007b2fa9a5578a09bd9fc5390a481edc94287a3f9f399fffc9995f5744ca7e5,310861,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,13,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/013.jpg,313eb661b541ab3c9e7c866d10797be74aad200f86f312b744416149db6e1c02,339526,313eb661b541ab3c9e7c866d10797be74aad200f86f312b744416149db6e1c02,339526,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,14,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/014.jpg,cb35d64511d37d63254ec4157fc7caae8796a3141516103219d6898ed0aa6052,352778,cb35d64511d37d63254ec4157fc7caae8796a3141516103219d6898ed0aa6052,352778,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,15,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/015.jpg,e59ffe9a7c94780d7d86bd2aae91562b606029ffe17c9991cd5eeaa3a1aef3a8,347804,e59ffe9a7c94780d7d86bd2aae91562b606029ffe17c9991cd5eeaa3a1aef3a8,347804,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,16,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/016.jpg,7121e140015b2c62275673ca82c438d222a7527897487bd232a67a01d5cc8753,386581,7121e140015b2c62275673ca82c438d222a7527897487bd232a67a01d5cc8753,386581,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,17,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/017.jpg,eca1bbe13717a60b5fdb63520c0a3176426e597f8d8062cd6054e4ac77e9cb69,348761,eca1bbe13717a60b5fdb63520c0a3176426e597f8d8062cd6054e4ac77e9cb69,348761,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,18,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/018.jpg,fc4546e6d24e441ee654170ef0e81fb022f1940ce11263f5a01fb041da7ba237,59629,fc4546e6d24e441ee654170ef0e81fb022f1940ce11263f5a01fb041da7ba237,59629,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,19,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/019.jpg,8721f1e41f9e0ee3d58344e5bc3724fffcbab57c739f6f2fdf044d693520b925,384982,8721f1e41f9e0ee3d58344e5bc3724fffcbab57c739f6f2fdf044d693520b925,384982,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,20,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/020.jpg,8ca8524b992d98edc023df65071daee472540e9f1c11f153d40d15e71d8bb3de,380307,8ca8524b992d98edc023df65071daee472540e9f1c11f153d40d15e71d8bb3de,380307,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,21,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/021.jpg,afab55538a57533762849126538e4d858d8dd91702e409dd1ee1ba47a27509d2,331365,afab55538a57533762849126538e4d858d8dd91702e409dd1ee1ba47a27509d2,331365,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,22,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/022.jpg,feef7744b09440f16d5c4b4ac7c3ec5f94e3c8255a9375c98250f1c894a4c0cd,311756,feef7744b09440f16d5c4b4ac7c3ec5f94e3c8255a9375c98250f1c894a4c0cd,311756,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,23,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/023.jpg,cb80445ced2f513dc6dc2ea68287b55d6379652f1b7b9f258cd864296dcf330f,377250,cb80445ced2f513dc6dc2ea68287b55d6379652f1b7b9f258cd864296dcf330f,377250,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,24,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/024.jpg,12bc5ec88ff5e267b329f1019c8b419409572530ce1b3827d2939c9118893d12,464317,12bc5ec88ff5e267b329f1019c8b419409572530ce1b3827d2939c9118893d12,464317,200,image/jpeg,1,,1,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_2018_2019_ROUTE_IDENTITY_0.1,H2018P4AMA,H2019P4AMA,4,Atlas de México,25,130,https://historico.conaliteg.gob.mx/c/H2019P4AMA/025.jpg,4bf8438f37b13435df74e3c8acb0c87fda8f7455754e70931d722af1280f1391,444165,4bf8438f37b13435df74e3c8acb0c87fda8f7455754e70931d722af1280f1391,444165,200,image/jpeg,1,,1,1
