audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,standard_x_js,H1960P3GE008,67,66,1,0,0,4523653,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA,standard_x_js,H1960P3GE009,67,66,1,0,0,3940946,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,H1960P4GE015,67,66,1,0,0,5046230,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA,standard_x_js,H1960P4GE016,131,130,1,0,0,8492356,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,H1966P3GE352,67,66,1,0,0,4028668,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA,standard_x_js,H1966P3GE353,67,66,1,0,0,3696822,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,H1966P4GE360,83,82,1,0,0,4808766,82,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA,standard_x_js,H1966P4GE364,131,130,1,0,0,8955361,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,H1966P5GE367,131,130,1,0,0,7207321,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA,standard_x_js,H1966P5GE368,195,194,1,0,0,13157959,194,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1966P6GE378,1966,6,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,H1966P6GE378,131,130,1,0,0,8526173,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P4GE196,1993,4,Geografía,standard_x_js,H1993P4GE196,163,162,1,0,0,14283834,162,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P4GE197,1993,4,Atlas de México,standard_x_js,H1993P4GE197,131,130,1,0,0,11044757,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P5GE203,1993,5,Geografía,standard_x_js,H1993P5GE203,179,178,1,0,0,13071221,178,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P5GE204,1993,5,Atlas de Geografía Universal,nonstandard_viewer_architecture,H1993P5GE204,67,66,1,0,0,15777088,66,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P5GE205,1993,5,Atlas de Geografía Universal,standard_x_js,H1993P5GE205,91,90,1,0,0,9533361,90,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H1993P6GE213,1993,6,Geografía,standard_x_js,H1993P6GE213,179,178,1,0,0,16611158,178,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2008P4GE273,2008,4,GEOGRAFÍA,standard_x_js,H2008P4GE273,161,159,0,2,0,13949513,159,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2008P4GE274,2008,4,ATLAS DE MÉXICO,standard_x_js,H2008P4GE274,131,130,1,0,0,12640464,130,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2008P5GE282,2008,5,GEOGRAFÍA,standard_x_js,H2008P5GE282,211,210,1,0,0,61125541,210,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2008P5GE283,2008,5,ATLAS DE GEPGRAFÍA UNIVERSAL,standard_x_js,H2008P5GE283,91,90,1,0,0,38332721,90,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2008P6GE289,2008,6,GEOGRAFÍA,standard_x_js,H2008P6GE289,163,162,1,0,0,44105565,162,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2011P4GE321,2011,4,GEOGRAFÍA,standard_x_js,H2011P4GE321,202,201,1,0,0,61799505,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2011P4GE322,2011,4,ATLAS DE MÉXICO,standard_x_js,H2011P4GE322,130,129,1,0,0,48426747,129,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2011P5GE331,2011,5,GEOGRAFÍA,standard_x_js,H2011P5GE331,202,201,1,0,0,60737538,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2011P5GE332,2011,5,ATLAS DE GEOGRAFÍA UNIVERSAL,standard_x_js,H2011P5GE332,122,121,1,0,0,58353601,121,1
