analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H1993P4GE196,H2008P4GE273,1993,2008,4,4,0,1,2860,2852,2852,0.997203,0.997203,1.000000
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2014P5GEA,H2019P5GEA,2014,2019,5,5,0,1,2493,2437,1229,0.332072,0.492980,0.504309
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2014P4GEA,H2019P4GEA,2014,2019,4,4,0,1,2618,2561,1078,0.262863,0.411765,0.420929
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2014P6GEA,H2019P6GEA,2014,2019,6,6,0,1,2319,2514,876,0.221380,0.377749,0.348449
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2014P4AMA,H2019P4AMA,2014,2019,4,4,0,1,2487,2668,772,0.176135,0.310414,0.289355
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P6GE341,H2014P6GEA,2011,2014,6,6,0,1,2020,2319,465,0.120031,0.230198,0.200517
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P6GE341,H2019P6GEA,2011,2019,6,6,0,1,2020,2514,414,0.100485,0.204950,0.164678
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P4GE321,H2014P4GEA,2011,2014,4,4,0,1,2263,2618,382,0.084908,0.168802,0.145913
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P4GE321,H2019P4GEA,2011,2019,4,4,0,1,2263,2561,361,0.080887,0.159523,0.140961
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P5GE331,H2014P5GEA,2011,2014,5,5,0,1,2244,2493,343,0.078061,0.152852,0.137585
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H1960P3GE008,H1966P3GE352,1960,1966,3,3,0,1,568,514,325,0.429326,0.572183,0.632296
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P4GE322,H2014P4AMA,2011,2014,4,4,0,1,2063,2487,325,0.076923,0.157538,0.130680
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P5GE331,H2019P5GEA,2011,2019,5,5,0,1,2244,2437,317,0.072640,0.141266,0.130078
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2011P4GE322,H2019P4AMA,2011,2019,4,4,0,1,2063,2668,315,0.071332,0.152690,0.118066
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H1993P5GE205,H2008P5GE283,1993,2008,5,5,0,1,860,928,300,0.201613,0.348837,0.323276
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H1960P4GE016,H1966P4GE364,1960,1966,4,4,0,1,944,911,280,0.177778,0.296610,0.307355
LTMD_U1_W6_GEOGRAPHY_ATLAS_EXACT_REUSE_0.1,H2008P4GE274,H2014P4AMA,2008,2014,4,4,0,1,1999,2487,218,0.051078,0.109055,0.087656
