segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1960P3GE008,655,57,1,0,1,52,102,0,79,420
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1960P3GE009,560,56,3,0,1,117,82,0,17,340
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1960P4GE015,517,58,0,0,0,48,96,0,90,283
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1960P4GE016,965,118,3,0,3,281,131,0,32,515
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P3GE352,602,55,1,0,1,55,104,0,74,367
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P3GE353,571,58,3,0,1,125,85,0,16,341
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P4GE360,495,60,0,0,0,48,71,0,92,284
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P4GE364,930,119,3,0,3,271,139,0,27,487
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P5GE367,684,104,2,0,0,56,166,0,199,261
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P5GE368,1773,163,7,0,1,519,169,0,44,1033
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1966P6GE378,747,113,1,0,1,59,137,0,236,313
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P4GE196,3118,146,97,0,3,542,354,0,438,1684
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P4GE197,1651,75,11,0,1,374,103,0,74,1088
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P5GE203,2169,158,69,0,4,427,274,1,292,1102
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P5GE204,345,31,1,0,0,42,13,0,11,278
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P5GE205,868,55,38,0,3,207,136,0,31,453
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H1993P6GE213,3071,149,180,0,5,628,447,1,316,1494
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2008P4GE273,3110,145,97,0,3,542,354,0,438,1676
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2008P4GE274,2267,100,16,0,0,337,88,0,84,1742
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2008P5GE282,2159,151,138,9,15,393,399,9,265,931
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2008P5GE283,935,57,40,0,2,213,141,0,41,498
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2008P6GE289,1676,131,133,7,3,252,310,20,256,695
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2011P4GE321,2427,161,128,7,3,374,428,17,256,1214
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2011P4GE322,2378,97,40,0,3,334,73,1,143,1784
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2011P5GE331,2419,152,119,7,13,420,398,12,235,1215
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2011P5GE332,797,49,13,1,3,138,114,0,28,500
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2011P6GE341,2144,158,83,6,2,375,418,30,223,1007
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2014P4AMA,3062,106,32,0,3,425,114,1,67,2420
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2014P4GEA,2827,164,133,11,4,438,416,20,305,1500
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2014P5AGA,737,48,13,0,0,127,81,0,16,500
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2014P5GEA,2761,165,151,10,15,467,395,24,301,1398
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2014P6GEA,2526,163,101,7,3,401,447,40,264,1263
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2019P4AMA,3223,109,31,0,3,427,124,1,72,2565
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2019P4GEA,2748,163,145,11,4,457,404,20,286,1421
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2019P5AGA,914,51,12,0,1,116,74,0,16,695
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2019P5GEA,2688,165,153,10,13,459,386,23,294,1350
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,H2019P6GEA,2684,164,99,4,2,424,479,39,285,1352
FRAGSEG_LTMD_U1_W6_GEOGRAPHY_ATLAS_0.1,ALL,64203,4074,2097,90,123,10970,8252,259,5943,36469
