ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,direct_canonical,66,66,66,0,0,6197,36391
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA,direct_canonical,66,66,66,0,0,9058,50348
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,direct_canonical,66,66,66,0,0,6281,38620
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA,direct_canonical,130,130,130,0,0,22609,121667
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,direct_canonical,66,66,66,0,0,6036,32888
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA,direct_canonical,66,66,65,1,0,9157,51242
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,direct_canonical,82,82,82,0,0,5961,42559
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA,direct_canonical,130,130,130,0,0,23052,119967
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,direct_canonical,130,130,130,0,0,10330,48065
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA,direct_canonical,194,194,193,1,0,38112,269585
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1966P6GE378,1966,6,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,direct_canonical,130,130,130,0,0,11150,54558
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P4GE196,1993,4,Geografía,direct_canonical,162,162,162,0,0,39799,237951
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P4GE197,1993,4,Atlas de México,direct_canonical,130,130,130,0,0,27422,209166
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P5GE203,1993,5,Geografía,direct_canonical,178,178,178,0,0,32962,179597
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P5GE204,1993,5,Atlas de Geografía Universal,direct_canonical,66,66,66,0,0,4570,23202
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P5GE205,1993,5,Atlas de Geografía Universal,direct_canonical,90,90,90,0,0,19712,172079
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H1993P6GE213,1993,6,Geografía,direct_canonical,178,178,178,0,0,50539,321448
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2008P4GE273,2008,4,GEOGRAFÍA,direct_canonical_reconciled_gap,161,161,161,0,0,39759,237766
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2008P4GE274,2008,4,ATLAS DE MÉXICO,direct_canonical,130,130,130,0,0,23572,337909
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2008P5GE282,2008,5,GEOGRAFÍA,direct_canonical,210,210,210,0,0,38566,209655
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2008P5GE283,2008,5,ATLAS DE GEPGRAFÍA UNIVERSAL,direct_canonical,90,90,90,0,0,19371,186723
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2008P6GE289,2008,6,GEOGRAFÍA,direct_canonical,162,162,162,0,0,26440,210502
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2011P4GE321,2011,4,GEOGRAFÍA,direct_canonical,201,201,201,0,0,39587,302669
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2011P4GE322,2011,4,ATLAS DE MÉXICO,direct_canonical,129,129,123,6,0,29134,328201
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2011P5GE331,2011,5,GEOGRAFÍA,direct_canonical,201,201,201,0,0,40352,276650
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2011P5GE332,2011,5,ATLAS DE GEOGRAFÍA UNIVERSAL,direct_canonical,121,121,121,0,0,14348,224274
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2011P6GE341,2011,6,GEOGRAFÍA,direct_canonical,201,201,200,1,0,37464,273986
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2014P4AMA,2014,4,Atlas de México,direct_canonical,129,129,123,6,0,32714,396319
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2014P4GEA,2014,4,Geografía,direct_canonical,201,201,201,0,0,44244,255279
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2014P5AGA,2014,5,Atlas de geografía del mundo,direct_canonical,121,121,121,0,0,18215,246765
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2014P5GEA,2014,5,Geografía,direct_canonical,209,209,209,0,0,46273,294385
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2014P6GEA,2014,6,Geografía,direct_canonical,201,201,201,0,0,40409,286905
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2019P4AMA,2019,4,Atlas de México,direct_canonical,129,129,123,6,0,33934,307086
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2019P4GEA,2019,4,Geografía,direct_canonical,201,201,200,1,0,42177,346954
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2019P5AGA,2019,5,Atlas de geografía del mundo,direct_canonical,121,121,121,0,0,18776,200788
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2019P5GEA,2019,5,Geografía,direct_canonical,209,209,209,0,0,46686,266049
LTMD_U1_W6_GEOGRAPHY_ATLAS_OCR_0.1,H2019P6GEA,2019,6,Geografía,direct_canonical,201,201,201,0,0,42627,255772
