viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H1960P3GE008,66,16,41,5,0,0,3,1
H1960P3GE009,66,36,20,3,0,1,1,5
H1960P4GE015,66,13,45,3,0,0,3,2
H1960P4GE016,130,89,29,5,0,0,1,6
H1966P3GE352,66,14,41,2,0,1,3,5
H1966P3GE353,66,39,19,3,0,1,1,3
H1966P4GE360,82,11,49,3,0,0,3,16
H1966P4GE364,130,88,31,4,0,0,4,3
H1966P5GE367,130,16,88,13,0,2,4,7
H1966P5GE368,194,135,28,15,0,1,4,11
H1966P6GE378,130,21,92,2,0,1,4,10
H1993P4GE196,162,132,14,8,0,3,3,2
H1993P4GE197,130,46,29,14,0,3,4,34
H1993P5GE203,178,119,39,4,0,3,4,9
H1993P5GE204,66,11,20,3,0,1,2,29
H1993P5GE205,90,47,8,3,0,4,2,26
H1993P6GE213,178,132,17,5,2,5,5,12
H2008P4GE273,161,132,13,8,0,3,3,2
H2008P4GE274,130,52,48,4,0,2,3,21
H2008P5GE282,210,130,21,17,0,6,6,30
H2008P5GE283,90,45,12,3,0,4,4,22
H2008P6GE289,162,93,38,9,0,10,3,9
H2011P4GE321,201,119,42,11,0,9,5,15
H2011P4GE322,129,70,27,7,0,3,2,20
H2011P5GE331,201,125,27,11,0,8,5,25
H2011P5GE332,121,26,23,7,1,0,5,59
H2011P6GE341,201,126,32,9,0,10,5,19
H2014P4AMA,129,75,31,7,0,3,2,11
H2014P4GEA,201,147,17,8,0,9,5,15
H2014P5AGA,121,30,18,6,1,1,5,60
H2014P5GEA,209,138,27,8,0,8,5,23
H2014P6GEA,201,141,22,9,0,7,6,16
H2019P4AMA,129,76,33,7,0,3,2,8
H2019P4GEA,201,146,17,10,0,10,6,12
H2019P5AGA,121,26,25,5,1,1,4,59
H2019P5GEA,209,138,27,10,0,8,6,20
H2019P6GEA,201,148,16,10,0,7,6,14
ALL,5258,2948,1126,261,5,138,139,641
