topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_identity_covered,is_canonical_processing_object,canonical_processing_viewer_key,processing_mode,declared_positions,direct_source_pages_for_processing,recovered_source_pages_for_processing,terminal_synthetic_candidates,original_internal_unserved,persistent_source_gaps
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,1,1,H1960P3GE008,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA,1,1,H1960P3GE009,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,1,1,H1960P4GE015,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA,1,1,H1960P4GE016,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,1,1,H1966P3GE352,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA,1,1,H1966P3GE353,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,1,1,H1966P4GE360,direct_canonical,83,82,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA,1,1,H1966P4GE364,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,1,1,H1966P5GE367,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA,1,1,H1966P5GE368,direct_canonical,195,194,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1966P6GE378,1966,6,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,1,1,H1966P6GE378,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P4GE196,1993,4,Geografía,1,1,H1993P4GE196,direct_canonical,163,162,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P4GE197,1993,4,Atlas de México,1,1,H1993P4GE197,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P5GE203,1993,5,Geografía,1,1,H1993P5GE203,direct_canonical,179,178,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P5GE204,1993,5,Atlas de Geografía Universal,1,1,H1993P5GE204,direct_canonical,67,66,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P5GE205,1993,5,Atlas de Geografía Universal,1,1,H1993P5GE205,direct_canonical,91,90,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1993P6GE213,1993,6,Geografía,1,1,H1993P6GE213,direct_canonical,179,178,0,1,0,0
