analysis_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,source_state,served_sequence_sha256
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,standard_x_js,67,66,1,0,full_direct_source,3267a352c003dc135e719c76bd749448bf2483814b19798d35dc96b5fafec5c9
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA,standard_x_js,67,66,1,0,full_direct_source,2718120d0f02999e67f59ebbf463d9f7500b90280f76817e89eba2e0dc6afaf4
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,67,66,1,0,full_direct_source,8a366913f652ec9dcb7ac2482a49b6bb65c43898b6e77f9dfc9ce2a787161936
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA,standard_x_js,131,130,1,0,full_direct_source,8755f50dc1df3a2d50e8ec134f3fc8b0dcf66713a1423a6e35510378f0e80edc
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,67,66,1,0,full_direct_source,1ceb7a1e3b0a07e84bbe16b52cc20e2be5916fd526b8ced179d58e5dd58e9148
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA,standard_x_js,67,66,1,0,full_direct_source,35164d57334d7ae9db866c7c017d7c9361a2c60bec204649e672c3a84e6f072d
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,83,82,1,0,full_direct_source,161f317af14e0821844dc9c1487fffb936ed9e7b748b5a3ad3e07da0a499c65d
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA,standard_x_js,131,130,1,0,full_direct_source,1ad020c81bc65950b89b77b06fe6333ca29ca390e615dc684c104145b19a760b
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,131,130,1,0,full_direct_source,6f6bdb530ea7ff01b0719743ec9453d13c376365a35a53bab46e0fbc3a3777d9
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA,standard_x_js,195,194,1,0,full_direct_source,abd82e86bf187851fee2f8421ee40d2330016f4f2c93157aab15b02eff753dba
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1966P6GE378,1966,6,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,standard_x_js,131,130,1,0,full_direct_source,8bd80ed4a4e0958df88d30232a16e7c3a2cf2aedf4fc18e3a4bdf2827ff09a2d
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P4GE196,1993,4,Geografía,standard_x_js,163,162,1,0,full_direct_source,f2a7e3935e5c4de5e8820264b8e128a4a7aabde2f93498d68b3f1bb84b1dc221
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P4GE197,1993,4,Atlas de México,standard_x_js,131,130,1,0,full_direct_source,fefae5ef11c09652f537488a50263c7868cfe1c118663b7bc866933166f41550
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P5GE203,1993,5,Geografía,standard_x_js,179,178,1,0,full_direct_source,df61b2d56fb8e16f2e493fa0f003c9c37ee536f2ca7124474333d41ad3d73f4e
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P5GE204,1993,5,Atlas de Geografía Universal,nonstandard_viewer_architecture,67,66,1,0,full_direct_source,9a3fe4051006697e4343c5c4cbcaca6dae0d82fb47a5b358ad3fdb44fcd4d775
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P5GE205,1993,5,Atlas de Geografía Universal,standard_x_js,91,90,1,0,full_direct_source,92f75a365e129fdb8ac3885b4d39516e05fde3b753a5bf2f024cd8d54df647a0
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H1993P6GE213,1993,6,Geografía,standard_x_js,179,178,1,0,full_direct_source,b53440a464559f357c1249ce1bd3e22226a27f92b7a543575203fd7d2010cacf
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2008P4GE273,2008,4,GEOGRAFÍA,standard_x_js,161,159,0,2,partial_internal_unserved,9522da24cb85bb68cf3515e774526238f89b2d8c64ac48e65827b013c725b57d
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2008P4GE274,2008,4,ATLAS DE MÉXICO,standard_x_js,131,130,1,0,full_direct_source,55226aff1898c0fd64c4eca7eac8e288f06b868e0601488ebaf9191024adc54a
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2008P5GE282,2008,5,GEOGRAFÍA,standard_x_js,211,210,1,0,full_direct_source,49f83143cf641cab575f47394602073f527040c307fc7bfbb164bb3c2444563a
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2008P5GE283,2008,5,ATLAS DE GEPGRAFÍA UNIVERSAL,standard_x_js,91,90,1,0,full_direct_source,07ec2c134accc4ca36da6583b08b679efeff90edcb117203f28e2d5e90033248
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2008P6GE289,2008,6,GEOGRAFÍA,standard_x_js,163,162,1,0,full_direct_source,e9e37dcd775e304d4dd0b9728edfce27de0fbf699ecf532d455e1d351946553a
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2011P4GE321,2011,4,GEOGRAFÍA,standard_x_js,202,201,1,0,full_direct_source,5c0f6a9c513d6856b06be5b40a33ba423732a98940d5eb8da1ba8b2e0523c480
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2011P4GE322,2011,4,ATLAS DE MÉXICO,standard_x_js,130,129,1,0,full_direct_source,ff62a16f2967df09f69acbadf583049b2d81235fca937b8eb4ab79b4f85cbb29
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2011P5GE331,2011,5,GEOGRAFÍA,standard_x_js,202,201,1,0,full_direct_source,aae7d602db6475b1635c6bbadb71461e25424edea0261eebc203fb4ac36bdc18
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2011P5GE332,2011,5,ATLAS DE GEOGRAFÍA UNIVERSAL,standard_x_js,122,121,1,0,full_direct_source,2a9c72dbda4aef1d0b693fb63c99882a26aec4dfb448a62c89f1dfdf2da41559
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2011P6GE341,2011,6,GEOGRAFÍA,standard_x_js,202,201,1,0,full_direct_source,c2a988d43ecf718fb7c646b7a5165f28de38f4f0dfaead2cb90a16e6a22bbe38
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2014P4AMA,2014,4,Atlas de México,standard_x_js,130,129,1,0,full_direct_source,700601c26758ac301ff39d3219462b00b01d7aceeec34c7334d280fd4320b369
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2014P4GEA,2014,4,Geografía,standard_x_js,202,201,1,0,full_direct_source,a0b8ea01e42eb2bb71c13828dc133941a0b6648187ba65a58ad9a5675fc1c32a
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2014P5AGA,2014,5,Atlas de geografía del mundo,standard_x_js,122,121,1,0,full_direct_source,db4687b090e11923b656377186c4c0e06cf108d8064681d3160362942bd27901
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2014P5GEA,2014,5,Geografía,standard_x_js,210,209,1,0,full_direct_source,48aa3ba1e966999a90d634b5004f2007ba2c28e0c67da8c831870d9d72e911ce
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2014P6GEA,2014,6,Geografía,standard_x_js,202,201,1,0,full_direct_source,2b257cb77c7849f35f1d761ec1be35ba70b5be4b9d4d68ff90aab887a5a3e8ee
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2018P4AMA,2018,4,Atlas de México,standard_x_js,130,129,1,0,full_direct_source,47ec2e40ce69794fb5c12488a219a47ee4648a8f9cca0232137d8dd319bdd109
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2018P4GEA,2018,4,Geografía,standard_x_js,202,201,1,0,full_direct_source,02b8d3469ff5d5ac07509f3212f08a6d84adb08f4d43791d50fabe8cf2bc7cc5
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2018P5AGA,2018,5,Atlas de geografía del mundo,standard_x_js,122,121,1,0,full_direct_source,09861ebd22b004d664a0da0d9cfb55c4f8b1ac63853687015d25efe599e75cbb
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_REL_0.1,H2018P5GEA,2018,5,Geografía,standard_x_js,210,209,1,0,full_direct_source,60cc8fec09a1ce456912e070b0d28c3521a1e50fffb3ad5927e09a2add1f78df
