recovery_version,viewer_page,target_url,reference_url,persisted_sha256,target_live_sha256,reference_live_sha256,persisted_byte_size,target_live_byte_size,reference_live_byte_size,target_attempts,reference_attempts,target_error,reference_error,live_anchor_exact
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,65,https://historico.conaliteg.gob.mx/c/H2008P4GE273/065.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/065.jpg,c9889d36cb9d5f672b91fd073a6b3ae74044c0af06da60b7b138f0a534693bf7,c9889d36cb9d5f672b91fd073a6b3ae74044c0af06da60b7b138f0a534693bf7,c9889d36cb9d5f672b91fd073a6b3ae74044c0af06da60b7b138f0a534693bf7,92499,92499,92499,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,66,https://historico.conaliteg.gob.mx/c/H2008P4GE273/066.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/066.jpg,dca0fc0b5a61b83fa6227db5c129547b52d58c286f227927badcdd53d20775d3,dca0fc0b5a61b83fa6227db5c129547b52d58c286f227927badcdd53d20775d3,dca0fc0b5a61b83fa6227db5c129547b52d58c286f227927badcdd53d20775d3,88716,88716,88716,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,67,https://historico.conaliteg.gob.mx/c/H2008P4GE273/067.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/067.jpg,c5ea8c37eea8e464ca697e4a31e2327f5c4bae0e3cd95a64a7eeb8a451a98867,c5ea8c37eea8e464ca697e4a31e2327f5c4bae0e3cd95a64a7eeb8a451a98867,c5ea8c37eea8e464ca697e4a31e2327f5c4bae0e3cd95a64a7eeb8a451a98867,80303,80303,80303,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,68,https://historico.conaliteg.gob.mx/c/H2008P4GE273/068.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/068.jpg,a68d6f89fbc98dd5892f0bb9a8b8610d5436379287a42f7b9c853a4dd70b58fa,a68d6f89fbc98dd5892f0bb9a8b8610d5436379287a42f7b9c853a4dd70b58fa,a68d6f89fbc98dd5892f0bb9a8b8610d5436379287a42f7b9c853a4dd70b58fa,95295,95295,95295,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,69,https://historico.conaliteg.gob.mx/c/H2008P4GE273/069.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/069.jpg,4b312215a017af60f63b9f99adddfe3cfebb62e9410e882350f754bbee4a1e38,4b312215a017af60f63b9f99adddfe3cfebb62e9410e882350f754bbee4a1e38,4b312215a017af60f63b9f99adddfe3cfebb62e9410e882350f754bbee4a1e38,79663,79663,79663,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,71,https://historico.conaliteg.gob.mx/c/H2008P4GE273/071.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/071.jpg,01f9be2c85b0af61852459bd80365d526ac20f7b69c23d613351d42973edcfc7,01f9be2c85b0af61852459bd80365d526ac20f7b69c23d613351d42973edcfc7,01f9be2c85b0af61852459bd80365d526ac20f7b69c23d613351d42973edcfc7,80782,80782,80782,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,72,https://historico.conaliteg.gob.mx/c/H2008P4GE273/072.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/072.jpg,e5119189ba1416c6769ea2357156bff7d576946f0a1666cc701615e75a5cb020,e5119189ba1416c6769ea2357156bff7d576946f0a1666cc701615e75a5cb020,e5119189ba1416c6769ea2357156bff7d576946f0a1666cc701615e75a5cb020,90467,90467,90467,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,73,https://historico.conaliteg.gob.mx/c/H2008P4GE273/073.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/073.jpg,ffb1808245e264c1b523eb77a42e83a6a1e270cb0c6de41fc151b6fb044c0de4,ffb1808245e264c1b523eb77a42e83a6a1e270cb0c6de41fc151b6fb044c0de4,ffb1808245e264c1b523eb77a42e83a6a1e270cb0c6de41fc151b6fb044c0de4,81960,81960,81960,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,74,https://historico.conaliteg.gob.mx/c/H2008P4GE273/074.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/074.jpg,512ad5e7d12cb76e995632fe327cf0f6ef5c074b725fb1e722eb7432abbc4c07,512ad5e7d12cb76e995632fe327cf0f6ef5c074b725fb1e722eb7432abbc4c07,512ad5e7d12cb76e995632fe327cf0f6ef5c074b725fb1e722eb7432abbc4c07,88107,88107,88107,1,1,,,1
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,75,https://historico.conaliteg.gob.mx/c/H2008P4GE273/075.jpg,https://historico.conaliteg.gob.mx/c/H1993P4GE196/075.jpg,01b4b5933d56468bf7bb2f10941ac0c6a3f182d10b0e524cbd3effa470f41294,01b4b5933d56468bf7bb2f10941ac0c6a3f182d10b0e524cbd3effa470f41294,01b4b5933d56468bf7bb2f10941ac0c6a3f182d10b0e524cbd3effa470f41294,77407,77407,77407,1,1,,,1
