probe_version,route_contract_version,catalog_generation,grade_code,viewer_key,ag_clave,declared_positions,viewer_page,source_image_index,filename,source_asset_url,http_status,content_type,byte_size,sha256,attempts,error
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,3,H2018P3FCA,H2018P3FCA,114,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H2018P3FCA/000.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,3,H2018P3FCA,H2018P3FCA,114,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H2018P3FCA/002.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,3,H2018P3FCA,H2018P3FCA,114,57,57,057.jpg,https://historico.conaliteg.gob.mx/c/H2018P3FCA/057.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,4,H2018P4FCA,H2018P4FCA,130,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H2018P4FCA/000.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,4,H2018P4FCA,H2018P4FCA,130,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H2018P4FCA/002.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,4,H2018P4FCA,H2018P4FCA,130,65,65,065.jpg,https://historico.conaliteg.gob.mx/c/H2018P4FCA/065.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,5,H2018P5FCA,H2018P5FCA,226,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H2018P5FCA/000.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,5,H2018P5FCA,H2018P5FCA,226,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H2018P5FCA/002.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,5,H2018P5FCA,H2018P5FCA,226,113,113,113.jpg,https://historico.conaliteg.gob.mx/c/H2018P5FCA/113.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,6,H2018P6FCA,H2018P6FCA,210,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H2018P6FCA/000.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,6,H2018P6FCA,H2018P6FCA,210,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H2018P6FCA/002.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2018,6,H2018P6FCA,H2018P6FCA,210,105,105,105.jpg,https://historico.conaliteg.gob.mx/c/H2018P6FCA/105.jpg,404,text/html; charset=iso-8859-1,0,,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2019,3,H2019P3FCA,H2019P3FCA,114,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H2019P3FCA/000.jpg,200,image/jpeg,144330,4a6d1075931bcd765cd882054db406d84eb64065746c5252cb795d66b44b3376,1,
LTMD_U1_W7_2018_ROUTE_CONFORMANCE_0.1,LTMD_U1_W7_IMAGE_ROUTE_CONTRACT_0.2,2019,3,H2019P3FCA,H2019P3FCA,114,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H2019P3FCA/002.jpg,200,image/jpeg,99114,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,1,
