analysis_version,viewer_key,catalog_generation,grade_code,title_core,served_page_count,served_sequence_sha256
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,114,e39acdc2da0a5d97e63e1e092d2bb34c15f6b64d650bcafd76f67e629011d140
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,82,8e6803077d2ea88cd565133e1350dd87f0a2098f01087e7a9323e70cabaa1256
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,74,65678ec0a4a735dc5d53d376e2163fc30f0e7673ffacfc4bef4317cd71923433
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,82,928fd9884dd8acbddb034746cb169ec38ae5edd80baf74a56813baaa1da109d1
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,74,c722583fe5cddf76e1dfb1a933ea83d4c81b8cce5aa909132145d8983fa1aadd
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,90,c97b7a4dc9f5579d092849319c829f216967173b6e3e7d1fb77503b0ecf33956
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,86,edc720f68b12e58555ae2189a733a4a5d80e202473c9fb6dd92550ea4c415aa3
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,90,8615ddaab33971b0837628387d212c9b0ab1eec78b1405d63e2563eed1f2fb29
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,161,874098abf90bffa0dd73d6483848f55a1fb7b51e50c90c7251645e722b2e7b99
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,153,057c851f6ce6efc21edbba6ebd3a0dd15a31cab93fce4e0a5d6f4c020d99dea7
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,113,256ff89d49d0a12a5a6e0bac7dfa7765fffae12ca635e84a60842cdf8bbf1df5
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,129,eb4286a49942ebef6890ad961e3977e9925254790ced1b4db3780ea9b3e10f17
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,129,f0e1f6635cbd32f4f5193238c48941e27beddbf20280230238f155b33e82719a
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,129,10239a8adc4128372c949ab8d1cbc04cba89db152f1ee81009a1bfe3a710dfa8
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,161,50b0fdfef09b322c025a7834bc4d95f533c6db266352d880e3b06307a8be93a7
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,153,54b205c1c0fc5b0eaa9cc52dcb7f4c44c510141729eea93cd402573c1cb0d508
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2014P3FCA,2014,3,Formación Cívica y Ética,113,c431534cac8e8d48723369ee478ef581df6a735744c475efe8f0b16e8247dd6a
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2014P4FCA,2014,4,Formación Cívica y Ética,129,57e5d897744aa29a34bc36397c2d36da5fc646257222456ed9bd0404724394bb
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2014P6FCA,2014,6,Formación Cívica y Ética,209,9c239801594419393983d19b4ca960cd853155383abb03b40cb04a3cccd21fc1
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P1FCA,2019,1,Formación Cívica y Ética,161,aa57b57c9559dfaba5edce4a6ddb52454ac348a3ebcf3a0ff1927187b5d30b40
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P2FCA,2019,2,Formación Cívica y Ética,153,788f5f7e708d5dbc7112ce5e508b3b4bc5ad349cee9f5307e18abb8f34c4b925
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P3FCA,2019,3,Formación Cívica y Ética,113,a62335f909e964398d1383debf6b7f322eea3d66982b1d5fb0dfc70d25a2d965
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P4FCA,2019,4,Formación Cívica y Ética,129,102b56fa0dcf447d5328ec2b3be1b8fb74a18371626e794365db9fef309290ca
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P5FCA,2019,5,Formación Cívica y Ética,225,0442781545980b28690d2f29e9ef33f1b37867b6ee017fc4ea3665bbfddd7751
LTMD_U1_W7_ADMITTED_ASSET_REL_0.1,H2019P6FCA,2019,6,Formación Cívica y Ética,209,83b88d77c2cc479c48a747015d585ab612c328cb0f5120101263fac2d687050b
