audit_version,viewer_key,catalog_generation,grade_code,viewer_page,source_sha256,candidate_kind,candidate_value,psm_support_count,psm_modes,isbn13_checksum_valid,support_class,promotable_under_0_1_rule
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI250,2008,1,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,isbn,978-607-469-230-3,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI250,2008,1,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,school_cycle,2010-2011,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI250,2008,1,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI250,2008,1,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,edition,third_edition:2010,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI251,2008,1,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,isbn,978-607-469-108-5,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI251,2008,1,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P1CI251,2008,1,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI257,2008,2,2,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a,isbn,978-968-011-734-5,1,6,1,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI257,2008,2,2,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a,school_cycle,2008-2009,3,4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI257,2008,2,2,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI257,2008,2,6,ea29f485c8aa9cca4bd8f811645349fa4127a30e2b1983014fd92b91d0d8d633,school_cycle,2008-2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI258,2008,2,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,isbn,978-607-469-110-8,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI258,2008,2,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P2CI258,2008,2,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P3CI264,2008,3,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,isbn,978-607-469-111-5,1,6,1,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P3CI264,2008,3,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P3CI264,2008,3,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P4CI269,2008,4,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,isbn,978-607-469-112-2,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P4CI269,2008,4,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,edition,first_edition:2008,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P4CI269,2008,4,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P5CI278,2008,5,2,bd58bb2d1c5220bfcd3cfcfeda139d26a4b4478b81ca68647c3da440758131e0,school_cycle,2008-2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P6CI286,2008,6,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,isbn,978-968-011-738-3,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P6CI286,2008,6,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,school_cycle,2008-2009,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P6CI286,2008,6,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2008P6CI286,2008,6,6,5551ae326d47c83b14198bc399b7f5e7692bbccf5cfce991ee8abb9406cc3d5d,school_cycle,2008-2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P1CI294,2011,1,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,isbn,978-607-514-328-6,5,3;4;6;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P1CI294,2011,1,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,school_cycle,2013-2014,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P1CI294,2011,1,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P1CI294,2011,1,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,edition,fourth_edition:2013,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P2CI301,2011,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,isbn,978-507-514-927-9,0,,0,invalid_isbn13_checksum,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P2CI301,2011,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,school_cycle,2013-2014,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P2CI301,2011,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,edition,fourth_edition:2013,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P3CI308,2011,3,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P3CI308,2011,3,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,edition,third_edition:2010,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P3CI308,2011,3,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,reprint,first_reprint:2011,1,6,,single_psm,0
