audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P1CI250,115,114,1,0,0,41812965,114,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,standard_x_js,H2008P1CI251,83,82,1,0,0,4787488,82,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P2CI257,75,74,1,0,0,5641073,74,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,standard_x_js,H2008P2CI258,83,82,1,0,0,4541091,82,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P3CI264,75,74,1,0,0,5429449,74,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P4CI269,91,90,1,0,0,6760441,90,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P5CI278,87,86,1,0,0,21342632,86,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2008P6CI286,91,90,1,0,0,19866852,90,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2011P1CI294,162,161,1,0,0,13565942,161,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,standard_x_js,H2011P2CI301,154,153,1,0,0,43516569,153,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2011P3CI308,114,113,1,0,0,43298311,113,1
