analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4,1,2,253,22,4,6,U1-H2008P1CI250-P021-F018
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f,1,2,243,21,4,6,U1-H2008P1CI250-P021-F016
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c,1,2,153,24,4,6,U1-H2008P1CI250-P021-F020
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,23f663630e2f28250c09d7a0c370f55eebf635772f9ce27e46797ab8ef297f4b,1,2,95,22,4,6,U1-H2008P1CI250-P021-F022
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,517f1260251c72bc4b53436fca572326f9bb9654784c665e154ab9709054ebe0,1,14,68,16,4,6,U1-H2008P2CI257-P070-F008
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,d4204e671f8caf73855894c6ce47331b7fd9115a92f75933106979a0297a10ca,3,14,68,6,3,2,U1-H2011P1CI294-P042-F004
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7829d26b0e47b5d80d23df8f22ebfa60d5d23ceadf93dff686dd053a36eeaf18,3,14,57,3,2,2,U1-H2014P6FCA-P021-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,fe5516eff608f82dcecdc9db660d762df51f8e0a7e27ea0aa16327e53f4e0393,2,9,54,15,4,5,U1-H2008P1CI251-P014-F004
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,558f6a55aeefa9079b2356fde103905965a14cfdcf0c7220bb49d6433eee7df1,2,13,53,4,2,3,U1-H2014P6FCA-P024-F012
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,540dd397b2d380dcc3f59796c4facc43379929f1a3b5e6cc9a218274391b635b,1,2,52,19,4,6,U1-H2008P1CI250-P021-F024
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,8465573f1fc21f79c682f0273217fc47891d9a103840471bce14880b541b4782,2,15,50,3,2,2,U1-H2014P6FCA-P019-F009
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,e106f4af7d12b5b2a0b3487ae62169ead0dfd52eed7fd4749816798d1f67f0ec,4,22,50,11,4,6,U1-H2008P1CI250-P027-F019
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,69718bed3f739f2629130a0562b39fbb952373e4ffd5d4dea9d290b0fab20443,1,14,44,3,2,2,U1-H2014P6FCA-P020-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7a6e7aa6195989812b621a2f410127211dd2cbc933623c2b19a38fe56923e2a1,4,15,41,2,2,1,U1-H2014P4FCA-P027-F008
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,8b007140df94a9c5f7ebe2d6334444e6852fa95827418c29732dabd178e44a45,3,20,39,6,3,2,U1-H2011P1CI294-P022-F002
