segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P1CI250,893,94,13,2,1,149,96,3,88,541
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P1CI251,374,68,9,8,0,36,64,0,53,204
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P2CI257,931,60,28,11,15,162,168,2,81,464
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P2CI258,487,63,28,9,1,62,77,1,70,239
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P3CI264,700,62,19,7,5,158,138,2,43,328
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P4CI269,1151,75,23,10,6,260,171,3,108,570
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P5CI278,1215,72,25,12,19,266,218,3,77,595
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2008P6CI286,1260,75,34,14,16,262,231,14,72,617
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P1CI294,1335,140,59,13,2,146,197,2,220,696
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P2CI301,1173,132,63,14,3,131,192,1,189,580
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P3CI308,1043,97,24,2,0,203,167,1,102,544
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P4CI315,1523,107,17,7,2,290,219,4,156,828
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P5CI326,1273,111,25,7,9,278,198,5,110,641
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2011P6CI336,1341,109,23,6,2,283,238,4,116,669
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2014P1FCA,1370,138,59,12,4,140,190,2,220,743
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2014P2FCA,1209,130,61,12,4,131,182,2,185,632
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2014P3FCA,1112,95,30,5,4,209,157,1,113,593
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2014P4FCA,1529,109,21,6,4,305,218,6,144,825
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2014P6FCA,2537,162,44,31,15,369,380,26,311,1361
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P1FCA,1352,141,65,16,3,133,212,2,223,698
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P2FCA,1230,130,67,14,3,130,207,0,184,625
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P3FCA,1128,98,30,0,3,210,164,1,113,607
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P4FCA,1546,107,21,6,3,292,221,5,151,847
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P5FCA,2940,192,58,28,17,458,467,21,365,1526
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,H2019P6FCA,2799,178,57,31,14,392,413,30,376,1486
FRAGSEG_LTMD_U1_W7_CIVICS_ETHICS_0.1,ALL,33451,2745,903,283,155,5455,5185,141,3870,17459
