viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H2008P1CI250,U1-H2008P1CI250-P042,15,16,15,1
H2008P1CI250,U1-H2008P1CI250-P068,5,6,1,1
H2008P1CI250,U1-H2008P1CI250-P077,16,17,13,1
H2008P1CI250,U1-H2008P1CI250-P098,14,15,11,1
H2008P1CI250,U1-H2008P1CI250-P103,8,9,4,1
H2008P1CI251,U1-H2008P1CI251-P049,15,16,1,1
H2008P1CI251,U1-H2008P1CI251-P054,13,15,6 8,2
H2008P1CI251,U1-H2008P1CI251-P076,10,11,7,1
H2008P2CI257,U1-H2008P2CI257-P026,32,33,1,1
H2008P2CI257,U1-H2008P2CI257-P056,15,16,14,1
H2008P2CI258,U1-H2008P2CI258-P062,3,4,1,1
H2008P3CI264,U1-H2008P3CI264-P072,22,23,11,1
H2008P4CI269,U1-H2008P4CI269-P034,9,10,5,1
H2008P4CI269,U1-H2008P4CI269-P043,14,15,7,1
H2008P4CI269,U1-H2008P4CI269-P060,10,11,8,1
H2008P4CI269,U1-H2008P4CI269-P063,13,14,1,1
H2008P4CI269,U1-H2008P4CI269-P071,21,22,3,1
H2008P4CI269,U1-H2008P4CI269-P088,16,17,10,1
H2008P5CI278,U1-H2008P5CI278-P029,11,12,11,1
H2008P6CI286,U1-H2008P6CI286-P078,7,8,5,1
H2011P1CI294,U1-H2011P1CI294-P011,12,13,9,1
H2011P1CI294,U1-H2011P1CI294-P057,8,11,6 7 8,3
H2011P2CI301,U1-H2011P2CI301-P147,14,16,3 4,2
H2011P3CI308,U1-H2011P3CI308-P046,4,5,3,1
H2011P3CI308,U1-H2011P3CI308-P089,26,27,16,1
H2011P3CI308,U1-H2011P3CI308-P090,6,7,4,1
H2011P3CI308,U1-H2011P3CI308-P107,22,23,14,1
H2011P4CI315,U1-H2011P4CI315-P011,7,8,7,1
H2011P4CI315,U1-H2011P4CI315-P021,15,20,9 11 14 16 18,5
H2011P4CI315,U1-H2011P4CI315-P061,18,19,11,1
H2011P4CI315,U1-H2011P4CI315-P069,22,23,21,1
H2011P5CI326,U1-H2011P5CI326-P027,9,10,1,1
H2011P5CI326,U1-H2011P5CI326-P053,21,22,5,1
H2011P5CI326,U1-H2011P5CI326-P065,8,10,1 5,2
H2011P6CI336,U1-H2011P6CI336-P023,15,16,1,1
H2011P6CI336,U1-H2011P6CI336-P054,12,13,1,1
H2011P6CI336,U1-H2011P6CI336-P058,11,12,11,1
H2011P6CI336,U1-H2011P6CI336-P070,10,11,1,1
H2014P1FCA,U1-H2014P1FCA-P108,11,12,11,1
H2014P1FCA,U1-H2014P1FCA-P112,10,11,10,1
H2014P2FCA,U1-H2014P2FCA-P071,12,13,3,1
H2014P2FCA,U1-H2014P2FCA-P139,5,6,4,1
H2014P2FCA,U1-H2014P2FCA-P147,14,15,1,1
H2014P3FCA,U1-H2014P3FCA-P068,7,8,4,1
H2014P3FCA,U1-H2014P3FCA-P086,8,9,1,1
H2014P3FCA,U1-H2014P3FCA-P094,14,15,5,1
H2014P3FCA,U1-H2014P3FCA-P104,7,8,4,1
H2014P3FCA,U1-H2014P3FCA-P107,28,29,6,1
H2014P4FCA,U1-H2014P4FCA-P021,14,20,6 10 12 14 16 18,6
H2014P4FCA,U1-H2014P4FCA-P069,20,23,10 12 21,3
H2014P4FCA,U1-H2014P4FCA-P096,18,20,11 18,2
H2014P6FCA,U1-H2014P6FCA-P017,15,16,4,1
H2014P6FCA,U1-H2014P6FCA-P109,12,13,7,1
H2014P6FCA,U1-H2014P6FCA-P145,14,15,9,1
H2019P1FCA,U1-H2019P1FCA-P013,16,17,13,1
H2019P1FCA,U1-H2019P1FCA-P019,20,21,2,1
H2019P1FCA,U1-H2019P1FCA-P028,17,18,9,1
H2019P1FCA,U1-H2019P1FCA-P137,6,7,6,1
H2019P1FCA,U1-H2019P1FCA-P141,18,19,8,1
H2019P1FCA,U1-H2019P1FCA-P157,13,14,7,1
H2019P2FCA,U1-H2019P2FCA-P135,15,16,15,1
H2019P3FCA,U1-H2019P3FCA-P036,14,15,13,1
H2019P3FCA,U1-H2019P3FCA-P055,5,6,1,1
H2019P3FCA,U1-H2019P3FCA-P067,28,29,17,1
H2019P4FCA,U1-H2019P4FCA-P021,15,20,10 12 14 16 18,5
H2019P4FCA,U1-H2019P4FCA-P042,14,15,8,1
H2019P4FCA,U1-H2019P4FCA-P066,23,24,2,1
H2019P4FCA,U1-H2019P4FCA-P069,20,22,11 20,2
H2019P4FCA,U1-H2019P4FCA-P072,12,13,8,1
H2019P4FCA,U1-H2019P4FCA-P086,13,14,4,1
H2019P4FCA,U1-H2019P4FCA-P096,18,19,17,1
H2019P5FCA,U1-H2019P5FCA-P027,17,18,16,1
H2019P5FCA,U1-H2019P5FCA-P039,22,23,7,1
H2019P5FCA,U1-H2019P5FCA-P051,14,15,13,1
H2019P5FCA,U1-H2019P5FCA-P089,20,21,12,1
H2019P5FCA,U1-H2019P5FCA-P137,10,11,9,1
H2019P5FCA,U1-H2019P5FCA-P147,19,22,9 11 14,3
H2019P5FCA,U1-H2019P5FCA-P152,10,11,10,1
H2019P6FCA,U1-H2019P6FCA-P017,13,15,2 4,2
H2019P6FCA,U1-H2019P6FCA-P075,13,14,13,1
H2019P6FCA,U1-H2019P6FCA-P109,11,12,8,1
H2019P6FCA,U1-H2019P6FCA-P145,14,15,2,1
H2019P6FCA,U1-H2019P6FCA-P161,31,32,19,1
