ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,114,114,114,0,0,13885,80188
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,direct_canonical,82,82,82,0,0,3961,29655
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,74,74,74,0,0,17895,133849
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,direct_canonical,82,82,80,2,0,5199,36265
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,74,74,74,0,0,14640,151755
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,90,90,90,0,0,21548,187175
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,86,86,86,0,0,25100,157232
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,90,90,90,0,0,25695,199518
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,161,161,161,0,0,15353,85256
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,direct_canonical,153,153,153,0,0,14217,69885
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,113,113,113,0,0,18004,102814
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,129,129,129,0,0,22299,187532
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,129,129,128,1,0,23985,154660
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,129,129,129,0,0,25759,159499
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,direct_canonical,161,161,161,0,0,15142,85989
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,direct_canonical,153,153,153,0,0,14649,78058
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2014P3FCA,2014,3,Formación Cívica y Ética,direct_canonical,113,113,113,0,0,18497,97352
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2014P4FCA,2014,4,Formación Cívica y Ética,direct_canonical,129,129,129,0,0,24036,177020
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2014P6FCA,2014,6,Formación Cívica y Ética,direct_canonical,209,209,208,1,0,35242,401782
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P1FCA,2019,1,Formación Cívica y Ética,direct_canonical,161,161,161,0,0,14406,106141
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P2FCA,2019,2,Formación Cívica y Ética,direct_canonical,153,153,153,0,0,14110,90869
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P3FCA,2019,3,Formación Cívica y Ética,direct_canonical,113,113,113,0,0,18382,103012
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P4FCA,2019,4,Formación Cívica y Ética,direct_canonical,129,129,129,0,0,23606,182391
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P5FCA,2019,5,Formación Cívica y Ética,direct_canonical,225,225,224,1,0,42251,242101
LTMD_U1_W7_CIVICS_ETHICS_OCR_0.1,H2019P6FCA,2019,6,Formación Cívica y Ética,direct_canonical,209,209,208,1,0,38206,222784
