viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H2008P1CI250,114,36,58,5,0,4,3,8
H2008P1CI251,82,0,68,3,0,2,2,7
H2008P2CI257,74,49,11,2,1,6,4,1
H2008P2CI258,82,10,53,8,0,4,2,5
H2008P3CI264,74,52,10,1,0,4,5,2
H2008P4CI269,90,68,7,1,0,4,6,4
H2008P5CI278,86,68,4,3,0,4,4,3
H2008P6CI286,90,68,7,0,0,5,6,4
H2011P1CI294,161,33,107,7,0,7,3,4
H2011P2CI301,153,35,97,4,0,11,3,3
H2011P3CI308,113,64,33,5,0,4,4,3
H2011P4CI315,129,76,31,7,1,5,4,5
H2011P5CI326,129,75,36,8,0,4,4,2
H2011P6CI336,129,78,31,6,0,5,6,3
H2014P1FCA,161,32,106,6,0,9,2,6
H2014P2FCA,153,35,95,3,0,13,3,4
H2014P3FCA,113,67,28,5,0,4,4,5
H2014P4FCA,129,80,29,6,1,4,4,5
H2014P6FCA,209,123,39,13,0,11,5,18
H2019P1FCA,161,34,107,7,0,8,3,2
H2019P2FCA,153,34,96,5,0,11,5,2
H2019P3FCA,113,67,31,3,0,4,5,3
H2019P4FCA,129,78,29,7,1,4,5,5
H2019P5FCA,225,140,52,15,0,8,7,3
H2019P6FCA,209,134,44,15,0,8,6,2
ALL,3261,1536,1209,145,4,153,105,109
