fingerprint_version,viewer_key,viewer_page,source_image_index,source_sha256,source_byte_size,sha_verified,isbn_candidates,year_candidates,bibliographic_lines
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,1,0,24c04d23291136535f39286abb5c37110188347a786f830d8d1c080cdfbba4e9,564210,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,2,2,e6f598a680166d0c7d8d8d065a557ee20813c597fb9f9b9c8da248d90d80180a,17401,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,3,3,6e6fc86dd128354b34c680ac2a371cbbe38e522fe7ce35e7e0df84715b67b726,87482,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,1,,2017;2018,"Formación Cívica y Ética. Quinto grado fue coordinado y editado por la Subsecretaría de Educación Básica de la Secretaría de Educación Pública. || ¡Alejandro RodríguezVázquez Adriana Quezada Rivas pp. 15, 21, 26, 38, 44-45, 49, 51, 58-59, 65-66, 80-81, 84, 87, 89, 100- || Tercera reimpresión, 2017 (ciclo escolar 2017-2018) padres de famila de educación preescolar, primaria y secundaria, la Secretaría de Educación || ia Cita ó maestr(s), profesorfes, docenta(s) y padres de famila aludiendo a ambos géneros,"
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,5,5,84528530b55ce89da74301ec3a2d3c982f5cfec047ce9a6fb602ef1f450e4ed7,488798,1,,1962,"E libro de texto que tienes en tus manos fue elaborado por la Secretaría de Educación || Muchos padres de familia y maestros participaron en su creación, trabajando con"
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,6,6,43ee59c9743204910e242bec80e05a375f5f697c493d535a1ff03dc50a7fa8e3,281876,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,7,7,6d84d116a30ad084622671a7ffffabfd27a96d9e5f227a8d39a7edd078f35a3d,223268,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,8,8,79ee292d98d88209fb69915bccae012e5643e7d859a3518d60bc8d6d3c5cb9ba,549733,1,,,En un recuadro se indica silaleo= 1 . 2% a
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,9,9,2266f5374a2685c6693c51d0bc891812ddd4a1654cb82e88a8b918de3969d244,478594,1,,,PETT e ee En los recuadros Palabras cla-
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,10,10,3e514f876276e65fc25d170395ca2098ac5604e52a989f89c8d598cd10241cc7,550638,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,11,11,4849d97529763b3e822cab08dac07e6c505ee09b1b742cc30b0543f4fa7a7694,375327,1,,,
LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.1,H2014P5FCA,12,12,507a9175bf2c6964a4d454070c98f12e43d1ad21337d2d111a4717ab49a2ac5e,546135,1,,,
