analysis_version,target_viewer,candidate_viewer,viewer_page,target_sha256,candidate_sha256,target_byte_size,candidate_byte_size
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,1,24c04d23291136535f39286abb5c37110188347a786f830d8d1c080cdfbba4e9,f69f9466ca6f2d393ad9887789b39f746190e7272dbedd6f0363cbc2e9433cc1,564210,215521
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,2,e6f598a680166d0c7d8d8d065a557ee20813c597fb9f9b9c8da248d90d80180a,bd58bb2d1c5220bfcd3cfcfeda139d26a4b4478b81ca68647c3da440758131e0,17401,230486
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,3,6e6fc86dd128354b34c680ac2a371cbbe38e522fe7ce35e7e0df84715b67b726,bb3caf78e0de5bcc5c5d89070c60212b1d916817a16ac57254bbcf813828fc04,87482,281623
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,cefbfe245d046316586e42b176e854f9a07aef91c4d66b61211e0faa4c18d17d,217715,281628
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,5,84528530b55ce89da74301ec3a2d3c982f5cfec047ce9a6fb602ef1f450e4ed7,daec155afdefe88ba5d6c38590b6b2c5b553cdd2e44a04415b02e917d9e0ce80,488798,287474
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,6,43ee59c9743204910e242bec80e05a375f5f697c493d535a1ff03dc50a7fa8e3,3c93d719923031ae59a62472f107d6a164c0e1933f1cf016d78a07752ea64371,281876,317164
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,7,6d84d116a30ad084622671a7ffffabfd27a96d9e5f227a8d39a7edd078f35a3d,efd2e6281bbb5fc08a73298a60c096c4aacf48feb75cb486db70bab09a7c53d0,223268,299881
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,8,79ee292d98d88209fb69915bccae012e5643e7d859a3518d60bc8d6d3c5cb9ba,3aa5e6029a06cea60a49a6e6a9a3aae2fa28640f527d15d73a1b59b580834614,549733,297753
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,9,2266f5374a2685c6693c51d0bc891812ddd4a1654cb82e88a8b918de3969d244,05682118ebc968578582536307adde646841c38d89cfcb9c4a99521468392e8f,478594,301015
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,10,3e514f876276e65fc25d170395ca2098ac5604e52a989f89c8d598cd10241cc7,8b704a49467c997b148499c407733ae171e492cda37cc96c32339db9326904f5,550638,284021
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,11,4849d97529763b3e822cab08dac07e6c505ee09b1b742cc30b0543f4fa7a7694,a871d0d638b033fb45f221c73155a32ed10fc85116c202782d38a5f5e8d56179,375327,303141
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,12,507a9175bf2c6964a4d454070c98f12e43d1ad21337d2d111a4717ab49a2ac5e,57270380638b457ba56886ccafb0ba6330459704dd99b2247b9b7580df8730a1,546135,293126
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,13,c53379dca444e3cf896af89f0d79aea3064929a93ad9ac45bca025a3f0a35f1d,96c9e5f5d4d8e5d5938f05b398be3783f11e5308ec56e53f1bbc6a41391f896c,664947,230350
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,14,72b41bafa53bfa9a15298ddb3b6802582f8b00e6e09954382366dc7f32355abd,91c63a2374953b6c1b18f47231b24e320978d2b9091aa2be3090a583fa6904f6,378374,205575
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,15,fc5a2d1956b133d254bea17fc6b810772739ce16cc609f65e4ca7dc5b409d971,2cdc2aa98a97ec32ebd70f4720fb424e4b5ad96390064614f51ce340d4dce458,492596,258426
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,16,d7b8462381c55a569698d524cb3dc6a9325321acad6ba2670715834bab2c42c4,152dccf63beec3c858db2d8628a1e827555843ff1bced1308dcd08c7221fb5cf,431381,230556
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,17,c06daa661a009ee59d7770082ee2580aedac349b2f909a276fe7d86e33b18f69,178d6b150134bfd1185c401eb459669acd244aa2642a52f688b53a48a746e60a,450777,279909
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,18,a498e3920e64181d6bf46c5c1bde0fe486db5438b01c634c3fa77e6ccdf26e0c,e89412e78cae6f42b3aefbca10db7e4e7a5ea981babc8c49e068d937e015afe5,329976,286610
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,19,87aa0ec66e965452b8b03260b15514cbcea0e17e562e425bec1c3dd9081a617c,0db149c4ac3520b6e6f33815efa77d4793c09c01ce4d2de58c6089d7b79b5210,387888,272118
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,20,4fd9927bc02e0f3ae7e04387682e01b245510b2b2a288baeb79f81a891eeb5a1,540f09a7fd26e239e4188d2375b1a3d495399e100664c4d1fedcd49f3099cdea,299121,234141
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,21,1eb32f77645ba72bc170778ddb01f1f52573212b012dd284ef1c3b2ad1ffada0,86143ad20deaeb05c544b91785cc9ee5e298c4ea1a132fd21fd5b336e84ab362,467499,252542
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,22,86524c4766aef170326ab4d638f7df20e3f2f756ec7b39bb1ffa152db188ce0d,3fd53d30fe172535b545ab99d94efb7ac286fd4af273ffba99bd9ca77bd3b8e1,311422,271739
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,23,e834238c7bf1f4bb6e64c56ff9b6263493613b017ac91a62aeb37fe8c7cc64eb,64ddeedbbc0cca0ba62f761b5d62bc21a8dd68f965c006b60791993350aa9a1a,550472,258236
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,24,7bb12c6c739245dc743e2626d150ed82f8773377b3024dbc2c033c777193e021,3d93bc9b183ead614174bf678243c8e40b977805dff97d1defe6055270311543,404113,245042
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,25,6b5ffbabee0930ec122fa32e3929b3f62e31b5ac0ee98b45037418ffbd63d37e,acdfb2ea0ef225fd4117e9590acc1caf9b5b03c9107da31cd18f8a6868974b12,176783,258224
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,26,2ec4247a954d9c88aad167437be88b341a424a4afedd19c9ba44f99ca80491aa,3ca5b174b611a0db96f931d17f1a4f8b98e236957a02953936a310bda8ff7ce4,425468,276254
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,27,525a7c8290655a8b782e4445656d94ab305d54d392768e3f483b245abf7c24ef,96a0221827711f2c321647b2406a5df1a161e22b7729a9342a5414323cec6b4c,383345,237811
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,28,807907f28cd89db4ba55bacffd31d5a7e09323bf799d41faa4132cdcb9262654,3f72ae6455f79317a414a942bb1751f4c3eef9d3e12a0573bc3fe0386c2e241f,555905,211588
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,29,8d755ab95fa867ebbf08320ba9ca428897e52a72af771fd60c5c556b96e10099,3c98c985bd42450f0b965f0ff8ee72ecb196e01763ba9d65646f16aee04a7984,357339,202173
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,30,9090302161f6b6399c6e6d2f84351a21feb2dad34be7d2763f253d6b88f89928,f48e71e580dbcc52eaa8e1c350b8a6482f74e4852737542d54b35d9652cd41ba,397858,206786
