gate_version,viewer_key,catalog_generation,grade_code,title_core,declared_positions,source_jpegs,internal_unserved,direct_asset_ready,ocr_source_admitted,decision,reason_code,evidence
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,115,114,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=114; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,83,82,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=82; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,75,74,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=74; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,83,82,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=82; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,75,74,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=74; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,91,90,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=90; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,87,86,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=86; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,91,90,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=90; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,162,161,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=161; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,154,153,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=153; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,114,113,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=113; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,130,129,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=129; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,130,129,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=129; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,130,129,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=129; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,162,161,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=161; internal_unserved=0; direct_asset_ready=1
