architecture_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_status,ag_pages_signal,standard_dynamic_architecture,source_url
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P1CI250.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P1CI251.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P2CI257.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P2CI258.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P3CI264.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P4CI269.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P5CI278.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2008P6CI286.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P1CI294.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P2CI301.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P3CI308.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P4CI315.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P5CI326.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2011P6CI336.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2014P1FCA.htm
LTMD_U1_W7_ARCHITECTURE_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,200,1,200,1,1,https://historico.conaliteg.gob.mx/H2014P2FCA.htm
