diagnostic_version,viewer_key,catalog_generation,grade_code,viewer_page,source_image_index,asset_status,http_status,source_asset_url
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2014P5FCA,2014,5,104,104,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2014P5FCA/104.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,1,0,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/000.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,2,2,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/002.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,3,3,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/003.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,4,4,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/004.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,5,5,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/005.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,6,6,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/006.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,7,7,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/007.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,8,8,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/008.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,9,9,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/009.jpg
LTMD_U1_W7_WITHHELD_SOURCE_GAPS_0.1,H2018P3FCA,2018,3,10,10,internal_unserved,404,https://historico.conaliteg.gob.mx/c/H2018P3FCA/010.jpg
