audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,standard_x_js,H2008P2ED259,99,98,1,0,0,5749288,98,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,standard_x_js,H2008P5ED279,107,106,1,0,0,29250310,106,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P1ED295,2011,1,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P1ED295,82,81,1,0,0,7825562,81,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P2ED302,2011,2,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P2ED302,90,89,1,0,0,9588896,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P3ED309,2011,3,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P3ED309,98,97,1,0,0,31059384,97,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P4ED317,2011,4,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P4ED317,98,97,1,0,0,35071869,97,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P5ED327,2011,5,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P5ED327,98,97,1,0,0,25177505,97,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2011P6CI337,2011,6,EDUCACIÓN ARTÍSTICA,standard_x_js,H2011P6CI337,98,97,1,0,0,35241358,97,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2014P3EAA,2014,3,Educación Artística,standard_x_js,H2014P3EAA,90,89,1,0,0,44060509,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2014P4EAA,2014,4,Educación Artística,standard_x_js,H2014P4EAA,90,89,1,0,0,46040806,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2014P5EAA,2014,5,Educación Artística,standard_x_js,H2014P5EAA,90,89,1,0,0,44962970,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2014P6EAA,2014,6,Educación Artística,standard_x_js,H2014P6EAA,98,97,1,0,0,43575436,97,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2018P3EAA,2018,3,Educación Artística,standard_x_js,H2018P3EAA,90,0,0,90,0,0,0,0
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2018P4EAA,2018,4,Educación Artística,standard_x_js,H2018P4EAA,90,0,0,90,0,0,0,0
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2018P5EAA,2018,5,Educación Artística,standard_x_js,H2018P5EAA,90,0,0,90,0,0,0,0
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2018P6EAA,2018,6,Educación Artística,standard_x_js,H2018P6EAA,98,0,0,98,0,0,0,0
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2019P3EAA,2019,3,Educación Artística,standard_x_js,H2019P3EAA,90,89,1,0,0,11896804,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2019P4EAA,2019,4,Educación Artística,standard_x_js,H2019P4EAA,90,89,1,0,0,38855423,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2019P5EAA,2019,5,Educación Artística,standard_x_js,H2019P5EAA,90,89,1,0,0,33052780,89,1
LTMD_U1_W8_ARTES_ASSET_AUDIT_0.2,H2019P6EAA,2019,6,Educación Artística,standard_x_js,H2019P6EAA,98,97,1,0,0,33788819,97,1
