analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,968fc8371a995e54820f93c9aebd5c898a23e79b5eba1fba86edacaa7f2946ed,3,14,113,14,3,6,U1-H2011P1ED295-P020-F004
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,2c3150e511ec14cace72a2871dcbce7af4ea1a17d54862fe29af387b8a97e863,4,24,93,7,4,3,U1-H2008P2ED259-P013-F009
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,ac15975d909db8ddc4783fc31c2d0271599ed58282385c87bfe28343e4837286,3,19,77,16,4,6,U1-H2008P2ED259-P021-F012
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,1,1,76,16,4,6,U1-H2008P2ED259-P036-F011
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,63d9a516e00e92863f1d8f096f307676c888432a892edf81bae0b4fa80eeb9ad,4,26,59,10,4,3,U1-H2008P5ED279-P026-F016
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,be811569410a4807fbd6396f64f08f156c1c8398b18549170fc5d8a700f876fd,3,20,38,12,3,6,U1-H2011P1ED295-P036-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,a9f51566bd6705f7ea6ad54bb9deb449f795582d6529a0e22207b8981233ec58,1,1,36,14,4,6,U1-H2008P2ED259-P071-F004
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,82dfa6cee5579b20e1da8b6d1ca949341e77373abad6c2f34112762f5cec8dfe,2,12,31,12,3,5,U1-H2011P2ED302-P073-F008
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,b73b86c7e175731f07c28b241bdf2940e8f58159c199c6d8d6523e6d2cac9fbd,1,11,30,6,2,5,U1-H2008P2ED259-P032-F008
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,81a7de7361deed7a8b4ec85de5c1744a291c323ff02e655019b9f553f8d40075,1,2,28,2,2,1,U1-H2014P6EAA-P093-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1,1,26,11,4,6,U1-H2008P2ED259-P028-F004
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,1,1,21,12,4,6,U1-H2008P2ED259-P029-F005
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,17a9a4ff7f6cf7e45ebf74916f5d96677a5a53679bb9bee1cfd1de5c43060541,4,22,16,2,1,2,U1-H2011P3ED309-P023-F004
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1,1,15,9,3,5,U1-H2011P1ED295-P035-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,955505d57a4f8832340cba80101e7274317174eb8843de252ad6866ffcf50957,4,27,15,4,2,3,U1-H2008P5ED279-P049-F004
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,fe5516eff608f82dcecdc9db660d762df51f8e0a7e27ea0aa16327e53f4e0393,2,9,15,9,3,3,U1-H2011P3ED309-P065-F033
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,1,14,9,4,5,U1-H2008P2ED259-P088-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,ce344a418127968f2bd07ada86c8cf3808eea524c399a02c0c2c0ebbe0f5467c,1,2,14,11,4,5,U1-H2008P2ED259-P069-F012
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,2996d8005d0ebcc4f26b5b2874e523ff0721cc051f4e02cba5c0518b7f1297a8,4,24,13,6,4,2,U1-H2008P5ED279-P041-F011
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4f5fb39f065c77d0963fcf941079f6784cfd4095d05baff5c063379ce95f1f4e,15,91,13,3,1,3,U1-H2011P3ED309-P023-F012
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,6e59936e36dcf12c50032dd06eb94a90cb0f7817b63f6c1d17a2b6e5c8b9b2ed,4,22,13,6,3,4,U1-H2008P2ED259-P054-F003
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,6f38a85efe33f7c971f6d2b4b511ab1c303bce0393e43987205d1967e4520e3a,4,30,13,13,4,6,U1-H2008P5ED279-P103-F023
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,e0ad2f662eb2ea93920a40ffcf465bf8f4d8d66c9173a4317c774fc40379137f,3,20,13,7,2,4,U1-H2014P3EAA-P021-F018
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,33bec29f8c25320a7a79bf0e1e60059a7aad94c78084c9e85754a63bd9333cc0,1,6,12,7,3,3,U1-H2011P3ED309-P022-F002
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,b81ab481f688677561ca8c2b0bd1eab3320f60e7f3c5bb58698c415492311fdb,2,7,12,2,1,2,U1-H2011P3ED309-P023-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,c5a6c62e1f028f00744da88d81bd00ab0626254db86bf5d836d58d440c328606,4,15,12,2,2,1,U1-H2008P5ED279-P067-F003
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,f4a0f374e119e5cb3cf265a47773bfa9f7f3b90eb2c14a543de076fee58ca940,4,27,12,2,1,2,U1-H2011P1ED295-P079-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,7f50cf69217b587378e9cfec936203ee4000127aa7921a912fd2e8d035f07666,5,24,11,11,3,6,U1-H2011P1ED295-P079-F001
