analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P3EAA,H2019P3EAA,2014,2019,3,3,0,1,850,861,513,0.428214,0.603529,0.595819
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P4EAA,H2019P4EAA,2014,2019,4,4,0,1,860,829,423,0.334123,0.491860,0.510253
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P5EAA,H2019P5EAA,2014,2019,5,5,0,1,886,823,388,0.293717,0.437923,0.471446
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P6EAA,H2019P6EAA,2014,2019,6,6,0,1,780,756,311,0.253878,0.398718,0.411376
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2014P3EAA,2011,2014,3,3,0,1,864,850,184,0.120261,0.212963,0.216471
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2019P3EAA,2011,2019,3,3,0,1,864,861,159,0.101533,0.184028,0.184669
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2014P5EAA,2011,2014,5,5,0,1,947,886,147,0.087189,0.155227,0.165914
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2019P6EAA,2011,2019,6,6,0,1,942,756,130,0.082908,0.138004,0.171958
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2019P5EAA,2011,2019,5,5,0,1,947,823,119,0.072078,0.125660,0.144593
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2014P4EAA,2011,2014,4,4,0,1,865,860,118,0.073429,0.136416,0.137209
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2014P6EAA,2011,2014,6,6,0,1,942,780,114,0.070896,0.121019,0.146154
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2019P4EAA,2011,2019,4,4,0,1,865,829,106,0.066751,0.122543,0.127865
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2011P5ED327,2008,2011,5,5,0,1,1036,947,86,0.045335,0.083012,0.090813
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2014P5EAA,2008,2014,5,5,0,1,1036,886,59,0.031669,0.056950,0.066591
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P3EAA,H2014P4EAA,2014,2014,3,4,1,0,850,860,57,0.034483,0.067059,0.066279
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P3EAA,H2014P6EAA,2014,2014,3,6,1,0,850,780,50,0.031646,0.058824,0.064103
