segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2008P2ED259,798,68,24,3,7,107,93,4,116,444
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2008P5ED279,1086,76,34,4,13,138,177,7,119,594
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P1ED295,567,52,25,5,2,76,66,0,98,295
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P2ED302,712,63,24,0,2,84,80,0,116,406
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P3ED309,963,63,49,2,26,130,138,2,146,470
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P4ED317,955,69,42,0,33,129,107,5,168,471
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P5ED327,1020,70,44,0,22,126,168,3,122,535
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2011P6CI337,997,70,27,5,12,136,150,5,149,513
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2014P3EAA,894,57,35,1,19,143,137,0,157,402
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2014P4EAA,894,60,24,0,21,125,95,0,181,448
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2014P5EAA,922,63,35,0,18,136,139,2,115,477
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2014P6EAA,827,67,24,0,11,152,114,0,116,410
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2019P3EAA,902,58,34,1,17,136,132,0,167,415
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2019P4EAA,863,60,26,0,23,130,92,0,178,414
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2019P5EAA,859,63,35,0,17,119,134,2,110,442
FRAGSEG_LTMD_U1_W8_ARTES_0.1,H2019P6EAA,801,66,27,0,7,147,105,0,111,404
FRAGSEG_LTMD_U1_W8_ARTES_0.1,ALL,14060,1025,509,21,250,2014,1927,30,2169,7140
