viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H2008P2ED259,U1-H2008P2ED259-P029,12,13,4,1
H2008P2ED259,U1-H2008P2ED259-P053,18,19,18,1
H2008P2ED259,U1-H2008P2ED259-P059,20,21,3,1
H2008P2ED259,U1-H2008P2ED259-P084,21,22,7,1
H2008P5ED279,U1-H2008P5ED279-P019,17,18,14,1
H2008P5ED279,U1-H2008P5ED279-P033,6,7,5,1
H2008P5ED279,U1-H2008P5ED279-P041,11,12,10,1
H2008P5ED279,U1-H2008P5ED279-P043,19,20,7,1
H2008P5ED279,U1-H2008P5ED279-P052,21,22,17,1
H2008P5ED279,U1-H2008P5ED279-P066,18,19,15,1
H2008P5ED279,U1-H2008P5ED279-P074,20,21,1,1
H2008P5ED279,U1-H2008P5ED279-P084,14,15,6,1
H2011P2ED302,U1-H2011P2ED302-P023,17,18,15,1
H2011P2ED302,U1-H2011P2ED302-P039,7,8,4,1
H2011P3ED309,U1-H2011P3ED309-P034,22,24,9 21,2
H2011P3ED309,U1-H2011P3ED309-P048,21,22,1,1
H2011P3ED309,U1-H2011P3ED309-P078,4,5,4,1
H2011P4ED317,U1-H2011P4ED317-P049,9,10,8,1
H2011P5ED327,U1-H2011P5ED327-P037,15,17,8 11,2
H2011P5ED327,U1-H2011P5ED327-P053,12,14,3 6,2
H2011P5ED327,U1-H2011P5ED327-P058,7,8,4,1
H2011P5ED327,U1-H2011P5ED327-P064,9,10,6,1
H2011P5ED327,U1-H2011P5ED327-P076,18,19,12,1
H2011P5ED327,U1-H2011P5ED327-P081,12,13,8,1
H2011P6CI337,U1-H2011P6CI337-P054,17,19,5 10,2
H2011P6CI337,U1-H2011P6CI337-P096,10,11,2,1
H2014P3EAA,U1-H2014P3EAA-P019,22,23,8,1
H2014P3EAA,U1-H2014P3EAA-P020,15,20,9 11 13 16 19,5
H2014P3EAA,U1-H2014P3EAA-P024,8,9,1,1
H2014P3EAA,U1-H2014P3EAA-P047,14,15,5,1
H2014P3EAA,U1-H2014P3EAA-P061,33,34,17,1
H2014P3EAA,U1-H2014P3EAA-P080,19,20,12,1
H2014P4EAA,U1-H2014P4EAA-P045,9,10,1,1
H2014P5EAA,U1-H2014P5EAA-P012,16,17,16,1
H2014P5EAA,U1-H2014P5EAA-P020,20,21,20,1
H2014P5EAA,U1-H2014P5EAA-P023,11,12,9,1
H2014P5EAA,U1-H2014P5EAA-P034,15,16,10,1
H2014P5EAA,U1-H2014P5EAA-P036,11,12,8,1
H2014P5EAA,U1-H2014P5EAA-P041,10,11,10,1
H2014P5EAA,U1-H2014P5EAA-P048,17,18,4,1
H2014P5EAA,U1-H2014P5EAA-P049,9,10,9,1
H2014P5EAA,U1-H2014P5EAA-P051,22,23,11,1
H2014P5EAA,U1-H2014P5EAA-P087,27,36,9 12 15 18 21 24 27 30 34,9
H2014P6EAA,U1-H2014P6EAA-P055,13,14,6,1
H2014P6EAA,U1-H2014P6EAA-P057,13,14,2,1
H2019P3EAA,U1-H2019P3EAA-P019,23,24,11,1
H2019P3EAA,U1-H2019P3EAA-P020,16,22,8 10 12 16 18 20,6
H2019P3EAA,U1-H2019P3EAA-P040,7,8,6,1
H2019P3EAA,U1-H2019P3EAA-P048,14,15,12,1
H2019P3EAA,U1-H2019P3EAA-P065,13,14,12,1
H2019P4EAA,U1-H2019P4EAA-P018,17,18,7,1
H2019P4EAA,U1-H2019P4EAA-P044,29,30,27,1
H2019P4EAA,U1-H2019P4EAA-P063,5,6,1,1
H2019P5EAA,U1-H2019P5EAA-P020,17,18,17,1
H2019P5EAA,U1-H2019P5EAA-P024,12,13,11,1
H2019P5EAA,U1-H2019P5EAA-P034,16,17,10,1
H2019P5EAA,U1-H2019P5EAA-P036,9,10,6,1
H2019P5EAA,U1-H2019P5EAA-P051,19,20,12,1
H2019P5EAA,U1-H2019P5EAA-P054,17,18,8,1
H2019P6EAA,U1-H2019P6EAA-P040,8,9,3,1
H2019P6EAA,U1-H2019P6EAA-P047,4,5,4,1
H2019P6EAA,U1-H2019P6EAA-P055,12,13,5,1
