ocr_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,source_image_index,processing_mode,source_provenance,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P001,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,1,0,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,44510,1,psm3:ok:11,3,11,86,94.33,96.12,0.0000,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P002,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,2,2,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,71901,1,psm3:ok:304,3,304,10395,68.36,75.28,0.3388,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P003,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,3,3,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,65010,1,psm3:ok:273,3,273,1463,90.16,95.58,0.0476,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P004,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,4,4,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,29967,1,psm3:ok:1,3,1,6,96.44,96.44,0.0000,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P005,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,5,5,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,44289,1,psm3:ok:113,3,113,483,87.36,93.69,0.0708,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P006,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,6,6,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,46489,1,psm3:ok:137,3,137,615,90.72,96.03,0.0438,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P007,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,7,7,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,42658,1,psm3:ok:82,3,82,400,92.69,96.00,0.0000,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P008,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,8,8,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,27244,1,psm3:ok:0;psm11:ok:0;psm6:ok:1,,1,1,0.00,0.00,1.0000,no_text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P009,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,9,9,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,78793,1,psm3:ok:233,3,233,1227,92.36,96.52,0.0429,text_detected,ok,
LTMD_U1_W8_ARTES_OCR_0.1,U1-H2008P2ED259-P010,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,10,10,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,51130,1,psm3:ok:0;psm11:ok:1;psm6:ok:3,,3,5,7.06,1.83,1.0000,no_text_detected,ok,
