ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W8_ARTES_OCR_0.1,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,direct_canonical,98,98,93,5,0,9903,62863
LTMD_U1_W8_ARTES_OCR_0.1,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,direct_canonical,106,106,104,2,0,16624,91527
LTMD_U1_W8_ARTES_OCR_0.1,H2011P1ED295,2011,1,EDUCACIÓN ARTÍSTICA,direct_canonical,81,81,81,0,0,9152,49657
LTMD_U1_W8_ARTES_OCR_0.1,H2011P2ED302,2011,2,EDUCACIÓN ARTÍSTICA,direct_canonical,89,89,88,1,0,10669,66933
LTMD_U1_W8_ARTES_OCR_0.1,H2011P3ED309,2011,3,EDUCACIÓN ARTÍSTICA,direct_canonical,97,97,97,0,0,15541,84655
LTMD_U1_W8_ARTES_OCR_0.1,H2011P4ED317,2011,4,EDUCACIÓN ARTÍSTICA,direct_canonical,97,97,97,0,0,16352,97553
LTMD_U1_W8_ARTES_OCR_0.1,H2011P5ED327,2011,5,EDUCACIÓN ARTÍSTICA,direct_canonical,97,97,97,0,0,17319,103954
LTMD_U1_W8_ARTES_OCR_0.1,H2011P6CI337,2011,6,EDUCACIÓN ARTÍSTICA,direct_canonical,97,97,96,1,0,15655,107918
LTMD_U1_W8_ARTES_OCR_0.1,H2014P3EAA,2014,3,Educación Artística,direct_canonical,89,89,89,0,0,14567,79239
LTMD_U1_W8_ARTES_OCR_0.1,H2014P4EAA,2014,4,Educación Artística,direct_canonical,89,89,89,0,0,14685,125154
LTMD_U1_W8_ARTES_OCR_0.1,H2014P5EAA,2014,5,Educación Artística,direct_canonical,89,89,89,0,0,15845,105598
LTMD_U1_W8_ARTES_OCR_0.1,H2014P6EAA,2014,6,Educación Artística,direct_canonical,97,97,97,0,0,14823,100509
LTMD_U1_W8_ARTES_OCR_0.1,H2019P3EAA,2019,3,Educación Artística,direct_canonical,89,89,88,1,0,14179,74751
LTMD_U1_W8_ARTES_OCR_0.1,H2019P4EAA,2019,4,Educación Artística,direct_canonical,89,89,88,1,0,15109,100545
LTMD_U1_W8_ARTES_OCR_0.1,H2019P5EAA,2019,5,Educación Artística,direct_canonical,89,89,89,0,0,14253,137392
LTMD_U1_W8_ARTES_OCR_0.1,H2019P6EAA,2019,6,Educación Artística,direct_canonical,97,97,97,0,0,14755,78837
