page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H2008P2ED259-P001,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,1,3,11,94.33,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P002,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,2,3,304,68.36,0.3388,text_detected,0,0,5,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_present;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P003,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,3,3,273,90.16,0.0476,text_detected,1,1,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,front_zone;text_rich;front_kw;nav_kw;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P004,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,4,3,1,96.44,0.0000,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;nav_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P005,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,5,3,113,87.36,0.0708,text_detected,2,2,0,toc_or_navigation,high,KW_NAVIGATION,front_zone;text_present;front_kw;nav_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P006,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,6,3,137,90.72,0.0438,text_detected,0,2,0,toc_or_navigation,high,KW_NAVIGATION,front_zone;text_rich;nav_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P007,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,7,3,82,92.69,0.0000,text_detected,0,1,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,front_zone;text_present;nav_kw;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P008,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,8,,1,0.00,1.0000,no_text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;visual_noise,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P009,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,9,3,233,92.36,0.0429,text_detected,1,3,0,toc_or_navigation,high,KW_NAVIGATION,front_zone;text_rich;front_kw;nav_kw,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
U1-H2008P2ED259-P010,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,10,,3,7.06,1.0000,no_text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;visual_noise,PAGESTRUCT_LTMD_U1_W8_ARTES_0.1
