viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H2008P2ED259,98,33,35,18,0,7,3,2
H2008P5ED279,106,55,21,17,0,5,5,3
H2011P1ED295,81,17,35,13,0,9,6,1
H2011P2ED302,89,29,34,11,0,7,6,2
H2011P3ED309,97,49,14,15,0,9,5,5
H2011P4ED317,97,56,13,13,0,8,5,2
H2011P5ED327,97,59,11,12,1,8,5,1
H2011P6CI337,97,52,18,9,0,9,5,4
H2014P3EAA,89,43,14,16,0,8,5,3
H2014P4EAA,89,48,12,13,0,9,5,2
H2014P5EAA,89,50,13,12,1,7,5,1
H2014P6EAA,97,43,24,8,0,10,8,4
H2019P3EAA,89,43,15,15,0,8,6,2
H2019P4EAA,89,46,14,12,0,9,6,2
H2019P5EAA,89,48,15,12,1,7,6,0
H2019P6EAA,97,45,21,10,0,9,9,3
ALL,1490,716,309,206,3,129,90,37
