scanner_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P001,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,1,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P002,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,2,3,1,1,0,0,0,5,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P003,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,3,3,1,1,0,1,1,1,3,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P004,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,4,3,1,1,0,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P005,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,5,3,1,1,0,2,2,0,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P006,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,6,3,1,1,0,0,2,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P007,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,7,3,1,1,0,0,1,1,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P008,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,8,,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P009,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,9,3,1,1,0,1,3,0,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P010,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,10,,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P011,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,11,,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P012,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,12,3,1,1,0,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P013,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,13,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P014,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,14,3,1,1,0,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P015,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,15,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P016,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,16,3,1,1,0,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P083,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,83,6,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P084,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,84,3,1,0,1,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P085,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,85,6,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P086,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,86,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P087,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,87,3,1,0,1,0,1,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P088,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,88,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P089,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,89,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P090,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,90,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P091,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,91,,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P092,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,92,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P093,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,93,,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P094,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,94,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P095,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,95,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P096,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,96,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P097,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,97,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P2ED259-P098,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,98,3,1,0,1,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P001,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,1,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P002,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,2,3,1,1,0,0,0,6,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P003,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,3,3,1,1,0,1,1,1,3,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P004,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,4,,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P005,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,5,3,1,1,0,2,2,0,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P006,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,6,3,1,1,0,0,2,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P007,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,7,3,1,1,0,0,2,1,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P008,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,8,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P009,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,9,3,1,1,0,1,2,0,2,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P010,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,10,6,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P011,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,11,6,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P012,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,12,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P013,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,13,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P014,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,14,3,1,1,0,0,2,0,1,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P015,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,15,3,1,1,0,0,0,0,0,
LTMD_U1_W8_ARTES_STRUCTKW_0.1,U1-H2008P5ED279-P016,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,16,3,1,1,0,0,1,0,1,
