analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,5c712745cddc5baeb980376f124c31abb85a111cc52ccb65c77bf6f7fb636c5e,1,9,55,3,1,3,U1-H2008P1ED252-P031-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,1b985087cf4466dded126d11d0b60ee03d96e74d2fbad4d11135beea9ea3d3b3,3,15,51,3,1,3,U1-H2008P1ED252-P021-F006
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,fe5516eff608f82dcecdc9db660d762df51f8e0a7e27ea0aa16327e53f4e0393,2,9,39,4,1,4,U1-H2008P1ED252-P021-F005
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b73b86c7e175731f07c28b241bdf2940e8f58159c199c6d8d6523e6d2cac9fbd,1,11,20,3,1,3,U1-H2008P1ED252-P064-F006
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,896130281ee4f92aa7e7b28a1a25c38e5e500fc84daa0927001848aa8b5e4ef4,3,15,19,1,1,1,U1-H2008P2ED260-P013-F002
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,216b343fb653e57b77de8fd5fee413486da77defd6ca9c96277c53ad347d8dee,1,10,15,1,1,1,U1-H2008P5ED280-P010-F004
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,1ef5b70d9666d909af3c873e495259486bb70633d71df6abf4b669ba9cabedb0,1,11,11,1,1,1,U1-H2008P5ED280-P038-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,2674a385f950ce2c60386eb746faa53637d36f9a644b98490852d62b92f52af0,4,20,11,1,1,1,U1-H2008P5ED280-P038-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,65c74c15a686187bb6bbf9958f494fc6b80068034a659a9ad44991b08c58f2d2,1,1,9,3,1,3,U1-H2008P2ED260-P102-F023
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c36f6b407375accf33ff1d947a18ff1010241e9283990f33b3fd56b309238882,1,6,8,1,1,1,U1-H2008P1ED252-P036-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,1,7,3,1,3,U1-H2008P1ED252-P026-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,69a844cab6d32d051e1aad4e3682a2ed5da89bd7ec38cc827bc38293bba4ce27,1,2,7,1,1,1,U1-H2008P2ED260-P010-F002
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,d2e279df3c7ac2d10e8fc3d94b0fb889177b626f1786593a54cb750960e13853,3,15,7,2,1,2,U1-H2008P1ED252-P079-F008
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,46279a65d026acdcbac0bff0a3ee2f2fc2e0c1ada91cb2813ebac7136c1001b9,2,10,6,4,1,4,U1-H2008P1ED252-P005-F010
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,8057878eee75a62e7edcc3711b5d9a7bfb3599dde8cbfa316a4018722c843ba4,4,24,6,1,1,1,U1-H2008P5ED280-P030-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c6843ccc25d6c0fe1a8d643ed621bb1ec988e037b39f5cdecd91108c0cf653e3,1,5,6,2,1,2,U1-H2008P1ED252-P005-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,d27438e791031e0b39096262ebc77b97fb32f1a9a849afe0af5e13e806924453,2,10,6,2,1,2,U1-H2008P5ED280-P039-F006
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,dba5e9e72ff4382237affe0705e8265c5bdf82bb13dd0c6e81f42ae32e1d3ac0,2,10,6,3,1,3,U1-H2008P2ED260-P015-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,5fa34f7eb403a0f53ac03c18768d960ee90fb317ed390ded79c67d76b9a02cf8,3,18,5,2,1,2,U1-H2008P2ED260-P018-F003
