ocr_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,source_image_index,processing_mode,source_provenance,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P001,H2008P1ED252,2008,1,EDUCACION FISICA,1,0,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,275194,1,psm3:ok:10,3,10,81,96.45,96.44,0.0000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P002,H2008P1ED252,2008,1,EDUCACION FISICA,2,2,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,309407,1,psm3:ok:425,3,425,2582,90.94,95.91,0.0541,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P003,H2008P1ED252,2008,1,EDUCACION FISICA,3,3,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,292592,1,psm3:ok:264,3,264,1436,96.00,96.74,0.0038,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P004,H2008P1ED252,2008,1,EDUCACION FISICA,4,4,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,228319,1,psm3:ok:59,3,59,250,92.39,96.63,0.0508,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P005,H2008P1ED252,2008,1,EDUCACION FISICA,5,5,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,272631,1,psm3:ok:67,3,67,333,88.83,96.31,0.0448,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P006,H2008P1ED252,2008,1,EDUCACION FISICA,6,6,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,293972,1,psm3:ok:73,3,73,363,90.12,96.40,0.0685,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P007,H2008P1ED252,2008,1,EDUCACION FISICA,7,7,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,382626,1,psm3:ok:231,3,231,1089,89.73,96.27,0.0693,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P008,H2008P1ED252,2008,1,EDUCACION FISICA,8,8,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,200957,1,psm3:ok:0;psm11:ok:1;psm6:ok:8,6,8,13,43.20,45.74,0.6250,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P009,H2008P1ED252,2008,1,EDUCACION FISICA,9,9,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,224285,1,psm3:ok:33,3,33,172,90.12,96.66,0.0606,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P010,H2008P1ED252,2008,1,EDUCACION FISICA,10,10,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,249832,1,psm3:ok:38,3,38,162,83.43,96.23,0.1579,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P011,H2008P1ED252,2008,1,EDUCACION FISICA,11,11,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,258254,1,psm3:ok:73,3,73,346,92.10,96.79,0.0548,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P012,H2008P1ED252,2008,1,EDUCACION FISICA,12,12,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,254470,1,psm3:ok:79,3,79,399,90.07,96.32,0.0759,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P013,H2008P1ED252,2008,1,EDUCACION FISICA,13,13,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,226720,1,psm3:ok:61,3,61,268,90.34,96.60,0.0492,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P014,H2008P1ED252,2008,1,EDUCACION FISICA,14,14,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,283423,1,psm3:ok:88,3,88,403,91.26,96.58,0.0682,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P015,H2008P1ED252,2008,1,EDUCACION FISICA,15,15,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,226386,1,psm3:ok:53,3,53,251,92.94,96.52,0.0189,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P016,H2008P1ED252,2008,1,EDUCACION FISICA,16,16,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,249795,1,psm3:ok:53,3,53,241,84.54,96.32,0.1509,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P017,H2008P1ED252,2008,1,EDUCACION FISICA,17,17,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,264708,1,psm3:ok:64,3,64,301,92.14,96.59,0.0625,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P018,H2008P1ED252,2008,1,EDUCACION FISICA,18,18,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,303024,1,psm3:ok:94,3,94,430,89.37,96.56,0.0638,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P019,H2008P1ED252,2008,1,EDUCACION FISICA,19,19,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,293567,1,psm3:ok:73,3,73,331,93.47,96.66,0.0274,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P020,H2008P1ED252,2008,1,EDUCACION FISICA,20,20,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,280018,1,psm3:ok:58,3,58,243,85.18,95.53,0.1379,text_detected,ok,
