page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H2008P1ED252-P001,H2008P1ED252,2008,1,EDUCACION FISICA,1,3,10,96.45,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P002,H2008P1ED252,2008,1,EDUCACION FISICA,2,3,425,90.94,0.0541,text_detected,0,0,6,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_rich;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P003,H2008P1ED252,2008,1,EDUCACION FISICA,3,3,264,96.00,0.0038,text_detected,0,1,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,front_zone;text_rich;nav_kw;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P004,H2008P1ED252,2008,1,EDUCACION FISICA,4,3,59,92.39,0.0508,text_detected,1,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_present;front_kw;nav_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P005,H2008P1ED252,2008,1,EDUCACION FISICA,5,3,67,88.83,0.0448,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P006,H2008P1ED252,2008,1,EDUCACION FISICA,6,3,73,90.12,0.0685,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P007,H2008P1ED252,2008,1,EDUCACION FISICA,7,3,231,89.73,0.0693,text_detected,1,0,0,front_matter,medium,KW_FRONT_MATTER,front_zone;text_rich;front_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P008,H2008P1ED252,2008,1,EDUCACION FISICA,8,6,8,43.20,0.6250,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone;fallback_psm,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P009,H2008P1ED252,2008,1,EDUCACION FISICA,9,3,33,90.12,0.0606,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P010,H2008P1ED252,2008,1,EDUCACION FISICA,10,3,38,83.43,0.1579,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P011,H2008P1ED252,2008,1,EDUCACION FISICA,11,3,73,92.10,0.0548,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_present;nav_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P012,H2008P1ED252,2008,1,EDUCACION FISICA,12,3,79,90.07,0.0759,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P013,H2008P1ED252,2008,1,EDUCACION FISICA,13,3,61,90.34,0.0492,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P014,H2008P1ED252,2008,1,EDUCACION FISICA,14,3,88,91.26,0.0682,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_present;nav_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P015,H2008P1ED252,2008,1,EDUCACION FISICA,15,3,53,92.94,0.0189,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P016,H2008P1ED252,2008,1,EDUCACION FISICA,16,3,53,84.54,0.1509,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_present;nav_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P017,H2008P1ED252,2008,1,EDUCACION FISICA,17,3,64,92.14,0.0625,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P018,H2008P1ED252,2008,1,EDUCACION FISICA,18,3,94,89.37,0.0638,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P019,H2008P1ED252,2008,1,EDUCACION FISICA,19,3,73,93.47,0.0274,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P020,H2008P1ED252,2008,1,EDUCACION FISICA,20,3,58,85.18,0.1379,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P021,H2008P1ED252,2008,1,EDUCACION FISICA,21,3,82,89.73,0.0854,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P022,H2008P1ED252,2008,1,EDUCACION FISICA,22,3,71,86.79,0.1127,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P023,H2008P1ED252,2008,1,EDUCACION FISICA,23,3,121,94.68,0.0165,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P024,H2008P1ED252,2008,1,EDUCACION FISICA,24,3,28,84.70,0.1429,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P025,H2008P1ED252,2008,1,EDUCACION FISICA,25,3,61,94.28,0.0328,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P026,H2008P1ED252,2008,1,EDUCACION FISICA,26,3,87,88.43,0.0805,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P027,H2008P1ED252,2008,1,EDUCACION FISICA,27,3,48,85.27,0.1458,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P028,H2008P1ED252,2008,1,EDUCACION FISICA,28,3,77,82.21,0.2078,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P029,H2008P1ED252,2008,1,EDUCACION FISICA,29,3,43,89.50,0.1163,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
