scanner_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P001,H2008P1ED252,2008,1,EDUCACION FISICA,1,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P002,H2008P1ED252,2008,1,EDUCACION FISICA,2,3,1,1,0,0,0,6,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P003,H2008P1ED252,2008,1,EDUCACION FISICA,3,3,1,1,0,0,1,1,2,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P004,H2008P1ED252,2008,1,EDUCACION FISICA,4,3,1,1,0,1,1,0,2,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P005,H2008P1ED252,2008,1,EDUCACION FISICA,5,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P006,H2008P1ED252,2008,1,EDUCACION FISICA,6,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P007,H2008P1ED252,2008,1,EDUCACION FISICA,7,3,1,1,0,1,0,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P008,H2008P1ED252,2008,1,EDUCACION FISICA,8,6,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P009,H2008P1ED252,2008,1,EDUCACION FISICA,9,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P010,H2008P1ED252,2008,1,EDUCACION FISICA,10,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P011,H2008P1ED252,2008,1,EDUCACION FISICA,11,3,1,1,0,0,1,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P012,H2008P1ED252,2008,1,EDUCACION FISICA,12,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P013,H2008P1ED252,2008,1,EDUCACION FISICA,13,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P014,H2008P1ED252,2008,1,EDUCACION FISICA,14,3,1,1,0,0,1,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P015,H2008P1ED252,2008,1,EDUCACION FISICA,15,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P016,H2008P1ED252,2008,1,EDUCACION FISICA,16,3,1,1,0,0,1,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P099,H2008P1ED252,2008,1,EDUCACION FISICA,99,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P100,H2008P1ED252,2008,1,EDUCACION FISICA,100,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P101,H2008P1ED252,2008,1,EDUCACION FISICA,101,3,1,0,1,0,1,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P102,H2008P1ED252,2008,1,EDUCACION FISICA,102,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P103,H2008P1ED252,2008,1,EDUCACION FISICA,103,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P104,H2008P1ED252,2008,1,EDUCACION FISICA,104,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P105,H2008P1ED252,2008,1,EDUCACION FISICA,105,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P106,H2008P1ED252,2008,1,EDUCACION FISICA,106,3,1,0,1,0,1,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P107,H2008P1ED252,2008,1,EDUCACION FISICA,107,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P108,H2008P1ED252,2008,1,EDUCACION FISICA,108,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P109,H2008P1ED252,2008,1,EDUCACION FISICA,109,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P110,H2008P1ED252,2008,1,EDUCACION FISICA,110,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P111,H2008P1ED252,2008,1,EDUCACION FISICA,111,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P112,H2008P1ED252,2008,1,EDUCACION FISICA,112,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P113,H2008P1ED252,2008,1,EDUCACION FISICA,113,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P1ED252-P114,H2008P1ED252,2008,1,EDUCACION FISICA,114,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P001,H2008P2ED260,2008,2,EDUCACION FISICA,1,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P002,H2008P2ED260,2008,2,EDUCACION FISICA,2,3,1,1,0,0,0,6,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P003,H2008P2ED260,2008,2,EDUCACION FISICA,3,3,1,1,0,0,1,1,2,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P004,H2008P2ED260,2008,2,EDUCACION FISICA,4,3,1,1,0,1,0,0,1,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P005,H2008P2ED260,2008,2,EDUCACION FISICA,5,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P006,H2008P2ED260,2008,2,EDUCACION FISICA,6,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P007,H2008P2ED260,2008,2,EDUCACION FISICA,7,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P008,H2008P2ED260,2008,2,EDUCACION FISICA,8,11,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P009,H2008P2ED260,2008,2,EDUCACION FISICA,9,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P010,H2008P2ED260,2008,2,EDUCACION FISICA,10,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P011,H2008P2ED260,2008,2,EDUCACION FISICA,11,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P012,H2008P2ED260,2008,2,EDUCACION FISICA,12,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P013,H2008P2ED260,2008,2,EDUCACION FISICA,13,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P014,H2008P2ED260,2008,2,EDUCACION FISICA,14,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P015,H2008P2ED260,2008,2,EDUCACION FISICA,15,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P016,H2008P2ED260,2008,2,EDUCACION FISICA,16,3,1,1,0,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P091,H2008P2ED260,2008,2,EDUCACION FISICA,91,3,1,0,1,0,0,0,0,
LTMD_U1_W9_EDUCACION_FISICA_STRUCTKW_0.1,U1-H2008P2ED260-P092,H2008P2ED260,2008,2,EDUCACION FISICA,92,3,1,0,1,0,0,0,0,
