coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,full_direct_w1_1966,1,,https://historico.conaliteg.gob.mx/H1966P6CI374.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1966P6CI375,1966,6,MI LIBRO DE ESTUDIO DE LA NATURALEZA,full_direct_w1_1966,1,,https://historico.conaliteg.gob.mx/H1966P6CI375.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P1CI058,1972,1,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P1CI058.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P1MA063,1972,1,MATEMATICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P1MA063.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P2CI064,1972,2,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P2CI064.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P2MA069,1972,2,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P2MA069.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P3CI070,1972,3,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P3CI070.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P3MA076,1972,3,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P3MA076.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P4CI077,1972,4,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P4CI077.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P4MA083,1972,4,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P4MA083.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P5CI084,1972,5,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P5CI084.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P5MA089,1972,5,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P5MA089.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1972P6CI090,1972,6,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1972P6CI090.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1972P6MA094,1972,6,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1972P6MA094.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1982P3CI103,1982,3,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1982P3CI103.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1982P3MA106,1982,3,MATEMATICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1982P3MA106.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1982P4CI383,1982,4,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1982P4CI383.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-alias-cubierto,covered_alias,matematicas,H1982P4MA388,1982,4,MATEMATICAS,full_effective_w2_math_reconciled,1,H1972P4MA083,https://historico.conaliteg.gob.mx/H1982P4MA388.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1982P5CI389,1982,5,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1982P5CI389.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-alias-cubierto,covered_alias,matematicas,H1982P5MA394,1982,5,MATEMÁTICAS,full_effective_w2_math_reconciled,1,H1972P5MA089,https://historico.conaliteg.gob.mx/H1982P5MA394.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1982P6CI395,1982,6,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1982P6CI395.htm
