source_object_id,viewer_key,asset_url,observed_at,http_status,asset_resolution_state,content_type,accept_ranges,total_bytes,pdf_signature,source_admission_state,page_count_observation
CONALITEG:2026:primaria:P0CMA,P0CMA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P0CMA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,281144511,true,not_assessed,not_observed
CONALITEG:2026:primaria:P0SHA,P0SHA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P0SHA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,94564416,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1LPM,P1LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1LPM.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,43331589,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1MLA,P1MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,53867987,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1PAA,P1PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,19961968,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1PCA,P1PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,23023487,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1PEA,P1PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,25660214,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1SDA,P1SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,40147170,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1TNA,P1TNA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1TNA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,15640593,true,not_assessed,not_observed
CONALITEG:2026:primaria:P1TPA,P1TPA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1TPA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,12866464,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2MLA,P2MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,50321439,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2PAA,P2PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,23800371,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2PCA,P2PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,23676560,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2PEA,P2PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,24758812,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2SDA,P2SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,50173805,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2TNA,P2TNA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TNA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,9757352,true,not_assessed,not_observed
CONALITEG:2026:primaria:P2TPA,P2TPA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TPA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,19992326,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3LPM,P3LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3LPM.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,13389200,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3MLA,P3MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,99997628,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3PAA,P3PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,83295272,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3PCA,P3PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,58450470,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3PEA,P3PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,73948335,true,not_assessed,not_observed
CONALITEG:2026:primaria:P3SDA,P3SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,78379105,true,not_assessed,not_observed
CONALITEG:2026:primaria:P4MLA,P4MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,50561618,true,not_assessed,not_observed
CONALITEG:2026:primaria:P4PAA,P4PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,42606628,true,not_assessed,not_observed
CONALITEG:2026:primaria:P4PCA,P4PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,30081745,true,not_assessed,not_observed
CONALITEG:2026:primaria:P4PEA,P4PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,33554451,true,not_assessed,not_observed
CONALITEG:2026:primaria:P4SDA,P4SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,42207256,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5LPM,P5LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5LPM.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,4869215,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5MLA,P5MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,50451078,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5PAA,P5PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,30488536,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5PCA,P5PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,28762062,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5PEA,P5PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,31551426,true,not_assessed,not_observed
CONALITEG:2026:primaria:P5SDA,P5SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,86244579,true,not_assessed,not_observed
CONALITEG:2026:primaria:P6MLA,P6MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6MLA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,46230205,true,not_assessed,not_observed
CONALITEG:2026:primaria:P6PAA,P6PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PAA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,30858238,true,not_assessed,not_observed
CONALITEG:2026:primaria:P6PCA,P6PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PCA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,28748724,true,not_assessed,not_observed
CONALITEG:2026:primaria:P6PEA,P6PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PEA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,31940373,true,not_assessed,not_observed
CONALITEG:2026:primaria:P6SDA,P6SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6SDA.pdf,2026-09-02,206,resolved_pdf,application/pdf,bytes,72690833,true,not_assessed,not_observed
