source_object_id,viewer_key,asset_url,observed_at,page_count_state,page_count,remote_total_bytes,network_bytes_fetched,range_requests,max_network_bytes,startxref_offset,xref_kind,xref_sections_traversed,root_ref,pages_ref,method,source_admission_state,text_verification_state,evidence_scope,error
CONALITEG:2026:primaria:P0CMA,P0CMA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P0CMA.pdf,2026-09-02,observed,191,281144511,2461786,5,4194304,278879334,classic,1,113194 0 R,113184 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P0SHA,P0SHA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P0SHA.pdf,2026-09-02,observed,355,94564416,438020,5,4194304,94323005,classic,1,12020 0 R,11275 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1LPM,P1LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1LPM.pdf,2026-09-02,observed,91,43331589,231995,5,4194304,43296203,classic,1,1731 0 R,1725 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1MLA,P1MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1MLA.pdf,2026-09-02,observed,259,53867987,411280,5,4194304,53653316,classic,1,10693 0 R,10678 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1PAA,P1PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PAA.pdf,2026-09-02,observed,243,19961968,329235,5,4194304,19829342,classic,1,6582 0 R,6569 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1PCA,P1PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PCA.pdf,2026-09-02,observed,275,23023487,356715,5,4194304,22863381,classic,1,7956 0 R,7940 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1PEA,P1PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1PEA.pdf,2026-09-02,observed,275,25660214,354715,5,4194304,25502108,classic,1,7856 0 R,7840 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1SDA,P1SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1SDA.pdf,2026-09-02,observed,251,40147170,675080,5,4194304,39668699,classic,1,23868 0 R,23856 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1TNA,P1TNA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1TNA.pdf,2026-09-02,observed,131,15640593,364955,5,4194304,15472247,classic,1,8366 0 R,8358 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P1TPA,P1TPA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P1TPA.pdf,2026-09-02,observed,131,12866464,254335,5,4194304,12808738,classic,1,2834 0 R,2826 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2MLA,P2MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2MLA.pdf,2026-09-02,observed,258,50321439,412180,5,4194304,50105868,classic,1,10743 0 R,10728 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2PAA,P2PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PAA.pdf,2026-09-02,observed,267,23800371,357255,5,4194304,23639725,classic,1,7996 0 R,7981 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2PCA,P2PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PCA.pdf,2026-09-02,observed,283,23676560,393395,5,4194304,23479774,classic,1,9800 0 R,9784 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2PEA,P2PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PEA.pdf,2026-09-02,observed,275,24758812,399140,5,4194304,24556281,classic,1,10092 0 R,10077 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2SDA,P2SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2SDA.pdf,2026-09-02,observed,259,50173805,872080,5,4194304,49498334,classic,1,33728 0 R,33713 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2TNA,P2TNA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TNA.pdf,2026-09-02,observed,147,9757352,262994,5,4194304,9690967,classic,1,3281 0 R,3273 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P2TPA,P2TPA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TPA.pdf,2026-09-02,observed,115,19992326,296295,5,4194304,19892640,classic,1,4932 0 R,4925 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3LPM,P3LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3LPM.pdf,2026-09-02,observed,99,13389200,238755,5,4194304,13347054,classic,1,2073 0 R,2067 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3MLA,P3MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3MLA.pdf,2026-09-02,observed,259,99997628,484860,5,4194304,99709377,classic,1,14380 0 R,13834 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3PAA,P3PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PAA.pdf,2026-09-02,observed,363,83295272,906440,5,4194304,82585441,classic,1,35453 0 R,34692 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3PCA,P3PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PCA.pdf,2026-09-02,observed,363,58450470,392055,5,4194304,58255024,classic,1,9740 0 R,8979 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3PEA,P3PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PEA.pdf,2026-09-02,observed,363,73948335,427580,5,4194304,73717364,classic,1,11511 0 R,10750 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P3SDA,P3SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3SDA.pdf,2026-09-02,observed,259,78379105,798380,5,4194304,77777334,classic,1,30044 0 R,29498 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P4MLA,P4MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4MLA.pdf,2026-09-02,observed,259,50561618,467720,5,4194304,50290507,classic,1,13505 0 R,13489 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P4PAA,P4PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PAA.pdf,2026-09-02,observed,363,42606628,546780,5,4194304,42256457,classic,1,17461 0 R,17441 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P4PCA,P4PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PCA.pdf,2026-09-02,observed,347,30081745,350195,5,4194304,29928159,classic,1,7641 0 R,7623 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P4PEA,P4PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PEA.pdf,2026-09-02,observed,363,33554451,434240,5,4194304,33316820,classic,1,11846 0 R,11827 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P4SDA,P4SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4SDA.pdf,2026-09-02,observed,259,42207256,389955,5,4194304,42013910,classic,1,9626 0 R,9611 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5LPM,P5LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5LPM.pdf,2026-09-02,observed,99,4869215,229554,5,4194304,4836270,classic,1,1605 0 R,1599 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5MLA,P5MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5MLA.pdf,2026-09-02,observed,259,50451078,348595,5,4194304,50299092,classic,1,7557 0 R,7542 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5PAA,P5PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PAA.pdf,2026-09-02,observed,371,30488536,383875,5,4194304,30301270,classic,1,9325 0 R,9306 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5PCA,P5PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PCA.pdf,2026-09-02,observed,347,28762062,355495,5,4194304,28603176,classic,1,7906 0 R,7888 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5PEA,P5PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PEA.pdf,2026-09-02,observed,347,31551426,519480,5,4194304,31228555,classic,1,16105 0 R,16087 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P5SDA,P5SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5SDA.pdf,2026-09-02,observed,259,86244579,667020,5,4194304,85774168,classic,1,23472 0 R,23457 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P6MLA,P6MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6MLA.pdf,2026-09-02,observed,259,46230205,358135,5,4194304,46068679,classic,1,8030 0 R,8014 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P6PAA,P6PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PAA.pdf,2026-09-02,observed,371,30858238,407680,5,4194304,30647167,classic,1,10516 0 R,10497 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P6PCA,P6PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PCA.pdf,2026-09-02,observed,347,28748724,347155,5,4194304,28598178,classic,1,7490 0 R,7472 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P6PEA,P6PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PEA.pdf,2026-09-02,observed,371,31940373,364015,5,4194304,31772967,classic,1,8332 0 R,8313 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
CONALITEG:2026:primaria:P6SDA,P6SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6SDA.pdf,2026-09-02,observed,259,72690833,660700,5,4194304,72226742,classic,1,23166 0 R,23151 0 R,targeted_tail_startxref_classic_xref_catalog_pages_count,not_assessed,not_assessed,"structural trailer/xref/catalog/root-/Pages-/Count only; no page enumeration, text extraction, OCR, or semantic validation",none
