source_object_id,viewer_key,viewer_url,observed_at,probe_method,transport_observation,content_type_observation,http_status_observation,observed_title,reader_shell_state,asset_resolution_state,page_count_observation,source_admission_state,observation_note
CONALITEG:2026:primaria:P0CMA,P0CMA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P0CMA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P0SHA,P0SHA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P0SHA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1LPM,P1LPM,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1LPM&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1MLA,P1MLA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1MLA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1PAA,P1PAA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PAA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1PCA,P1PCA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PCA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1PEA,P1PEA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PEA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1SDA,P1SDA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1SDA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1TNA,P1TNA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TNA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
CONALITEG:2026:primaria:P1TPA,P1TPA,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TPA&nivel=primaria,2026-09-02,web_open,fetch_succeeded,text/html,not_exposed,CONALITEG - Lector de PDF's,resolved,not_observed,not_observed,not_assessed,Reader shell resolved; numeric HTTP status and internal document assets were not exposed by this observation method.
