stratum,n,action_jaccard_mean,action_jaccard_median,position_jaccard_mean,position_jaccard_median,action_exact_rate,position_exact_rate,action_empty_both_rate,position_empty_both_rate,stable_exact,stable_partial,method_sensitive,uncertain,agreement_version
1972:all,2809,0.616886,1.0,0.387504,0.0,0.604486,0.349235,0.600214,0.347811,0,1,14,2794,AGREE_AB_0.1
1972:nonheading,1953,0.448967,0.0,0.119048,0.0,0.431132,0.064004,0.424987,0.061956,0,1,14,1938,AGREE_AB_0.1
1972:certain_only,15,0.2,0.0,0.033333,0.0,0.2,0.0,0.0,0.0,0,1,14,0,AGREE_AB_0.1
1972:structure=textual,2463,0.611652,1.0,0.377182,0.0,0.599269,0.336987,0.595209,0.335363,0,1,13,2449,AGREE_AB_0.1
1972:structure=mixed_text_image,346,0.654143,1.0,0.460983,0.0,0.641618,0.436416,0.635838,0.436416,0,0,1,345,AGREE_AB_0.1
1988:all,1631,0.660025,1.0,0.430615,0.0,0.650521,0.395463,0.646842,0.392397,0,0,7,1624,AGREE_AB_0.1
1988:nonheading,1062,0.477872,0.333333,0.125549,0.0,0.463277,0.071563,0.457627,0.066855,0,0,7,1055,AGREE_AB_0.1
1988:certain_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,0,AGREE_AB_0.1
1988:structure=textual,1267,0.644699,1.0,0.416206,0.0,0.633781,0.380426,0.629834,0.37648,0,0,7,1260,AGREE_AB_0.1
1988:structure=mixed_text_image,364,0.71337,1.0,0.480769,0.5,0.708791,0.447802,0.706044,0.447802,0,0,0,364,AGREE_AB_0.1
1993:all,2513,0.697539,1.0,0.528784,0.5,0.686828,0.489853,0.684839,0.48468,0,0,15,2498,AGREE_AB_0.1
1993:nonheading,1337,0.431501,0.0,0.114311,0.0,0.411369,0.041137,0.407629,0.031414,0,0,15,1322,AGREE_AB_0.1
1993:certain_only,15,0.111111,0.0,0.033333,0.0,0.066667,0.0,0.0,0.0,0,0,15,0,AGREE_AB_0.1
1993:structure=textual,2361,0.696633,1.0,0.524354,0.5,0.68615,0.485811,0.684456,0.480729,0,0,13,2348,AGREE_AB_0.1
1993:structure=mixed_text_image,152,0.711623,1.0,0.597588,1.0,0.697368,0.552632,0.690789,0.546053,0,0,2,150,AGREE_AB_0.1
2014:all,2641,0.769784,1.0,0.643064,1.0,0.762969,0.606967,0.759182,0.605452,0,0,12,2629,AGREE_AB_0.1
2014:nonheading,1105,0.449774,0.0,0.146908,0.0,0.433484,0.060633,0.424434,0.057014,0,0,12,1093,AGREE_AB_0.1
2014:certain_only,12,0.111111,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0,0,12,0,AGREE_AB_0.1
2014:structure=textual,2411,0.760335,1.0,0.626227,1.0,0.753214,0.589797,0.749067,0.588138,0,0,12,2399,AGREE_AB_0.1
2014:structure=mixed_text_image,230,0.868841,1.0,0.819565,1.0,0.865217,0.786957,0.865217,0.786957,0,0,0,230,AGREE_AB_0.1
ALL:all,9594,0.687435,1.0,0.502189,0.5,0.677507,0.464874,0.674067,0.462164,0,1,48,9545,AGREE_AB_0.1
ALL:nonheading,5457,0.450476,0.0,0.124794,0.0,0.433022,0.05919,0.426975,0.054426,0,1,48,5408,AGREE_AB_0.1
ALL:certain_only,49,0.122449,0.0,0.040816,0.0,0.102041,0.0,0.0,0.0,0,1,48,0,AGREE_AB_0.1
ALL:structure=textual,8502,0.682339,1.0,0.494491,0.5,0.672195,0.456481,0.668784,0.45354,0,1,45,8456,AGREE_AB_0.1
ALL:structure=mixed_text_image,1092,0.727106,1.0,0.562118,1.0,0.718864,0.53022,0.715201,0.529304,0,0,3,1089,AGREE_AB_0.1
