family,category,catalog_generation,n,n11,n10,n01,n00,binary_agreement,positive_jaccard,B_precision_vs_A_descriptor,B_recall_vs_A_descriptor,prevalence_A,prevalence_B,absolute_prevalence_difference,agreement_version
action,observe,1972,2809,19,35,288,2467,0.885012,0.055556,0.061889,0.351852,0.019224,0.109292,0.090068,AGREE_AB_0.1
action,describe,1972,2809,0,1,256,2552,0.908508,0.0,0.0,0.0,0.000356,0.091136,0.09078,AGREE_AB_0.1
action,recall,1972,2809,2,7,100,2700,0.961908,0.018349,0.019608,0.222222,0.003204,0.036312,0.033108,AGREE_AB_0.1
action,explain,1972,2809,41,62,264,2442,0.883944,0.111717,0.134426,0.398058,0.036668,0.10858,0.071912,AGREE_AB_0.1
action,compare,1972,2809,9,12,94,2694,0.962264,0.078261,0.087379,0.428571,0.007476,0.036668,0.029192,AGREE_AB_0.1
action,classify,1972,2809,1,4,69,2735,0.974012,0.013514,0.014286,0.2,0.00178,0.02492,0.02314,AGREE_AB_0.1
action,measure,1972,2809,3,7,81,2718,0.968672,0.032967,0.035714,0.3,0.00356,0.029904,0.026344,AGREE_AB_0.1
action,experiment,1972,2809,0,0,282,2527,0.899608,0.0,0.0,,0.0,0.100392,0.100392,AGREE_AB_0.1
action,investigate,1972,2809,7,4,150,2648,0.945176,0.043478,0.044586,0.636364,0.003916,0.055892,0.051976,AGREE_AB_0.1
action,predict,1972,2809,0,0,207,2602,0.926308,0.0,0.0,,0.0,0.073692,0.073692,AGREE_AB_0.1
action,infer,1972,2809,1,2,59,2747,0.978284,0.016129,0.016667,0.333333,0.001068,0.02136,0.020292,AGREE_AB_0.1
action,discuss,1972,2809,12,10,89,2698,0.964756,0.108108,0.118812,0.545455,0.007832,0.035956,0.028124,AGREE_AB_0.1
action,solve,1972,2809,7,0,308,2494,0.890352,0.022222,0.022222,1.0,0.002492,0.11214,0.109648,AGREE_AB_0.1
action,create,1972,2809,6,6,65,2732,0.974724,0.077922,0.084507,0.5,0.004272,0.025276,0.021004,AGREE_AB_0.1
action,decide,1972,2809,0,1,178,2630,0.936276,0.0,0.0,0.0,0.000356,0.063368,0.063012,AGREE_AB_0.1
action,act_on_environment,1972,2809,0,0,173,2636,0.938412,0.0,0.0,,0.0,0.061588,0.061588,AGREE_AB_0.1
action,observe,1988,1631,6,12,141,1472,0.906193,0.037736,0.040816,0.333333,0.011036,0.090129,0.079093,AGREE_AB_0.1
action,describe,1988,1631,0,0,121,1510,0.925812,0.0,0.0,,0.0,0.074188,0.074188,AGREE_AB_0.1
action,recall,1988,1631,2,4,75,1550,0.951563,0.024691,0.025974,0.333333,0.003679,0.04721,0.043532,AGREE_AB_0.1
action,explain,1988,1631,11,25,106,1489,0.919681,0.077465,0.094017,0.305556,0.022072,0.071735,0.049663,AGREE_AB_0.1
action,compare,1988,1631,1,4,47,1579,0.968731,0.019231,0.020833,0.2,0.003066,0.02943,0.026364,AGREE_AB_0.1
action,classify,1988,1631,0,1,62,1568,0.961373,0.0,0.0,0.0,0.000613,0.038013,0.0374,AGREE_AB_0.1
action,measure,1988,1631,6,3,49,1573,0.968118,0.103448,0.109091,0.666667,0.005518,0.033722,0.028204,AGREE_AB_0.1
action,experiment,1988,1631,1,2,148,1480,0.908032,0.006623,0.006711,0.333333,0.001839,0.091355,0.089516,AGREE_AB_0.1
action,investigate,1988,1631,8,1,83,1539,0.948498,0.086957,0.087912,0.888889,0.005518,0.055794,0.050276,AGREE_AB_0.1
action,predict,1988,1631,0,0,94,1537,0.942367,0.0,0.0,,0.0,0.057633,0.057633,AGREE_AB_0.1
action,infer,1988,1631,0,0,39,1592,0.976088,0.0,0.0,,0.0,0.023912,0.023912,AGREE_AB_0.1
action,discuss,1988,1631,4,2,41,1584,0.973636,0.085106,0.088889,0.666667,0.003679,0.02759,0.023912,AGREE_AB_0.1
action,solve,1988,1631,2,0,155,1474,0.904966,0.012739,0.012739,1.0,0.001226,0.09626,0.095034,AGREE_AB_0.1
action,create,1988,1631,7,5,55,1564,0.963213,0.104478,0.112903,0.583333,0.007357,0.038013,0.030656,AGREE_AB_0.1
action,decide,1988,1631,0,0,102,1529,0.937462,0.0,0.0,,0.0,0.062538,0.062538,AGREE_AB_0.1
action,act_on_environment,1988,1631,1,0,107,1523,0.934396,0.009259,0.009259,1.0,0.000613,0.066217,0.065604,AGREE_AB_0.1
action,observe,1993,2513,21,29,174,2289,0.91922,0.09375,0.107692,0.42,0.019897,0.077596,0.0577,AGREE_AB_0.1
action,describe,1993,2513,1,2,170,2340,0.931556,0.00578,0.005848,0.333333,0.001194,0.068046,0.066852,AGREE_AB_0.1
action,recall,1993,2513,4,5,88,2416,0.962992,0.041237,0.043478,0.444444,0.003581,0.03661,0.033028,AGREE_AB_0.1
action,explain,1993,2513,8,11,131,2363,0.943494,0.053333,0.057554,0.421053,0.007561,0.055312,0.047752,AGREE_AB_0.1
action,compare,1993,2513,4,15,77,2417,0.96339,0.041667,0.049383,0.210526,0.007561,0.032232,0.024672,AGREE_AB_0.1
action,classify,1993,2513,1,1,64,2447,0.974135,0.015152,0.015385,0.5,0.000796,0.025865,0.02507,AGREE_AB_0.1
action,measure,1993,2513,5,2,60,2446,0.975328,0.074627,0.076923,0.714286,0.002786,0.025865,0.02308,AGREE_AB_0.1
action,experiment,1993,2513,1,1,212,2299,0.915241,0.004673,0.004695,0.5,0.000796,0.084759,0.083963,AGREE_AB_0.1
action,investigate,1993,2513,9,9,109,2386,0.953044,0.070866,0.076271,0.5,0.007163,0.046956,0.039793,AGREE_AB_0.1
action,predict,1993,2513,0,1,67,2445,0.972941,0.0,0.0,0.0,0.000398,0.026661,0.026263,AGREE_AB_0.1
action,infer,1993,2513,1,0,47,2465,0.981297,0.020833,0.020833,1.0,0.000398,0.019101,0.018703,AGREE_AB_0.1
action,discuss,1993,2513,7,16,64,2426,0.968166,0.08046,0.098592,0.304348,0.009152,0.028253,0.019101,AGREE_AB_0.1
action,solve,1993,2513,5,1,216,2291,0.913649,0.022523,0.022624,0.833333,0.002388,0.087943,0.085555,AGREE_AB_0.1
action,create,1993,2513,10,32,50,2421,0.96737,0.108696,0.166667,0.238095,0.016713,0.023876,0.007163,AGREE_AB_0.1
action,decide,1993,2513,6,4,180,2323,0.926781,0.031579,0.032258,0.6,0.003979,0.074015,0.070036,AGREE_AB_0.1
