domain,category,initial_generation,final_generation,consensus_initial_rate,consensus_final_rate,consensus_difference_pp,consensus_direction,A_initial_rate,A_final_rate,A_difference_pp,A_direction,B_initial_rate,B_final_rate,B_difference_pp,B_direction,directionally_robust,method_sensitive_direction,exploratory_version
action,explain,1972,1988,0.06666667,0.0,-6.6667,decrease,0.13333333,0.0,-13.3333,decrease,0.13333333,0.14285714,0.9524,increase,0,1,EXPLORE_FINDINGS_0.1
action,solve,1972,1988,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.2,0.28571429,8.5714,increase,0,1,EXPLORE_FINDINGS_0.1
action,explain,1972,2014,0.06666667,0.08333333,1.6667,increase,0.13333333,0.08333333,-5.0,decrease,0.13333333,0.16666667,3.3333,increase,0,1,EXPLORE_FINDINGS_0.1
action,observe,1972,2014,0.0,0.08333333,8.3333,increase,0.0,0.16666667,16.6667,increase,0.2,0.08333333,-11.6667,decrease,0,1,EXPLORE_FINDINGS_0.1
position,instruction_follower,1972,2014,0.0,0.0,0.0,no_change,0.0,0.16666667,16.6667,increase,0.13333333,0.08333333,-5.0,decrease,0,1,EXPLORE_FINDINGS_0.1
action_family,observation_measurement,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.28571429,0.2,-8.5714,decrease,0,1,EXPLORE_FINDINGS_0.1
action_family,production_interaction,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.28571429,0.26666667,-1.9048,decrease,0,1,EXPLORE_FINDINGS_0.1
position,reasoner,1988,1993,0.0,0.0,0.0,no_change,0.0,0.06666667,6.6667,increase,0.14285714,0.0,-14.2857,decrease,0,1,EXPLORE_FINDINGS_0.1
position_family,inquiry_reasoning,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.13333333,13.3333,increase,0.71428571,0.66666667,-4.7619,decrease,0,1,EXPLORE_FINDINGS_0.1
action,explain,1993,2014,0.0,0.08333333,8.3333,increase,0.0,0.08333333,8.3333,increase,0.33333333,0.16666667,-16.6667,decrease,0,1,EXPLORE_FINDINGS_0.1
action,observe,1993,2014,0.06666667,0.08333333,1.6667,increase,0.06666667,0.16666667,10.0,increase,0.2,0.08333333,-11.6667,decrease,0,1,EXPLORE_FINDINGS_0.1
action_family,reasoning,1993,2014,0.06666667,0.08333333,1.6667,increase,0.06666667,0.08333333,1.6667,increase,0.6,0.33333333,-26.6667,decrease,0,1,EXPLORE_FINDINGS_0.1
position,receiver,1993,2014,0.0,0.08333333,8.3333,increase,0.4,0.08333333,-31.6667,decrease,0.06666667,0.16666667,10.0,increase,0,1,EXPLORE_FINDINGS_0.1
position_family,reception_execution,1993,2014,0.0,0.08333333,8.3333,increase,0.53333333,0.25,-28.3333,decrease,0.13333333,0.25,11.6667,increase,0,1,EXPLORE_FINDINGS_0.1
