domain,category,initial_generation,final_generation,consensus_initial_rate,consensus_final_rate,consensus_difference_pp,consensus_direction,A_initial_rate,A_final_rate,A_difference_pp,A_direction,B_initial_rate,B_final_rate,B_difference_pp,B_direction,directionally_robust,method_sensitive_direction,exploratory_version
action_family,reasoning,1972,1988,0.2,0.0,-20.0,decrease,0.26666667,0.0,-26.6667,decrease,0.53333333,0.42857143,-10.4762,decrease,1,0,EXPLORE_FINDINGS_0.1
action,compare,1972,1988,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,1,0,EXPLORE_FINDINGS_0.1
position,reasoner,1972,1988,0.06666667,0.0,-6.6667,decrease,0.26666667,0.0,-26.6667,decrease,0.2,0.14285714,-5.7143,decrease,1,0,EXPLORE_FINDINGS_0.1
position_family,inquiry_reasoning,1972,1988,0.06666667,0.0,-6.6667,decrease,0.26666667,0.0,-26.6667,decrease,0.93333333,0.71428571,-21.9048,decrease,1,0,EXPLORE_FINDINGS_0.1
action_family,reasoning,1972,2014,0.2,0.08333333,-11.6667,decrease,0.26666667,0.08333333,-18.3333,decrease,0.53333333,0.33333333,-20.0,decrease,1,0,EXPLORE_FINDINGS_0.1
position,observer,1972,2014,0.0,0.08333333,8.3333,increase,0.0,0.16666667,16.6667,increase,0.06666667,0.16666667,10.0,increase,1,0,EXPLORE_FINDINGS_0.1
position,receiver,1972,2014,0.0,0.08333333,8.3333,increase,0.06666667,0.08333333,1.6667,increase,0.0,0.16666667,16.6667,increase,1,0,EXPLORE_FINDINGS_0.1
position_family,reception_execution,1972,2014,0.0,0.08333333,8.3333,increase,0.06666667,0.25,18.3333,increase,0.13333333,0.25,11.6667,increase,1,0,EXPLORE_FINDINGS_0.1
action,compare,1972,2014,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,1,0,EXPLORE_FINDINGS_0.1
action,solve,1972,2014,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.2,0.16666667,-3.3333,decrease,1,0,EXPLORE_FINDINGS_0.1
position,reasoner,1972,2014,0.06666667,0.0,-6.6667,decrease,0.26666667,0.08333333,-18.3333,decrease,0.2,0.0,-20.0,decrease,1,0,EXPLORE_FINDINGS_0.1
action,create,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.14285714,0.26666667,12.381,increase,1,0,EXPLORE_FINDINGS_0.1
action,observe,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.0,0.2,20.0,increase,1,0,EXPLORE_FINDINGS_0.1
action,solve,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.28571429,0.33333333,4.7619,increase,1,0,EXPLORE_FINDINGS_0.1
action_family,reasoning,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.42857143,0.6,17.1429,increase,1,0,EXPLORE_FINDINGS_0.1
position,observer,1988,1993,0.0,0.06666667,6.6667,increase,0.0,0.06666667,6.6667,increase,0.0,0.13333333,13.3333,increase,1,0,EXPLORE_FINDINGS_0.1
action,create,1993,2014,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.26666667,0.0,-26.6667,decrease,1,0,EXPLORE_FINDINGS_0.1
action,solve,1993,2014,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.33333333,0.16666667,-16.6667,decrease,1,0,EXPLORE_FINDINGS_0.1
action_family,production_interaction,1993,2014,0.06666667,0.0,-6.6667,decrease,0.06666667,0.0,-6.6667,decrease,0.26666667,0.0,-26.6667,decrease,1,0,EXPLORE_FINDINGS_0.1
action_family,observation_measurement,1993,2014,0.06666667,0.08333333,1.6667,increase,0.06666667,0.16666667,10.0,increase,0.2,0.33333333,13.3333,increase,1,0,EXPLORE_FINDINGS_0.1
position,observer,1993,2014,0.06666667,0.08333333,1.6667,increase,0.06666667,0.16666667,10.0,increase,0.13333333,0.16666667,3.3333,increase,1,0,EXPLORE_FINDINGS_0.1
