catalog_generation,candidate_type,fragment_count,token_min,token_p05,token_p25,token_median,token_p75,token_p95,token_max,mean_tokens,mean_chars,uncertain_count,uncertain_rate,gt120_tokens,gt250_tokens,gt500_tokens,le3_tokens,audit_version
1972,ALL,2809,1,1.0,5.0,10.0,17.0,40.0,158,13.48,76.67,0,0.0,1,0,0,504,FRAGAUDIT_0.2
1972,activity_candidate,19,6,8.7,12.0,18.0,23.5,55.9,64,21.58,124.32,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1972,experiment_candidate,26,5,6.5,14.25,16.5,23.0,42.25,50,20.85,126.31,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1972,expository_candidate,443,13,13.0,17.0,24.0,39.0,74.8,158,31.39,177.58,0,0.0,1,0,0,0,FRAGAUDIT_0.2
1972,heading_candidate,856,1,1.0,1.0,5.0,9.0,12.0,12,5.46,30.72,0,0.0,0,0,0,348,FRAGAUDIT_0.2
1972,instruction_candidate,410,1,4.0,10.0,17.0,24.75,39.55,103,19.01,110.81,0,0.0,0,0,0,14,FRAGAUDIT_0.2
1972,question_candidate,1055,1,2.0,5.0,8.0,12.0,24.0,77,9.99,56.23,0,0.0,0,0,0,142,FRAGAUDIT_0.2
1988,ALL,1631,1,1.0,4.0,9.0,16.0,40.0,115,13.07,74.02,0,0.0,0,0,0,347,FRAGAUDIT_0.2
1988,activity_candidate,9,9,9.4,13.0,17.0,24.0,27.6,28,17.67,102.11,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1988,experiment_candidate,25,6,7.0,11.0,17.0,24.0,33.2,44,17.96,108.92,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1988,expository_candidate,274,11,13.0,17.0,24.5,39.0,73.0,115,31.71,179.14,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1988,heading_candidate,569,1,1.0,1.0,4.0,9.0,12.0,12,5.09,28.31,0,0.0,0,0,0,258,FRAGAUDIT_0.2
1988,instruction_candidate,216,1,5.0,11.0,16.0,24.25,39.25,93,18.98,109.27,0,0.0,0,0,0,6,FRAGAUDIT_0.2
1988,question_candidate,538,1,2.0,4.0,8.0,12.0,21.0,80,9.33,52.58,0,0.0,0,0,0,83,FRAGAUDIT_0.2
1993,ALL,2513,1,1.0,4.0,9.0,18.0,48.4,118,14.56,86.13,0,0.0,0,0,0,536,FRAGAUDIT_0.2
1993,activity_candidate,67,3,4.3,9.5,15.0,26.5,38.0,56,18.13,114.96,0,0.0,0,0,0,2,FRAGAUDIT_0.2
1993,experiment_candidate,29,3,9.4,13.0,18.0,24.0,51.6,58,21.66,132.76,0,0.0,0,0,0,1,FRAGAUDIT_0.2
1993,expository_candidate,472,13,14.0,17.0,25.0,47.0,93.45,118,35.22,207.38,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1993,heading_candidate,1176,1,1.0,2.0,5.0,8.0,12.0,12,5.35,31.27,0,0.0,0,0,0,456,FRAGAUDIT_0.2
1993,instruction_candidate,482,1,3.0,10.0,15.5,22.0,39.95,79,17.33,103.3,0,0.0,0,0,0,32,FRAGAUDIT_0.2
1993,project_candidate,4,5,7.25,16.25,25.0,32.75,39.35,41,24.0,164.25,0,0.0,0,0,0,0,FRAGAUDIT_0.2
1993,question_candidate,283,2,2.0,5.0,9.0,15.0,32.9,67,11.93,69.93,0,0.0,0,0,0,45,FRAGAUDIT_0.2
2014,ALL,2641,1,1.0,3.0,6.0,12.0,31.0,113,9.84,59.29,0,0.0,0,0,0,778,FRAGAUDIT_0.2
2014,activity_candidate,104,3,3.0,6.75,12.0,19.25,36.25,50,14.34,89.1,0,0.0,0,0,0,7,FRAGAUDIT_0.2
2014,assessment_candidate,14,1,1.0,1.0,1.0,1.0,2.35,3,1.21,12.86,0,0.0,0,0,0,14,FRAGAUDIT_0.2
2014,experiment_candidate,34,2,3.65,7.5,14.5,26.75,38.1,46,17.62,113.62,0,0.0,0,0,0,2,FRAGAUDIT_0.2
2014,expository_candidate,315,13,13.0,15.0,22.0,35.0,69.0,113,28.76,171.26,0,0.0,0,0,0,0,FRAGAUDIT_0.2
2014,heading_candidate,1536,1,1.0,2.0,4.0,7.0,11.0,12,4.73,28.21,0,0.0,0,0,0,683,FRAGAUDIT_0.2
2014,instruction_candidate,322,1,3.0,6.0,12.0,19.75,33.0,73,14.06,86.25,0,0.0,0,0,0,28,FRAGAUDIT_0.2
2014,project_candidate,40,1,1.0,3.75,9.0,14.0,24.45,34,10.7,70.53,0,0.0,0,0,0,10,FRAGAUDIT_0.2
2014,question_candidate,276,1,2.0,5.0,8.0,12.0,23.0,46,9.45,55.79,0,0.0,0,0,0,34,FRAGAUDIT_0.2
ALL,ALL,9594,1,1.0,4.0,9.0,16.0,40.0,158,12.69,73.91,0,0.0,1,0,0,2165,FRAGAUDIT_0.2
ALL,activity_candidate,199,3,4.0,8.0,13.0,21.5,37.1,64,16.46,101.75,0,0.0,0,0,0,9,FRAGAUDIT_0.2
ALL,assessment_candidate,14,1,1.0,1.0,1.0,1.0,2.35,3,1.21,12.86,0,0.0,0,0,0,14,FRAGAUDIT_0.2
ALL,experiment_candidate,114,2,4.0,12.0,17.0,24.0,43.35,58,19.46,120.35,0,0.0,0,0,0,3,FRAGAUDIT_0.2
ALL,expository_candidate,1504,11,13.0,17.0,24.0,40.0,78.0,158,32.1,185.89,0,0.0,1,0,0,0,FRAGAUDIT_0.2
ALL,heading_candidate,4137,1,1.0,2.0,4.0,8.0,12.0,12,5.11,29.62,0,0.0,0,0,0,1745,FRAGAUDIT_0.2
ALL,instruction_candidate,1430,1,3.0,9.0,15.0,23.0,38.55,103,17.33,102.52,0,0.0,0,0,0,80,FRAGAUDIT_0.2
ALL,project_candidate,44,1,1.15,4.75,9.5,15.0,32.55,41,11.91,79.05,0,0.0,0,0,0,10,FRAGAUDIT_0.2
ALL,question_candidate,2152,1,2.0,5.0,8.0,13.0,24.45,80,10.01,57.07,0,0.0,0,0,0,304,FRAGAUDIT_0.2
