generation,page_id,fragment_n,heading_candidate_n,heading_candidate_fraction,heading_lt4_n,heading_4to12_n,audit_version
1972,LTMD-CN5-G1972-VP003,1,1,1.0,0,1,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP006,12,2,0.166667,0,2,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP011,11,5,0.454545,3,2,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP013,3,1,0.333333,1,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP014,9,2,0.222222,1,1,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP015,3,1,0.333333,1,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP016,6,1,0.166667,1,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP017,2,0,0.0,0,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP018,9,2,0.222222,0,2,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP019,14,5,0.357143,2,3,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP020,3,2,0.666667,1,1,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP021,2,1,0.5,1,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP022,10,5,0.5,1,4,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP023,15,6,0.4,1,5,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP024,11,2,0.181818,2,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP025,13,7,0.538462,2,5,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP026,6,1,0.166667,0,1,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP031,15,5,0.333333,3,2,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP032,16,2,0.125,2,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP033,9,2,0.222222,2,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP034,5,2,0.4,1,1,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP035,5,0,0.0,0,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP036,8,1,0.125,1,0,FRAGSEG_HEADING_AUDIT_0.1
1972,LTMD-CN5-G1972-VP037,21,2,0.095238,2,0,FRAGSEG_HEADING_AUDIT_0.1
