audit_version,fragment_id,catalog_generation,candidate_type,token_count,height_ratio,bbox_width_ratio,bbox_height_ratio,top_ratio,uppercase_ratio,terminal_punctuation,ocr_conf_median,word_box_count
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP139-F020,1972,heading_candidate,1,0.785714,0.035821,0.011078,0.960725,0,0,96.796692,1
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP207-F002,1972,heading_candidate,8,0.954545,0.170149,0.049345,0.091641,0.0,1,84.575966,8
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP171-F007,1972,heading_candidate,10,0.928571,0.383582,0.11279,0.380665,0.020408,1,96.433174,20
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP250-F014,1972,heading_candidate,9,1.071429,0.79403,0.065458,0.892246,0.022222,1,96.78186,21
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP255-F011,1972,expository_candidate,14,1.0,0.744776,0.035247,0.311178,0.098592,1,95.690948,14
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP255-F012,1972,heading_candidate,7,1.090909,0.479104,0.015106,0.350453,0.088235,1,95.349819,8
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP255-F029,1972,expository_candidate,22,1.0,0.743284,0.03424,0.596173,0.144578,1,90.95121,19
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP198-F001,1972,heading_candidate,7,1.0,0.831343,0.113797,0.036254,0.034483,1,96.421822,49
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP198-F002,1972,expository_candidate,42,1.0,0.831343,0.113797,0.036254,0.00495,1,96.421822,49
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP208-F008,1972,heading_candidate,7,1.0,0.844776,0.246727,0.264854,0.025,1,96.634918,119
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP129-F008,1972,heading_candidate,3,1.071429,0.167164,0.019134,0.407855,0.0,1,96.3965,3
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP179-F004,1972,heading_candidate,1,0.857143,0.844776,0.042296,0.927492,0,0,96.816887,7
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP210-F021,1972,heading_candidate,2,2.090909,0.08806,0.029204,0.810675,0.125,1,84.345841,2
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP047-F001,1972,heading_candidate,4,1.0,0.785075,0.178248,0.032226,0.029412,1,96.448517,71
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP146-F017,1972,heading_candidate,11,1.0,0.841791,0.087613,0.492447,0.019608,1,96.402928,42
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP023-F003,1972,heading_candidate,7,1.0,0.40597,0.329305,0.045317,0.030303,1,96.680152,68
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP098-F002,1972,heading_candidate,12,1.0,0.395522,0.132931,0.045317,0.013699,1,96.693207,29
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP037-F021,1972,heading_candidate,1,1.0,0.847761,0.045317,0.92145,0,0,92.148269,8
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP155-F009,1972,heading_candidate,1,0.785714,0.034328,0.011078,0.941591,0,0,96.921516,1
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP186-F003,1972,heading_candidate,1,0.8,0.034328,0.012085,0.946626,0,0,96.623337,1
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP144-F032,1972,heading_candidate,1,0.928571,0.034328,0.013092,0.94864,0,0,96.711006,1
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP045-F007,1972,heading_candidate,10,0.933333,0.847761,0.045317,0.897281,0.023256,1,96.467487,20
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP170-F003,1972,heading_candidate,8,1.0,0.391045,0.084592,0.652568,0.027778,1,96.588089,18
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP189-F003,1972,expository_candidate,17,0.928571,0.849254,0.180262,0.042296,0.011236,1,96.288692,84
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP099-F012,1972,expository_candidate,17,1.0,0.835821,0.046324,0.458207,0.013158,0,95.657204,19
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP060-F014,1972,expository_candidate,35,1.0,0.392537,0.160121,0.778449,0.013245,1,96.637505,35
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP201-F017,1972,expository_candidate,20,1.0,0.40597,0.365559,0.541793,0.009434,1,96.542206,74
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP147-F007,1972,expository_candidate,24,1.0,0.829851,0.060423,0.148036,0.008696,1,96.581681,24
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP204-F004,1972,expository_candidate,17,1.076923,0.829851,0.133938,0.532729,0.013158,1,96.3839,54
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP221-F010,1972,expository_candidate,14,1.0,0.810448,0.067472,0.188318,0.018182,1,96.355625,28
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP215-F007,1972,expository_candidate,15,1.0,0.198507,0.086606,0.475327,0.0,0,92.686295,15
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP205-F009,1972,expository_candidate,42,1.0,0.397015,0.181269,0.768379,0.01087,1,96.451389,42
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP242-F004,1972,expository_candidate,30,1.0,0.832836,0.064451,0.6143,0.022727,1,96.49274,30
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP196-F013,1972,expository_candidate,48,1.0,0.838806,0.116818,0.760322,0.011905,1,96.013943,48
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP123-F011,1972,expository_candidate,14,1.0,0.838806,0.040282,0.896274,0.016129,1,96.725082,14
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP065-F007,1972,expository_candidate,13,1.0,0.785075,0.020141,0.21853,0.019231,1,96.405441,13
FRAGSEG_LAYOUT_PROXY_0.1,LTMD-CN5-G1972-VP167-F004,1972,expository_candidate,16,1.0,0.744776,0.042296,0.090634,0.012658,1,96.7435,16
