audit_version,catalog_generation,viewer_page,ocr_ok,edition_term,copyright_term,printing_term,isbn_term,edition_year_candidates,copyright_year_candidates,printing_year_candidates,isbn_candidates,all_years_detected,ocr_char_count
FRONTMATTER_BIB_AUDIT_0.1,1972,1,1,0,0,0,0,,,,,,0
FRONTMATTER_BIB_AUDIT_0.1,1972,2,1,0,1,0,0,,1972,,,1972,179
FRONTMATTER_BIB_AUDIT_0.1,1972,3,1,0,0,0,0,,,,,,32
FRONTMATTER_BIB_AUDIT_0.1,1972,4,1,1,0,0,0,,,,,,1947
FRONTMATTER_BIB_AUDIT_0.1,1972,5,1,0,0,0,0,,,,,1974;1975,89
FRONTMATTER_BIB_AUDIT_0.1,1972,6,1,0,0,0,0,,,,,,2176
FRONTMATTER_BIB_AUDIT_0.1,1972,7,1,0,0,0,0,,,,,,730
FRONTMATTER_BIB_AUDIT_0.1,1972,8,1,0,0,0,0,,,,,,97
FRONTMATTER_BIB_AUDIT_0.1,1988,1,1,0,0,0,0,,,,,,73
FRONTMATTER_BIB_AUDIT_0.1,1988,2,1,1,1,0,1,,1977,,968-29-0758-6,1977,2223
FRONTMATTER_BIB_AUDIT_0.1,1988,3,1,0,0,0,0,,,,,,633
FRONTMATTER_BIB_AUDIT_0.1,1988,4,1,0,0,0,0,,,,,,42
FRONTMATTER_BIB_AUDIT_0.1,1988,5,1,0,0,0,0,,,,,,20
FRONTMATTER_BIB_AUDIT_0.1,1988,6,1,0,0,0,0,,,,,,776
FRONTMATTER_BIB_AUDIT_0.1,1988,7,1,0,0,0,0,,,,,,1614
FRONTMATTER_BIB_AUDIT_0.1,1988,8,1,0,0,0,0,,,,,,461
FRONTMATTER_BIB_AUDIT_0.1,1993,1,1,0,0,0,0,,,,,,31
FRONTMATTER_BIB_AUDIT_0.1,1993,2,1,1,0,1,1,1998,,1998,970-18-1599-8,1963;1998,2555
FRONTMATTER_BIB_AUDIT_0.1,1993,3,1,0,0,0,0,,,,,1993;1995,4080
FRONTMATTER_BIB_AUDIT_0.1,1993,4,1,0,0,0,0,,,,,,939
FRONTMATTER_BIB_AUDIT_0.1,1993,5,1,0,0,0,0,,,,,,869
FRONTMATTER_BIB_AUDIT_0.1,1993,6,1,0,0,0,0,,,,,,19
FRONTMATTER_BIB_AUDIT_0.1,1993,7,1,0,0,0,0,,,,,,11
FRONTMATTER_BIB_AUDIT_0.1,1993,8,1,0,0,0,0,,,,,,1133
FRONTMATTER_BIB_AUDIT_0.1,2014,1,1,0,0,0,0,,,,,,31
FRONTMATTER_BIB_AUDIT_0.1,2014,2,1,1,1,1,1,1962;2010;2011;2014;2017;2018;2019,2011;2014;2017;2018,2014,,1962;2010;2011;2014;2017;2018;2019,3241
FRONTMATTER_BIB_AUDIT_0.1,2014,3,1,0,0,0,0,,,,,1962,2173
FRONTMATTER_BIB_AUDIT_0.1,2014,4,1,0,0,0,0,,,,,,1087
FRONTMATTER_BIB_AUDIT_0.1,2014,5,1,0,0,0,0,,,,,,1156
FRONTMATTER_BIB_AUDIT_0.1,2014,6,1,0,0,0,0,,,,,,1033
FRONTMATTER_BIB_AUDIT_0.1,2014,7,1,0,0,0,0,,,,,,853
FRONTMATTER_BIB_AUDIT_0.1,2014,8,1,0,0,0,0,,,,,,74
