family,category,catalog_generation,denominator_consensus_positive_fragments,consensus_positive_count,composition_rate,composition_percent,comparison_version
action,observe,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,describe,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,recall,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,explain,1972,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,compare,1972,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,classify,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,measure,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,experiment,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,investigate,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,predict,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,infer,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,discuss,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,solve,1972,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,create,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,decide,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,act_on_environment,1972,3,0,0.0,0.0,HISTCOMP_0.1
action,observe,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,describe,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,recall,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,explain,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,compare,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,classify,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,measure,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,experiment,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,investigate,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,predict,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,infer,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,discuss,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,solve,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,create,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,decide,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,act_on_environment,1988,0,0,0.0,0.0,HISTCOMP_0.1
action,observe,1993,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,describe,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,recall,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,explain,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,compare,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,classify,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,measure,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,experiment,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,investigate,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,predict,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,infer,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,discuss,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,solve,1993,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,create,1993,3,1,0.33333333,33.3333,HISTCOMP_0.1
action,decide,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,act_on_environment,1993,3,0,0.0,0.0,HISTCOMP_0.1
action,observe,2014,2,1,0.5,50.0,HISTCOMP_0.1
action,describe,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,recall,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,explain,2014,2,1,0.5,50.0,HISTCOMP_0.1
action,compare,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,classify,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,measure,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,experiment,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,investigate,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,predict,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,infer,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,discuss,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,solve,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,create,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,decide,2014,2,0,0.0,0.0,HISTCOMP_0.1
action,act_on_environment,2014,2,0,0.0,0.0,HISTCOMP_0.1
