domain,aggregate_family,catalog_generation,stratum,n_fragments,A_count,A_rate,B_count,B_rate,consensus_positive_count,consensus_positive_rate,comparison_version
action,reception_retrieval,1972,all_body_fragments,2809,10,0.00355999,339,0.12068352,2,0.000712,HISTCOMP_0.1
action,observation_measurement,1972,all_body_fragments,2809,64,0.02278391,365,0.12993948,22,0.00783197,HISTCOMP_0.1
action,reasoning,1972,all_body_fragments,2809,139,0.0494838,795,0.28301887,59,0.02100392,HISTCOMP_0.1
action,experimental_inquiry,1972,all_body_fragments,2809,11,0.00391598,380,0.13527946,7,0.00249199,HISTCOMP_0.1
action,production_interaction,1972,all_body_fragments,2809,34,0.01210395,170,0.06051976,18,0.00640797,HISTCOMP_0.1
action,agency_action,1972,all_body_fragments,2809,1,0.000356,323,0.11498754,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1972,nonheading,1953,10,0.00512033,339,0.17357911,2,0.00102407,HISTCOMP_0.1
action,observation_measurement,1972,nonheading,1953,64,0.0327701,365,0.18689196,22,0.01126472,HISTCOMP_0.1
action,reasoning,1972,nonheading,1953,139,0.07117256,795,0.40706605,59,0.03020993,HISTCOMP_0.1
action,experimental_inquiry,1972,nonheading,1953,11,0.00563236,380,0.19457245,7,0.00358423,HISTCOMP_0.1
action,production_interaction,1972,nonheading,1953,34,0.01740911,170,0.08704557,18,0.00921659,HISTCOMP_0.1
action,agency_action,1972,nonheading,1953,1,0.00051203,323,0.16538658,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1972,certain_nonheading,15,0,0.0,2,0.13333333,0,0.0,HISTCOMP_0.1
action,observation_measurement,1972,certain_nonheading,15,0,0.0,5,0.33333333,0,0.0,HISTCOMP_0.1
action,reasoning,1972,certain_nonheading,15,4,0.26666667,8,0.53333333,3,0.2,HISTCOMP_0.1
action,experimental_inquiry,1972,certain_nonheading,15,0,0.0,4,0.26666667,0,0.0,HISTCOMP_0.1
action,production_interaction,1972,certain_nonheading,15,0,0.0,2,0.13333333,0,0.0,HISTCOMP_0.1
action,agency_action,1972,certain_nonheading,15,0,0.0,4,0.26666667,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1972,textual_only_certain_nonheading,14,0,0.0,2,0.14285714,0,0.0,HISTCOMP_0.1
action,observation_measurement,1972,textual_only_certain_nonheading,14,0,0.0,4,0.28571429,0,0.0,HISTCOMP_0.1
action,reasoning,1972,textual_only_certain_nonheading,14,3,0.21428571,8,0.57142857,3,0.21428571,HISTCOMP_0.1
action,experimental_inquiry,1972,textual_only_certain_nonheading,14,0,0.0,4,0.28571429,0,0.0,HISTCOMP_0.1
action,production_interaction,1972,textual_only_certain_nonheading,14,0,0.0,2,0.14285714,0,0.0,HISTCOMP_0.1
action,agency_action,1972,textual_only_certain_nonheading,14,0,0.0,4,0.28571429,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1972,mixed_text_image_certain_nonheading,1,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,observation_measurement,1972,mixed_text_image_certain_nonheading,1,0,0.0,1,1.0,0,0.0,HISTCOMP_0.1
action,reasoning,1972,mixed_text_image_certain_nonheading,1,1,1.0,0,0.0,0,0.0,HISTCOMP_0.1
action,experimental_inquiry,1972,mixed_text_image_certain_nonheading,1,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,production_interaction,1972,mixed_text_image_certain_nonheading,1,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,agency_action,1972,mixed_text_image_certain_nonheading,1,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1988,all_body_fragments,1631,6,0.00367872,189,0.11587983,2,0.00122624,HISTCOMP_0.1
action,observation_measurement,1988,all_body_fragments,1631,27,0.01655426,186,0.11404047,12,0.00735745,HISTCOMP_0.1
action,reasoning,1988,all_body_fragments,1631,44,0.02697731,385,0.2360515,14,0.00858369,HISTCOMP_0.1
action,experimental_inquiry,1988,all_body_fragments,1631,12,0.00735745,212,0.12998161,9,0.00551809,HISTCOMP_0.1
action,production_interaction,1988,all_body_fragments,1631,18,0.01103617,107,0.06560392,11,0.00674433,HISTCOMP_0.1
action,agency_action,1988,all_body_fragments,1631,1,0.00061312,195,0.11955855,1,0.00061312,HISTCOMP_0.1
action,reception_retrieval,1988,nonheading,1062,6,0.00564972,189,0.1779661,2,0.00188324,HISTCOMP_0.1
action,observation_measurement,1988,nonheading,1062,27,0.02542373,186,0.17514124,12,0.01129944,HISTCOMP_0.1
action,reasoning,1988,nonheading,1062,44,0.04143126,385,0.36252354,14,0.01318267,HISTCOMP_0.1
action,experimental_inquiry,1988,nonheading,1062,12,0.01129944,212,0.19962335,9,0.00847458,HISTCOMP_0.1
action,production_interaction,1988,nonheading,1062,18,0.01694915,107,0.1007533,11,0.01035782,HISTCOMP_0.1
action,agency_action,1988,nonheading,1062,1,0.00094162,195,0.18361582,1,0.00094162,HISTCOMP_0.1
action,reception_retrieval,1988,certain_nonheading,7,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,observation_measurement,1988,certain_nonheading,7,0,0.0,2,0.28571429,0,0.0,HISTCOMP_0.1
action,reasoning,1988,certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,experimental_inquiry,1988,certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,production_interaction,1988,certain_nonheading,7,0,0.0,2,0.28571429,0,0.0,HISTCOMP_0.1
action,agency_action,1988,certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1988,textual_only_certain_nonheading,7,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,observation_measurement,1988,textual_only_certain_nonheading,7,0,0.0,2,0.28571429,0,0.0,HISTCOMP_0.1
action,reasoning,1988,textual_only_certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,experimental_inquiry,1988,textual_only_certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,production_interaction,1988,textual_only_certain_nonheading,7,0,0.0,2,0.28571429,0,0.0,HISTCOMP_0.1
action,agency_action,1988,textual_only_certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
action,reception_retrieval,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,observation_measurement,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,reasoning,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
