family,category,catalog_generation,denominator_consensus_positive_fragments,consensus_positive_count,composition_rate,composition_percent,comparison_version
position,receiver,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,instruction_follower,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,observer,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,experimenter,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,investigator,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,reasoner,1972,1,1,1.0,100.0,HISTCOMP_0.1
position,collaborator,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,decision_maker,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,community_agent,1972,1,0,0.0,0.0,HISTCOMP_0.1
position,receiver,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,instruction_follower,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,observer,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,experimenter,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,investigator,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,reasoner,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,collaborator,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,decision_maker,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,community_agent,1988,0,0,0.0,0.0,HISTCOMP_0.1
position,receiver,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,instruction_follower,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,observer,1993,1,1,1.0,100.0,HISTCOMP_0.1
position,experimenter,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,investigator,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,reasoner,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,collaborator,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,decision_maker,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,community_agent,1993,1,0,0.0,0.0,HISTCOMP_0.1
position,receiver,2014,2,1,0.5,50.0,HISTCOMP_0.1
position,instruction_follower,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,observer,2014,2,1,0.5,50.0,HISTCOMP_0.1
position,experimenter,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,investigator,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,reasoner,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,collaborator,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,decision_maker,2014,2,0,0.0,0.0,HISTCOMP_0.1
position,community_agent,2014,2,0,0.0,0.0,HISTCOMP_0.1
