family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
position,receiver,1972,all_body_fragments,2809,443,0.15770737,15.7707,324,0.11534354,11.5344,99,0.03524386,3.5244,569,0.20256319,2141,0.76219295,HISTCOMP_0.1
position,instruction_follower,1972,all_body_fragments,2809,337,0.11997152,11.9972,213,0.0758277,7.5828,21,0.00747597,0.7476,508,0.18084728,2280,0.81167675,HISTCOMP_0.1
position,observer,1972,all_body_fragments,2809,54,0.01922392,1.9224,450,0.16019936,16.0199,31,0.01103596,1.1036,442,0.15735137,2336,0.83161267,HISTCOMP_0.1
position,experimenter,1972,all_body_fragments,2809,0,0.0,0.0,742,0.26415094,26.4151,0,0.0,0.0,742,0.26415094,2067,0.73584906,HISTCOMP_0.1
position,investigator,1972,all_body_fragments,2809,11,0.00391598,0.3916,557,0.19829121,19.8291,10,0.00355999,0.356,548,0.19508722,2251,0.80135279,HISTCOMP_0.1
position,reasoner,1972,all_body_fragments,2809,134,0.04770381,4.7704,230,0.08187967,8.188,46,0.01637593,1.6376,272,0.09683161,2491,0.88679245,HISTCOMP_0.1
position,collaborator,1972,all_body_fragments,2809,22,0.00783197,0.7832,347,0.12353151,12.3532,13,0.00462798,0.4628,343,0.12210751,2453,0.87326451,HISTCOMP_0.1
position,decision_maker,1972,all_body_fragments,2809,1,0.000356,0.0356,412,0.14667141,14.6671,1,0.000356,0.0356,411,0.14631541,2397,0.85332859,HISTCOMP_0.1
position,community_agent,1972,all_body_fragments,2809,0,0.0,0.0,237,0.08437166,8.4372,0,0.0,0.0,237,0.08437166,2572,0.91562834,HISTCOMP_0.1
position,receiver,1972,nonheading,1953,443,0.22683052,22.6831,324,0.16589862,16.5899,99,0.05069124,5.0691,569,0.29134665,1285,0.65796211,HISTCOMP_0.1
position,instruction_follower,1972,nonheading,1953,337,0.17255504,17.2555,213,0.10906298,10.9063,21,0.01075269,1.0753,508,0.26011265,1424,0.72913466,HISTCOMP_0.1
position,observer,1972,nonheading,1953,54,0.02764977,2.765,450,0.23041475,23.0415,31,0.01587302,1.5873,442,0.22631848,1480,0.7578085,HISTCOMP_0.1
position,experimenter,1972,nonheading,1953,0,0.0,0.0,742,0.37992832,37.9928,0,0.0,0.0,742,0.37992832,1211,0.62007168,HISTCOMP_0.1
position,investigator,1972,nonheading,1953,11,0.00563236,0.5632,557,0.28520225,28.5202,10,0.00512033,0.512,548,0.28059396,1395,0.71428571,HISTCOMP_0.1
position,reasoner,1972,nonheading,1953,134,0.06861239,6.8612,230,0.11776754,11.7768,46,0.02355351,2.3554,272,0.13927291,1635,0.83717358,HISTCOMP_0.1
position,collaborator,1972,nonheading,1953,22,0.01126472,1.1265,347,0.17767537,17.7675,13,0.00665643,0.6656,343,0.17562724,1597,0.81771633,HISTCOMP_0.1
position,decision_maker,1972,nonheading,1953,1,0.00051203,0.0512,412,0.2109575,21.0958,1,0.00051203,0.0512,411,0.21044547,1541,0.7890425,HISTCOMP_0.1
position,community_agent,1972,nonheading,1953,0,0.0,0.0,237,0.12135177,12.1352,0,0.0,0.0,237,0.12135177,1716,0.87864823,HISTCOMP_0.1
position,receiver,1972,certain_nonheading,15,1,0.06666667,6.6667,0,0.0,0.0,0,0.0,0.0,1,0.06666667,14,0.93333333,HISTCOMP_0.1
position,instruction_follower,1972,certain_nonheading,15,0,0.0,0.0,2,0.13333333,13.3333,0,0.0,0.0,2,0.13333333,13,0.86666667,HISTCOMP_0.1
position,observer,1972,certain_nonheading,15,0,0.0,0.0,1,0.06666667,6.6667,0,0.0,0.0,1,0.06666667,14,0.93333333,HISTCOMP_0.1
