coverage_version,viewer_key,catalog_generation,grade_code,title_core,ocr_source_admitted,source_decision,source_reason_code,bibliographic_observation_count,edition_history_statement_count,reprint_history_statement_count,school_cycle_observation_count,school_cycle_values,isbn_statement_count,candidate_status,candidate_bibliographic_year,candidate_evidence_tier,candidate_year_differs_from_catalog_generation,readiness_class,human_validated
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,4,2,0,1,2010-2011,1,candidate_joint_same_page_match,2010,C_joint_same_page_only,1,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,1,ocr_source_admitted,direct_asset_ready,3,2,0,0,,1,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,2,1,0,1,2008-2009,0,candidate_joint_match_with_extra_page_corroboration,2008,B_joint_plus_extra_page_corroboration,0,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,1,ocr_source_admitted,direct_asset_ready,3,2,0,0,,1,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,2,2,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,3,2,0,0,,1,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,1,0,0,1,2008-2009,0,no_candidate_no_statement_matches_cycle_start,,,,cycle_observed_no_instance_candidate,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,3,1,0,1,2008-2009,1,candidate_joint_match_with_extra_page_corroboration,2008,B_joint_plus_extra_page_corroboration,0,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,4,2,0,1,2013-2014,1,candidate_joint_same_page_match,2013,C_joint_same_page_only,1,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,1,ocr_source_admitted,direct_asset_ready,2,1,0,1,2013-2014,0,candidate_joint_same_page_match,2013,C_joint_same_page_only,1,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P3CI308,2011,3,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,2,2,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,3,2,0,1,2013-2014,0,no_candidate_no_statement_matches_cycle_start,,,,cycle_observed_no_instance_candidate,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,4,2,1,1,2013-2014,0,candidate_joint_same_page_match,2013,C_joint_same_page_only,1,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,1,ocr_source_admitted,direct_asset_ready,3,2,0,1,2013-2014,0,no_candidate_no_statement_matches_cycle_start,,,,cycle_observed_no_instance_candidate,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,5,5,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,5,5,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P3FCA,2014,3,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,5,4,1,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P4FCA,2014,4,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,6,4,1,1,2017-2018,0,candidate_joint_same_page_match,2017,C_joint_same_page_only,1,technical_instance_candidate_available,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P5FCA,2014,5,Formación Cívica y Ética,0,withheld_source_gap,isolated_internal_unserved,4,0,0,1,2017-2018,0,candidate_joint_same_page_match,2017,C_joint_same_page_only,1,source_withheld_partial_gap,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2014P6FCA,2014,6,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,3,2,1,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2018P3FCA,2018,3,Formación Cívica y Ética,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,0,0,0,0,,0,not_in_candidate_layer,,,,source_withheld_subtree_unserved,
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2018P4FCA,2018,4,Formación Cívica y Ética,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,0,0,0,0,,0,not_in_candidate_layer,,,,source_withheld_subtree_unserved,
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2018P5FCA,2018,5,Formación Cívica y Ética,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,0,0,0,0,,0,not_in_candidate_layer,,,,source_withheld_subtree_unserved,
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2018P6FCA,2018,6,Formación Cívica y Ética,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,0,0,0,0,,0,not_in_candidate_layer,,,,source_withheld_subtree_unserved,
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2019P1FCA,2019,1,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,4,4,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2019P2FCA,2019,2,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,6,5,0,0,,1,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2019P3FCA,2019,3,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,5,5,0,0,,0,no_candidate_no_school_cycle,,,,bibliographic_observations_no_cycle,0
LTMD_U1_W7_BIBLIOGRAPHIC_COVERAGE_0.1,H2019P4FCA,2019,4,Formación Cívica y Ética,1,ocr_source_admitted,direct_asset_ready,7,5,0,1,2019-2020,1,candidate_joint_same_page_match,2019,C_joint_same_page_only,0,technical_instance_candidate_available,0
