page_id,book_id,catalog_generation,viewer_page,qc_slot,asset_status,source_bytes,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD-CN5-G1972-VP001,LTMD-CN5-G1972,1972,1,,source_jpeg,201867,psm3:ok:2,3,2,11,96.02,96.02,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP002,LTMD-CN5-G1972,1972,2,,source_jpeg,21254,psm3:ok:29,3,29,151,88.14,93.05,0.0690,text_detected,ok,
LTMD-CN5-G1972-VP003,LTMD-CN5-G1972,1972,3,,source_jpeg,21407,psm3:ok:4,3,4,29,91.86,95.87,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP004,LTMD-CN5-G1972,1972,4,,source_jpeg,62101,psm3:ok:267,3,267,1681,90.60,94.65,0.0337,text_detected,ok,
LTMD-CN5-G1972-VP005,LTMD-CN5-G1972,1972,5,,source_jpeg,28007,psm3:ok:13,3,13,77,85.26,96.18,0.1538,text_detected,ok,
LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,,source_jpeg,85476,psm3:ok:369,3,369,1808,95.73,96.59,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP007,LTMD-CN5-G1972,1972,7,,source_jpeg,49738,psm3:ok:145,3,145,586,84.37,94.82,0.1172,text_detected,ok,
LTMD-CN5-G1972-VP008,LTMD-CN5-G1972,1972,8,,source_jpeg,51167,psm3:ok:0;psm11:ok:9;psm6:ok:35,6,35,269,32.20,24.28,0.8000,text_detected,ok,
LTMD-CN5-G1972-VP009,LTMD-CN5-G1972,1972,9,,source_jpeg,46204,psm3:ok:0;psm11:ok:14;psm6:ok:30,6,30,40,32.34,33.80,0.9667,text_detected,ok,
LTMD-CN5-G1972-VP010,LTMD-CN5-G1972,1972,10,,source_jpeg,73947,psm3:ok:0;psm11:ok:45;psm6:ok:129,6,129,266,31.29,32.37,0.9147,text_detected,ok,
LTMD-CN5-G1972-VP011,LTMD-CN5-G1972,1972,11,,source_jpeg,62060,psm3:ok:194,3,194,1016,94.90,96.53,0.0052,text_detected,ok,
LTMD-CN5-G1972-VP012,LTMD-CN5-G1972,1972,12,,source_jpeg,75280,psm3:ok:68,3,68,298,95.36,96.51,0.0147,text_detected,ok,
LTMD-CN5-G1972-VP013,LTMD-CN5-G1972,1972,13,,source_jpeg,63432,psm3:ok:17,3,17,83,95.70,96.37,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP014,LTMD-CN5-G1972,1972,14,,source_jpeg,80263,psm3:ok:176,3,176,872,94.24,96.27,0.0114,text_detected,ok,
LTMD-CN5-G1972-VP015,LTMD-CN5-G1972,1972,15,,source_jpeg,50154,psm3:ok:63,3,63,297,93.30,95.90,0.0159,text_detected,ok,
LTMD-CN5-G1972-VP016,LTMD-CN5-G1972,1972,16,,source_jpeg,66993,psm3:ok:101,3,101,507,94.60,96.51,0.0099,text_detected,ok,
LTMD-CN5-G1972-VP017,LTMD-CN5-G1972,1972,17,,source_jpeg,67087,psm3:ok:39,3,39,194,95.83,96.63,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP018,LTMD-CN5-G1972,1972,18,,source_jpeg,72998,psm3:ok:148,3,148,685,95.67,96.58,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP019,LTMD-CN5-G1972,1972,19,,source_jpeg,71857,psm3:ok:109,3,109,507,94.57,96.33,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP020,LTMD-CN5-G1972,1972,20,,source_jpeg,48975,psm3:ok:18,3,18,96,95.29,95.98,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP021,LTMD-CN5-G1972,1972,21,,source_jpeg,46490,psm3:ok:10,3,10,55,88.02,96.53,0.1000,text_detected,ok,
LTMD-CN5-G1972-VP022,LTMD-CN5-G1972,1972,22,,source_jpeg,62791,psm3:ok:150,3,150,794,95.12,96.44,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP023,LTMD-CN5-G1972,1972,23,,source_jpeg,80452,psm3:ok:190,3,190,919,95.00,96.60,0.0105,text_detected,ok,
LTMD-CN5-G1972-VP024,LTMD-CN5-G1972,1972,24,,source_jpeg,57494,psm3:ok:123,3,123,599,96.13,96.62,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP025,LTMD-CN5-G1972,1972,25,,source_jpeg,66241,psm3:ok:138,3,138,700,95.35,96.47,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP026,LTMD-CN5-G1972,1972,26,q1_1,source_jpeg,48265,psm3:ok:34,3,34,212,95.89,96.66,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP027,LTMD-CN5-G1972,1972,27,,source_jpeg,40373,psm3:ok:0;psm11:ok:9;psm6:ok:10,6,10,16,40.36,38.25,0.8000,text_detected,ok,
LTMD-CN5-G1972-VP028,LTMD-CN5-G1972,1972,28,,source_jpeg,59356,psm3:ok:0;psm11:ok:2;psm6:ok:11,6,11,23,38.49,33.93,0.9091,text_detected,ok,
LTMD-CN5-G1972-VP029,LTMD-CN5-G1972,1972,29,,source_jpeg,52694,psm3:ok:0;psm11:ok:8;psm6:ok:6,11,8,15,38.89,32.04,0.7500,text_detected,ok,
LTMD-CN5-G1972-VP030,LTMD-CN5-G1972,1972,30,,source_jpeg,65759,psm3:ok:0;psm11:ok:32;psm6:ok:106,6,106,187,21.64,18.14,0.9623,text_detected,ok,
LTMD-CN5-G1972-VP031,LTMD-CN5-G1972,1972,31,,source_jpeg,70940,psm3:ok:273,3,273,1223,96.05,96.59,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP032,LTMD-CN5-G1972,1972,32,,source_jpeg,70756,psm3:ok:246,3,246,1164,95.50,96.62,0.0041,text_detected,ok,
LTMD-CN5-G1972-VP033,LTMD-CN5-G1972,1972,33,,source_jpeg,92879,psm3:ok:122,3,122,580,94.14,96.56,0.0164,text_detected,ok,
LTMD-CN5-G1972-VP034,LTMD-CN5-G1972,1972,34,,source_jpeg,71236,psm3:ok:98,3,98,461,92.69,96.62,0.0510,text_detected,ok,
LTMD-CN5-G1972-VP035,LTMD-CN5-G1972,1972,35,,source_jpeg,71533,psm3:ok:171,3,171,789,95.66,96.46,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP036,LTMD-CN5-G1972,1972,36,,source_jpeg,57427,psm3:ok:106,3,106,497,95.31,96.47,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP037,LTMD-CN5-G1972,1972,37,,source_jpeg,74831,psm3:ok:198,3,198,1034,85.96,94.79,0.0960,text_detected,ok,
LTMD-CN5-G1972-VP038,LTMD-CN5-G1972,1972,38,,source_jpeg,106523,psm3:ok:0;psm11:ok:30;psm6:ok:80,6,80,135,31.06,30.90,0.9375,text_detected,ok,
LTMD-CN5-G1972-VP039,LTMD-CN5-G1972,1972,39,,source_jpeg,67031,psm3:ok:134,3,134,706,94.72,96.20,0.0075,text_detected,ok,
LTMD-CN5-G1972-VP040,LTMD-CN5-G1972,1972,40,,source_jpeg,55823,psm3:ok:137,3,137,573,94.09,96.30,0.0219,text_detected,ok,
LTMD-CN5-G1972-VP041,LTMD-CN5-G1972,1972,41,,source_jpeg,50876,psm3:ok:99,3,99,491,95.62,96.32,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP042,LTMD-CN5-G1972,1972,42,,source_jpeg,55390,psm3:ok:116,3,116,584,94.93,96.51,0.0086,text_detected,ok,
LTMD-CN5-G1972-VP043,LTMD-CN5-G1972,1972,43,,source_jpeg,73845,psm3:ok:223,3,223,975,95.00,96.56,0.0135,text_detected,ok,
LTMD-CN5-G1972-VP044,LTMD-CN5-G1972,1972,44,,source_jpeg,56479,psm3:ok:174,3,174,833,93.14,96.10,0.0057,text_detected,ok,
LTMD-CN5-G1972-VP045,LTMD-CN5-G1972,1972,45,,source_jpeg,67691,psm3:ok:82,3,82,372,86.10,96.32,0.1098,text_detected,ok,
LTMD-CN5-G1972-VP046,LTMD-CN5-G1972,1972,46,,source_jpeg,74472,psm3:ok:190,3,190,927,94.80,96.54,0.0105,text_detected,ok,
LTMD-CN5-G1972-VP047,LTMD-CN5-G1972,1972,47,,source_jpeg,78668,psm3:ok:125,3,125,703,95.00,96.41,0.0000,text_detected,ok,
LTMD-CN5-G1972-VP048,LTMD-CN5-G1972,1972,48,,source_jpeg,85927,psm3:ok:322,3,322,1682,92.19,96.37,0.0342,text_detected,ok,
LTMD-CN5-G1972-VP049,LTMD-CN5-G1972,1972,49,,source_jpeg,78020,psm3:ok:0;psm11:ok:36;psm6:ok:73,6,73,129,32.68,28.93,0.8904,text_detected,ok,
LTMD-CN5-G1972-VP050,LTMD-CN5-G1972,1972,50,,source_jpeg,82120,psm3:ok:0;psm11:ok:71;psm6:ok:106,6,106,204,29.36,30.53,0.9340,text_detected,ok,
LTMD-CN5-G1972-VP051,LTMD-CN5-G1972,1972,51,,source_jpeg,64481,psm3:ok:107,3,107,527,90.32,96.46,0.0748,text_detected,ok,
