catalog_generation,quartile,source_assets,text_pages,fallback_pages,psm3_pages,psm11_pages,psm6_pages,recognized_words_accepted,mean_words_per_text_page,median_words_per_text_page,mean_word_confidence_page_mean,median_word_confidence_page_mean,mean_low_confidence_rate,median_low_confidence_rate,mean_source_bytes,median_source_bytes
1972,Q1,64,64,13,51,1,12,8166,127.5938,124.0000,81.2484,94.4350,0.1977,0.0124,67058.1562,66670.5000
1972,Q2,65,65,10,55,2,8,10927,168.1077,186.0000,84.6589,95.1000,0.1481,0.0057,70755.2615,68063.0000
1972,Q3,65,65,2,63,1,1,10293,158.3538,169.0000,92.4623,95.2700,0.0440,0.0000,70746.9231,69824.0000
1972,Q4,64,64,8,56,1,7,11157,174.3281,185.0000,85.2987,95.1450,0.1375,0.0056,68630.0625,68583.0000
1988,Q1,40,40,1,39,0,1,4870,121.7500,116.0000,87.8635,90.7850,0.0759,0.0320,64507.5500,60523.0000
1988,Q2,41,41,1,40,0,1,6073,148.1220,145.0000,89.2324,91.2900,0.0594,0.0286,56169.6098,54878.0000
1988,Q3,41,41,1,40,0,1,5723,139.5854,142.0000,91.0215,92.0900,0.0376,0.0213,51872.4634,49793.0000
1988,Q4,40,40,0,40,0,0,6039,150.9750,145.5000,92.4287,92.9450,0.0219,0.0166,59115.0250,53782.5000
1993,Q1,44,44,0,44,0,0,9344,212.3636,217.5000,87.7241,90.7050,0.0865,0.0461,86313.9545,82692.0000
1993,Q2,45,45,2,43,0,2,10035,223.0000,235.0000,86.9598,90.6200,0.0986,0.0484,78812.2667,80107.0000
1993,Q3,45,45,2,43,0,2,10917,242.6000,257.0000,86.8044,89.7200,0.1007,0.0539,76703.2889,77783.0000
1993,Q4,44,44,3,41,1,2,8879,201.7955,220.0000,86.8239,91.3000,0.1044,0.0416,75405.7045,77957.5000
2014,Q1,40,40,3,37,0,3,7241,181.0250,189.0000,84.8995,90.9800,0.1488,0.0446,460723.5000,456283.0000
2014,Q2,41,41,6,35,0,6,7541,183.9268,181.0000,81.4239,92.0600,0.1841,0.0369,557187.9756,528160.0000
2014,Q3,40,39,4,35,0,4,9060,232.3077,240.0000,85.8562,92.5700,0.1160,0.0302,432640.4500,456198.5000
2014,Q4,40,39,3,36,1,2,8963,229.8205,190.0000,86.7608,92.2600,0.1067,0.0363,437827.7750,450223.0000
