group,metric,n,q01,q05,q10,q25,q50,q75,q90,q95,q99,diagnostic_version
ALL,gate,5037,-0.03328528,-0.0223774,-0.0165614,-0.007763,0.001864,0.011355,0.020603800000000005,0.025574799999999998,0.036372320000000014,SEMB02_UNCERTAINTY_DIAG_0.1
ALL,action_margin,5037,6.9e-05,0.0004178,0.0008366000000000001,0.002191,0.00545,0.010626,0.017644800000000013,0.022999,0.0338619600000001,SEMB02_UNCERTAINTY_DIAG_0.1
ALL,position_margin,5037,7.3e-05,0.0003798,0.0008672,0.002228,0.005253,0.010037,0.0161126,0.020644999999999993,0.030648720000000008,SEMB02_UNCERTAINTY_DIAG_0.1
ALL,token_count,5037,4.0,5.0,6.0,9,15,24,39.0,53.0,91.0,SEMB02_UNCERTAINTY_DIAG_0.1
1972,gate,1797,-0.03202692,-0.0217696,-0.015361799999999998,-0.007251,0.001943,0.011129,0.019667800000000003,0.024783199999999988,0.03541147999999999,SEMB02_UNCERTAINTY_DIAG_0.1
1972,action_margin,1797,6.976e-05,0.00048680000000000007,0.000859,0.002253,0.005432,0.010506,0.017295800000000014,0.022060399999999994,0.03397943999999999,SEMB02_UNCERTAINTY_DIAG_0.1
1972,position_margin,1797,5.384e-05,0.00035020000000000006,0.0008326000000000002,0.002078,0.0049,0.009555,0.015387200000000002,0.0195256,0.029347399999999985,SEMB02_UNCERTAINTY_DIAG_0.1
1972,token_count,1797,4.0,5.0,6.0,8,14,22,36.0,48.0,79.07999999999993,SEMB02_UNCERTAINTY_DIAG_0.1
1988,gate,973,-0.03510568,-0.0203652,-0.0156962,-0.00823,0.001523,0.010695,0.0197356,0.0239822,0.0361224,SEMB02_UNCERTAINTY_DIAG_0.1
1988,action_margin,973,6.816e-05,0.0003382,0.0007674,0.002047,0.005185,0.010593,0.016757400000000002,0.0228984,0.035123799999999934,SEMB02_UNCERTAINTY_DIAG_0.1
1988,position_margin,973,8.488e-05,0.0003532,0.0008728000000000001,0.002109,0.004766,0.00969,0.015125000000000006,0.020368199999999993,0.029418399999999994,SEMB02_UNCERTAINTY_DIAG_0.1
1988,token_count,973,4.0,4.0,5.0,9,14,22,36.0,49.39999999999998,80.0,SEMB02_UNCERTAINTY_DIAG_0.1
1993,gate,1257,-0.03277196,-0.022112399999999997,-0.016914799999999997,-0.0071,0.00228,0.011537,0.020783200000000016,0.0253832,0.034257600000000034,SEMB02_UNCERTAINTY_DIAG_0.1
1993,action_margin,1257,8.024e-05,0.0003756,0.0008106,0.002002,0.005337,0.00983,0.015958800000000006,0.02157580000000001,0.031202440000000026,SEMB02_UNCERTAINTY_DIAG_0.1
1993,position_margin,1257,7.3e-05,0.00041660000000000004,0.0008468000000000001,0.002279,0.005446,0.010357,0.016315000000000007,0.02079200000000002,0.03399496000000001,SEMB02_UNCERTAINTY_DIAG_0.1
1993,token_count,1257,4.0,5.0,7.0,12,18,29,48.40000000000009,66.0,104.44000000000005,SEMB02_UNCERTAINTY_DIAG_0.1
2014,gate,1010,-0.038272570000000006,-0.025431649999999997,-0.0187662,-0.008620250000000001,0.001349,0.011901,0.022449,0.028158849999999996,0.04250331999999996,SEMB02_UNCERTAINTY_DIAG_0.1
2014,action_margin,1010,6.234e-05,0.00045095000000000004,0.0009829,0.00247975,0.006154,0.01242775,0.020395800000000002,0.025826899999999996,0.035152689999999986,SEMB02_UNCERTAINTY_DIAG_0.1
2014,position_margin,1010,9.444e-05,0.00040945,0.0010549000000000005,0.00261475,0.006019,0.01066075,0.017424600000000002,0.02240229999999999,0.03144788999999999,SEMB02_UNCERTAINTY_DIAG_0.1
2014,token_count,1010,4.0,4.0,5.0,8.0,14.0,23.0,35.0,44.549999999999955,79.90999999999997,SEMB02_UNCERTAINTY_DIAG_0.1
