coverage_version,catalog_generation,candidate_type,eligible_population_n,sample_n,development_n,locked_validation_n,sample_fraction,poststrat_weight,locked_small_stratum
SEMB03_SAMPLE_COVERAGE_0.2,1972,activity_candidate,19,7,5,2,0.368421,2.714286,1
SEMB03_SAMPLE_COVERAGE_0.2,1972,experiment_candidate,26,13,7,6,0.5,2.0,0
SEMB03_SAMPLE_COVERAGE_0.2,1972,expository_candidate,443,31,18,13,0.069977,14.290323,0
SEMB03_SAMPLE_COVERAGE_0.2,1972,instruction_candidate,396,32,24,8,0.080808,12.375,0
SEMB03_SAMPLE_COVERAGE_0.2,1972,project_candidate,0,0,0,0,,,0
SEMB03_SAMPLE_COVERAGE_0.2,1972,question_candidate,913,37,26,11,0.040526,24.675676,0
SEMB03_SAMPLE_COVERAGE_0.2,1988,activity_candidate,9,6,4,2,0.666667,1.5,1
SEMB03_SAMPLE_COVERAGE_0.2,1988,experiment_candidate,25,14,9,5,0.56,1.785714,0
SEMB03_SAMPLE_COVERAGE_0.2,1988,expository_candidate,274,28,18,10,0.10219,9.785714,0
SEMB03_SAMPLE_COVERAGE_0.2,1988,instruction_candidate,210,32,24,8,0.152381,6.5625,0
SEMB03_SAMPLE_COVERAGE_0.2,1988,project_candidate,0,0,0,0,,,0
SEMB03_SAMPLE_COVERAGE_0.2,1988,question_candidate,455,40,25,15,0.087912,11.375,0
SEMB03_SAMPLE_COVERAGE_0.2,1993,activity_candidate,65,11,6,5,0.169231,5.909091,0
SEMB03_SAMPLE_COVERAGE_0.2,1993,experiment_candidate,28,8,5,3,0.285714,3.5,1
SEMB03_SAMPLE_COVERAGE_0.2,1993,expository_candidate,472,37,28,9,0.07839,12.756757,0
SEMB03_SAMPLE_COVERAGE_0.2,1993,instruction_candidate,450,33,23,10,0.073333,13.636364,0
SEMB03_SAMPLE_COVERAGE_0.2,1993,project_candidate,4,2,2,0,0.5,2.0,1
SEMB03_SAMPLE_COVERAGE_0.2,1993,question_candidate,238,29,16,13,0.121849,8.206897,0
SEMB03_SAMPLE_COVERAGE_0.2,2014,activity_candidate,97,15,10,5,0.154639,6.466667,0
SEMB03_SAMPLE_COVERAGE_0.2,2014,experiment_candidate,32,5,3,2,0.15625,6.4,1
SEMB03_SAMPLE_COVERAGE_0.2,2014,expository_candidate,315,32,24,8,0.101587,9.84375,0
SEMB03_SAMPLE_COVERAGE_0.2,2014,instruction_candidate,294,34,21,13,0.115646,8.647059,0
SEMB03_SAMPLE_COVERAGE_0.2,2014,project_candidate,30,4,3,1,0.133333,7.5,1
SEMB03_SAMPLE_COVERAGE_0.2,2014,question_candidate,242,30,19,11,0.123967,8.066667,0
